INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,NUM_VET,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRVG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,URBAN,HISP_REF,HISP2
0.5967935,0.6053829,0.6026709,0.5981167,0.5994508,0.6015126,0.6665242,05734231,26,D,29,D,1,1,D,01,D,2,D,12,D,12,D,1,D,1,D,2,D,1,D,0,D,97000,D,84134.612,0,D,7421,D,0,D,,A,0,D,,A,0,D,0,D,97000,D,40,D,40,D,0,D,,,,,1087,D,250,D,,A,1,,2,D,,A,12,D,,A,0,D,0,D,0,D,03,D,2,1,,2,D,1,D,3,2,D,1,,1,04,2024,1,D,2,D,1,D,2,,A,,A,,A,52,D,52,D,122671.103,118121.193,,,,115255.829,,111171.007,121637.226,107363.423,,,,,,147117.641,,0,,,140861.686,164453.953,,139476.426,,143690.992,145085.314,,,133027.775,,,105463.076,,136830.035,,,119743.654,128497.410,124029.525,,156003.761,96936.282,100386.140,126570.934,299.99999,299.99999,6.62224,21.74573,15.65169,17.79911,0.00000,15.35871,12.52012,6.70873,6.25232,21.82768,14.95575,10.50956,13.49432,15.49505,53.24072,8.39269,59.42557,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,01,D,573423,,A,,A,0,D,97000.0,D,97000,97000,97000,97000,97000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,97000.0,D,97000,97000,97000,97000,97000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,6,5,2,2,2
0.5974156,0.6060050,0.6032929,0.5992831,0.6000728,0.6021347,0.6671462,05734232,26,D,29,D,1,1,D,01,D,2,D,12,D,12,D,1,D,1,D,2,D,1,D,0,D,97000,D,84134.612,0,D,7421,D,0,D,,A,0,D,,A,0,D,0,D,97000,D,40,D,40,D,0,D,,,,,1087,D,250,D,,A,1,,2,D,,A,12,D,,A,0,D,0,D,0,D,03,D,2,1,,2,D,1,D,3,2,D,1,,1,04,2024,1,D,2,D,2,D,2,,A,,A,,A,52,D,52,D,122671.103,118121.193,,,,115255.829,,111171.007,121637.226,107363.423,,,,,,147117.641,,0,,,140861.686,164453.953,,139476.426,,143690.992,145085.314,,,133027.775,,,105463.076,,136830.035,,,119743.654,128497.410,124029.525,,156003.761,96936.282,100386.140,126570.934,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,01,D,573423,,A,,A,0,D,97000.0,D,97000,97000,97000,97000,97000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,97000.0,D,97000,97000,97000,97000,97000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,6,5,2,2,2
0.7928353,0.7958621,0.7945244,0.7940286,0.7899352,0.7932747,0.8362171,05734241,62,D,51,D,1,1,D,01,D,2,D,13,D,16,D,3,D,1,D,2,D,1,D,0,D,158319,D,25779.060,6786,D,12111,D,0,D,,A,0,D,,A,0,D,0,D,158319,D,40,D,40,D,0,D,,,,,652,D,150,D,,A,1,,2,D,,A,03,D,,A,0,D,0,D,0,D,10,D,2,3,,2,D,2,D,1,1,D,2,,1,04,2024,2,D,1,D,1,D,2,,A,,A,,A,52,D,52,D,68118.750,,65053.528,,,81585.953,,41138.225,,,48336.704,37911.910,37911.910,,37911.910,46483.638,63733.177,0,37911.910,43736.059,,,,52679.584,,50338.907,45373.260,37911.910,,,,,,49603.534,,,,51090.264,58212.556,,69021.300,,73030.962,55267.880,,235.85001,154.08001,0.00000,6.27756,22.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,102.02514,0.00000,4.28885,2.13649,0.00000,9.31030,0.00000,8.04167,81.77000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,25,D,573424,,A,,A,0,D,158319.0,D,158319,158319,158319,158319,158319,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,158319.0,D,158319,158319,158319,158319,158319,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S11A,16,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,1,3,1,2,2
0.7926447,0.7956715,0.7943338,0.7938380,0.7897446,0.7930841,0.8360265,05734242,62,D,51,D,1,1,D,01,D,2,D,13,D,16,D,3,D,1,D,2,D,1,D,0,D,158319,D,25779.060,6786,D,12111,D,0,D,,A,0,D,,A,0,D,0,D,158319,D,40,D,40,D,0,D,,,,,652,D,150,D,,A,1,,2,D,,A,03,D,,A,0,D,0,D,0,D,10,D,2,3,,2,D,2,D,1,1,D,2,,1,04,2024,2,D,1,D,2,D,2,,A,,A,,A,52,D,52,D,68118.750,,65053.528,,,81585.953,,41138.225,,,48336.704,37911.910,37911.910,,37911.910,46483.638,63733.177,0,37911.910,43736.059,,,,52679.584,,50338.907,45373.260,37911.910,,,,,,49603.534,,,,51090.264,58212.556,,69021.300,,73030.962,55267.880,,205.12000,84.33000,0.00000,0.00000,34.04201,25.07894,7.30905,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17.90000,120.79000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,25,D,573424,,A,,A,0,D,158319.0,D,158319,158319,158319,158319,158319,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,158319.0,D,158319,158319,158319,158319,158319,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S11A,16,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,1,3,1,2,2
0.5888293,0.5951153,0.5967629,0.5916423,0.5919276,0.5931344,0.6610405,05734251,33,D,34,D,1,1,D,01,D,5,D,13,D,12,D,,A,1,D,4,D,3,D,0,D,95248,D,8766.478,0,D,6885,D,0,D,,A,0,D,,A,0,D,0,D,90000,D,,A,40,D,0,D,,,,,1304,D,300,D,,A,1,,1,D,,A,07,D,5248,D,0,D,2,D,0,D,,A,4,1,,2,D,1,D,4,2,D,1,,1,04,2024,1,D,1,D,1,D,2,,A,3,D,,A,0,D,26,D,21072.364,21662.043,,16729.106,,,21469.721,15367.207,14542.965,,26198.450,16004.393,21123.805,22031.685,20946.152,,,0,,13503.622,,27722.577,18531.920,19011.397,,,,,,18132.780,,,,10545.570,20038.411,,21654.871,,19780.903,18310.305,,,16725.520,,,106.26000,23.25000,4.44553,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.11937,0.00000,5.91951,0.00000,4.81430,0.00000,2.95129,83.01000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,2,D,02,D,573425,,A,,A,0,D,95248.0,D,95248,95248,95248,95248,95248,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,90000.0,D,90000,90000,90000,90000,90000,100,D,0.0,D,0,0,0,0,0,5248.0,D,5248,5248,5248,5248,5248,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S49G,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,9,5,1,2,2
0.5888942,0.5951802,0.5968277,0.5917071,0.5919924,0.5931992,0.6611054,05734252,33,D,34,D,1,1,D,01,D,5,D,13,D,12,D,,A,1,D,4,D,3,D,0,D,95248,D,8766.478,0,D,6885,D,0,D,,A,0,D,,A,0,D,0,D,90000,D,,A,40,D,0,D,,,,,1304,D,300,D,,A,1,,1,D,,A,07,D,5248,D,0,D,2,D,0,D,,A,4,1,,2,D,1,D,4,2,D,1,,1,04,2024,1,D,1,D,2,D,2,,A,3,D,,A,0,D,26,D,21072.364,21662.043,,16729.106,,,21469.721,15367.207,14542.965,,26198.450,16004.393,21123.805,22031.685,20946.152,,,0,,13503.622,,27722.577,18531.920,19011.397,,,,,,18132.780,,,,10545.570,20038.411,,21654.871,,19780.903,18310.305,,,16725.520,,,400.02998,400.02998,25.78168,41.57579,10.87019,19.19018,6.40097,10.63561,40.45384,4.65925,8.67188,24.63791,20.74344,22.74369,7.86044,16.28517,55.23204,5.82877,78.45913,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.36028,91.30573,1,D,,A,2,D,02,D,573425,,A,,A,0,D,95248.0,D,95248,95248,95248,95248,95248,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,90000.0,D,90000,90000,90000,90000,90000,100,D,0.0,D,0,0,0,0,0,5248.0,D,5248,5248,5248,5248,5248,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S49G,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,9,5,1,2,2
0.7076133,0.8879298,0.5742270,0.4974170,0.7014224,0.6695736,0.3377359,05734291,59,D,58,D,1,1,D,01,D,4,D,15,D,15,D,1,D,,A,4,D,5,D,0,D,39000,D,48455.142,9724,D,2984,D,0,D,,A,0,D,,A,0,D,0,D,39000,D,40,D,,A,0,D,,,,,783,D,180,D,,A,1,,2,D,,A,,A,,A,0,D,1,D,0,D,10,D,4,1,,2,D,1,D,3,1,D,2,,1,04,2024,1,D,2,D,1,D,2,,A,,A,1,D,52,D,0,D,,,70396.008,,,,,,111709.020,109795.155,72970.260,,72686.990,,,,137212.760,0,100608.749,123400.410,92025.050,44665.771,,105300.820,92821.252,59773.196,,,90486.114,,115999.978,,,117986.189,67374.622,,82119.216,76106.448,,67689.197,,99552.943,74638.565,,,40.11000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,40.11000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,7,D,48,D,573429,2,D,1,D,0,D,125176.4,D,114000,123371,77249,90171,221091,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,125176.4,D,114000,123371,77249,90171,221091,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,3,1,1,1
0.7479682,0.6854253,0.7390243,0.8748994,0.4613280,0.8189883,0.3373776,05734292,59,D,58,D,1,1,D,01,D,4,D,15,D,15,D,1,D,,A,4,D,5,D,0,D,39000,D,48455.142,9724,D,2984,D,0,D,,A,0,D,,A,0,D,0,D,39000,D,40,D,,A,0,D,,,,,783,D,180,D,,A,1,,2,D,,A,,A,,A,0,D,1,D,0,D,10,D,4,1,,2,D,1,D,3,1,D,2,,1,04,2024,1,D,2,D,2,D,2,,A,,A,1,D,52,D,0,D,,,70396.008,,,,,,111709.020,109795.155,72970.260,,72686.990,,,,137212.760,0,100608.749,123400.410,92025.050,44665.771,,105300.820,92821.252,59773.196,,,90486.114,,115999.978,,,117986.189,67374.622,,82119.216,76106.448,,67689.197,,99552.943,74638.565,,,113.44000,50.43000,0.00000,0.00000,8.41000,0.00000,0.00000,3.98000,0.00000,0.00000,3.61000,0.00000,13.69000,0.00000,0.00000,0.00000,10.06000,0.00000,10.68000,63.01000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.96000,1,D,,A,7,D,48,D,573429,2,D,1,D,0,D,140316.8,D,167661,70788,208904,136743,117488,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,140316.8,D,167661,70788,208904,136743,117488,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,3,1,1,1
0.5212914,0.4921447,0.4917848,0.5801170,0.4902250,0.5237521,0.5399886,05734301,88,T,,A,1,1,D,01,D,8,D,13,D,,A,,A,,A,5,D,9,D,0,D,71383,D,29399.368,0,D,0,D,0,D,,A,0,D,12,D,67564,D,0,D,0,D,,A,,A,3516,D,,,,,1087,D,250,D,,A,2,,0,D,,A,,A,,A,0,D,0,D,2,D,,A,4,,A,1,D,1,D,4,2,D,,A,1,04,2024,1,D,3,D,1,D,2,,A,1,D,,A,0,D,,A,,,45280.762,41220.002,,51742.419,,29043.490,30152.292,,,,75221.987,,,,,1,,41364.567,56041.512,90692.822,,78198.250,,,,73671.355,47992.090,64729.681,29043.490,29514.835,,49175.079,38381.221,55593.682,,,69023.883,,61152.295,,,56754.818,49768.698,173.05000,138.79000,4.79000,10.86000,1.98000,0.00000,7.28000,0.00000,0.00000,9.37000,4.82192,31.60808,1.99000,14.33000,8.23000,3.49000,29.07000,5.29000,5.68000,34.26000,0.00000,0.00000,0.00000,0.00000,0.00000,20.35000,6.83000,1,D,,A,7,D,06,D,573430,,A,,A,0,D,80515.0,D,81187,76027,93571,75871,75919,301,0.0,D,0,0,0,0,0,0,D,0,D,293.0,D,293,293,293,293,293,100,76696.0,D,77368,72208,89752,72052,72100,301,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,3516.0,D,3516,3516,3516,3516,3516,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,303,D,303,303,303,303,303,100,303,,A,,A,,A,,,,,,100,,D,A,A,A,D,A,9,1,1,2,
0.5100969,0.4732207,0.4729796,0.5341047,0.5191618,0.5549989,0.5402059,05734302,88,T,,A,1,1,D,01,D,8,D,13,D,,A,,A,,A,5,D,9,D,0,D,71383,D,29399.368,0,D,0,D,0,D,,A,0,D,12,D,67564,D,0,D,0,D,,A,,A,3516,D,,,,,1087,D,250,D,,A,2,,0,D,,A,,A,,A,0,D,0,D,2,D,,A,4,,A,1,D,1,D,4,2,D,,A,1,04,2024,1,D,3,D,2,D,2,,A,1,D,,A,0,D,,A,,,45280.762,41220.002,,51742.419,,29043.490,30152.292,,,,75221.987,,,,,1,,41364.567,56041.512,90692.822,,78198.250,,,,73671.355,47992.090,64729.681,29043.490,29514.835,,49175.079,38381.221,55593.682,,,69023.883,,61152.295,,,56754.818,49768.698,317.56000,317.56000,11.99000,32.67000,61.31000,17.99000,0.00000,0.00000,0.00000,4.99000,6.79000,65.24000,8.98000,5.99000,0.00000,0.00000,56.96000,0.00000,44.65000,0.00000,8.69000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,7,D,06,D,573430,,A,,A,0,D,79576.6,D,87115,80203,83923,73531,73111,301,0.0,D,0,0,0,0,0,0,D,0,D,293.0,D,293,293,293,293,293,100,75757.6,D,83296,76384,80104,69712,69292,301,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,3516.0,D,3516,3516,3516,3516,3516,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,303,D,303,303,303,303,303,100,303,,A,,A,,A,,,,,,100,,D,A,A,A,D,A,9,1,1,2,
