newid,state,strtyear,strtmnth,psu,nywgt
04362851,36,2020,1,S12A,49196.25566577124
04362852,36,2020,2,S12A,49196.25566577124
04363541,36,2020,1,S12A,62556.90030305133
04363542,36,2020,1,S12A,62556.90030305133
04365121,36,2020,1,S12A,63411.55675605208
04365122,36,2020,1,S12A,63411.55675605208
04366321,36,2020,1,S12A,101598.49017594494
04366322,36,2020,2,S12A,101598.49017594494
04366481,36,2020,1,S12A,61022.604889681505
04366482,36,2020,1,S12A,61022.604889681505
04367061,36,2020,1,S12A,50775.8507334578
04367062,36,2020,1,S12A,50775.8507334578
04367411,36,2020,1,S12A,11375.83421095
04367412,36,2020,1,S12A,11375.83421095
04367891,36,2020,1,NA,65858.05284001637
04367892,36,2020,2,NA,65858.05284001637
04368261,36,2020,1,S12A,110543.40933756303
04368262,36,2020,2,S12A,110543.40933756303
04368561,36,2020,1,NA,20825.86814683893
04368562,36,2020,1,NA,20825.86814683893
04368821,36,2020,1,S12A,66153.6764097341
04368822,36,2020,1,S12A,66153.6764097341
04369181,36,2020,1,S12A,59959.52137050163
04369182,36,2020,1,S12A,59959.52137050163
04370311,36,2020,1,NA,138671.50185484893
04370312,36,2020,1,NA,138671.50185484893
04370841,36,2020,1,S12A,83736.69987409103
04370842,36,2020,1,S12A,83736.69987409103
04371591,36,2020,1,S12A,36699.978142737265
04371592,36,2020,1,S12A,36699.978142737265
04371791,36,2020,1,S12A,26247.008355669423
04371792,36,2020,1,S12A,26247.008355669423
04371961,36,2020,1,NA,43271.05510435797
04371962,36,2020,1,NA,43271.05510435797
04372021,36,2020,1,S12A,24497.327363876382
04372022,36,2020,1,S12A,24497.327363876382
04372181,36,2020,1,S12A,125353.84960769865
04372182,36,2020,1,S12A,125353.84960769865
04372761,36,2020,1,S12A,53379.52072266906
04372762,36,2020,1,S12A,53379.52072266906
04373671,36,2020,1,S12A,53229.741850209735
04373672,36,2020,1,S12A,53229.741850209735
04374041,36,2020,1,S12A,11375.83421095
04374042,36,2020,1,S12A,11375.83421095
04374471,36,2020,1,S12A,17919.252985672785
04374472,36,2020,1,S12A,17919.252985672785
04376921,36,2020,1,NA,87441.07435032696
04376922,36,2020,1,NA,87441.07435032696
04376941,36,2020,1,S12A,41425.597931380405
04376942,36,2020,1,S12A,41425.597931380405
04377701,36,2020,1,NA,83321.28822912947
04377702,36,2020,1,NA,83321.28822912947
04431951,36,2020,2,S12A,92523.97034626773
04431952,36,2020,3,S12A,92523.97034626773
04432551,36,2020,2,S12A,54915.16625039219
04432552,36,2020,2,S12A,54915.16625039219
04432611,36,2020,2,S12A,67266.27168121637
04432612,36,2020,2,S12A,67266.27168121637
04432851,36,2020,2,NA,103114.91745356254
04432852,36,2020,2,NA,103114.91745356254
04433121,36,2020,2,S12A,9214.651202550001
04433122,36,2020,2,S12A,9214.651202550001
04433331,36,2020,2,S12A,61799.34138689017
04433332,36,2020,2,S12A,61799.34138689017
04433381,36,2020,2,NA,22150.67476333739
04433382,36,2020,2,NA,22150.67476333739
04433501,36,2020,2,NA,32456.822760792256
04433502,36,2020,2,NA,32456.822760792256
04433901,36,2020,2,NA,62091.98725524213
04433902,36,2020,2,NA,62091.98725524213
04434821,36,2020,2,S12A,23402.87685830822
04434822,36,2020,2,S12A,23402.87685830822
04435001,36,2020,2,S12A,16327.353005994935
04435002,36,2020,2,S12A,16327.353005994935
04435071,36,2020,2,NA,97963.86196875005
04435072,36,2020,2,NA,97963.86196875005
04435721,36,2020,2,S12A,11495.6543
04435722,36,2020,2,S12A,11495.6543
04436442,36,2020,2,NA,55725.14927180248
04438181,36,2020,2,S12A,24953.92538945449
04438182,36,2020,2,S12A,24953.92538945449
04438411,36,2020,2,S12A,72009.67825866972
04438412,36,2020,2,S12A,72009.67825866972
04439502,36,2020,2,S12A,55538.86177139383
04440071,36,2020,2,S12A,30716.511184100633
04440072,36,2020,2,S12A,30716.511184100633
04440521,36,2020,2,NA,17909.865457647673
04440522,36,2020,2,NA,17909.865457647673
04440681,36,2020,2,NA,68348.55715284821
04440682,36,2020,2,NA,68348.55715284821
04440871,36,2020,2,S12A,26523.46446606572
04440872,36,2020,2,S12A,26523.46446606572
04440911,36,2020,2,S12A,17849.99331531411
04440912,36,2020,2,S12A,17849.99331531411
04441661,36,2020,2,S12A,84188.80057502257
04441662,36,2020,2,S12A,84188.80057502257
04442451,36,2020,2,S12A,29671.179063185522
04442452,36,2020,2,S12A,29671.179063185522
04442771,36,2020,2,S12A,19686.91629276173
04442772,36,2020,2,S12A,19686.91629276173
04442981,36,2020,2,S12A,67266.27168121637
04442982,36,2020,2,S12A,67266.27168121637
04443511,36,2020,2,S12A,71383.23367416965
04443512,36,2020,2,S12A,71383.23367416965
04444181,36,2020,2,S12A,17849.99331531411
04444182,36,2020,2,S12A,17849.99331531411
04444781,36,2020,2,NA,49474.216405027175
04444782,36,2020,2,NA,49474.216405027175
04445221,36,2020,2,S12A,51993.00776870302
04445222,36,2020,2,S12A,51993.00776870302
04446431,36,2020,3,S12A,11495.6543
04446432,36,2020,3,S12A,11495.6543
04446471,36,2020,3,S12A,25207.917423438863
04446472,36,2020,3,S12A,25207.917423438863
04446681,36,2020,3,S12A,45252.60315848095
04446682,36,2020,3,S12A,45252.60315848095
04447981,36,2020,3,S12A,50826.50922236691
04447982,36,2020,3,S12A,50826.50922236691
04448111,36,2020,3,NA,22875.448535881707
04448112,36,2020,3,NA,22875.448535881707
04449921,36,2020,3,S12A,66359.08924587393
04449922,36,2020,4,S12A,66359.08924587393
04450571,36,2020,3,S12A,95725.5176014855
04450572,36,2020,3,S12A,95725.5176014855
04451241,36,2020,3,S12A,81106.3085132448
04451242,36,2020,3,S12A,81106.3085132448
04451781,36,2020,4,S12A,117713.78119413382
04451782,36,2020,4,S12A,117713.78119413382
04453811,36,2020,3,NA,22836.506760030064
04453812,36,2020,3,NA,22836.506760030064
04455181,36,2020,3,S12A,60211.93719595022
04455182,36,2020,3,S12A,60211.93719595022
04455491,36,2020,3,S12A,52555.80776749092
04455492,36,2020,4,S12A,52555.80776749092
04456331,36,2020,3,S12A,60609.05968104105
04456332,36,2020,3,S12A,60609.05968104105
04456971,36,2020,3,S12A,97767.93464668478
04456972,36,2020,3,S12A,97767.93464668478
04457321,36,2020,3,S12A,82810.64523274811
04457322,36,2020,3,S12A,82810.64523274811
04457451,36,2020,3,S12A,32128.963959962624
04457452,36,2020,3,S12A,32128.963959962624
04460841,36,2020,3,S12A,40708.90401693493
04460842,36,2020,3,S12A,40708.90401693493
04473821,36,2020,4,S12A,16665.1616106
04473822,36,2020,4,S12A,16665.1616106
04474161,36,2020,4,S12A,168075.8820833554
04474162,36,2020,5,S12A,168075.8820833554
04474221,36,2020,4,S12A,40687.120238412106
04474222,36,2020,4,S12A,40687.120238412106
04474951,36,2020,4,S12A,80931.45069792705
04474952,36,2020,4,S12A,80931.45069792705
04475071,36,2020,4,NA,174123.79876027134
04475072,36,2020,5,NA,174123.79876027134
04478601,36,2020,4,S12A,166768.89758470244
04478602,36,2020,5,S12A,166768.89758470244
04478971,36,2020,4,S12A,108718.73399251162
04478972,36,2020,4,S12A,108718.73399251162
04479241,36,2020,4,S12A,30663.940564692693
04479242,36,2020,4,S12A,30663.940564692693
04479671,36,2020,4,S12A,19934.79097785
04479672,36,2020,4,S12A,19934.79097785
04480651,36,2020,4,S12A,95703.5820438476
04480652,36,2020,5,S12A,95703.5820438476
04480831,36,2020,4,NA,44648.61505308687
04480832,36,2020,4,NA,44648.61505308687
04481091,36,2020,4,S12A,118457.96185840628
04481092,36,2020,4,S12A,118457.96185840628
04481501,36,2020,4,S12A,46898.01629174972
04481502,36,2020,5,S12A,46898.01629174972
04481971,36,2020,4,NA,16721.05961069088
04481972,36,2020,4,NA,16721.05961069088
04482161,36,2020,4,S12A,19308.2778185
04482162,36,2020,4,S12A,19308.2778185
04482451,36,2020,4,NA,203386.3543328106
04482452,36,2020,4,NA,203386.3543328106
04482941,36,2020,4,S12A,118512.08131288506
04482942,36,2020,4,S12A,118512.08131288506
04484641,36,2020,4,S12A,143308.53985241472
04484642,36,2020,4,S12A,143308.53985241472
04484781,36,2020,4,NA,52467.48774788926
04484782,36,2020,4,NA,52467.48774788926
04484931,36,2020,4,NA,158303.3914789366
04484932,36,2020,4,NA,158303.3914789366
04485391,36,2020,4,S12A,147481.48658362075
04485392,36,2020,4,S12A,147481.48658362075
04485641,36,2020,4,S12A,122003.73825823095
04485931,36,2020,4,NA,16887.1347568545
04485932,36,2020,4,NA,16887.1347568545
04488221,36,2020,5,NA,23863.02854366052
04489211,36,2020,5,S12A,33756.19323858055
04489212,36,2020,5,S12A,33756.19323858055
04489331,36,2020,5,S12A,42962.01002902699
04489332,36,2020,5,S12A,42962.01002902699
04489631,36,2020,5,NA,59280.16996177382
04489632,36,2020,5,NA,59280.16996177382
04490111,36,2020,5,NA,47993.93835177476
04490112,36,2020,5,NA,47993.93835177476
04490251,36,2020,5,S12A,51340.45226872106
04490252,36,2020,5,S12A,51340.45226872106
04490791,36,2020,5,NA,47876.94544200119
04491501,36,2020,5,S12A,12446.69862305
04491502,36,2020,5,S12A,12446.69862305
04491851,36,2020,5,NA,65009.94926383676
04491852,36,2020,5,NA,65009.94926383676
04492211,36,2020,5,NA,31797.91369799558
04492212,36,2020,5,NA,31797.91369799558
04492481,36,2020,5,NA,50156.02960759246
04492482,36,2020,5,NA,50156.02960759246
04493071,36,2020,5,S12A,38149.17208480602
04493072,36,2020,5,S12A,38149.17208480602
04494021,36,2020,5,S12A,20644.4265606
04494022,36,2020,5,S12A,20644.4265606
04494341,36,2020,5,S12A,42455.139936569736
04494342,36,2020,5,S12A,42455.139936569736
04494971,36,2020,5,S12A,36333.15869409739
04494972,36,2020,5,S12A,36333.15869409739
04495481,36,2020,5,S12A,83617.21631332484
04495482,36,2020,5,S12A,83617.21631332484
04495702,36,2020,6,S12A,154718.2982871923
04496301,36,2020,5,NA,53127.184852998864
04496302,36,2020,5,NA,53127.184852998864
04497121,36,2020,5,S12A,26587.644045624205
04497122,36,2020,5,S12A,26587.644045624205
04497921,36,2020,5,NA,16624.76859138445
04497922,36,2020,5,NA,16624.76859138445
04498551,36,2020,5,NA,53600.782249175725
04498552,36,2020,5,NA,53600.782249175725
04498651,36,2020,5,S12A,20703.22028334534
04498652,36,2020,5,S12A,20703.22028334534
04500721,36,2020,5,S12A,57139.54456155184
04500722,36,2020,5,S12A,57139.54456155184
04501191,36,2020,5,S12A,11509.36065705
04501192,36,2020,6,S12A,11509.36065705
04501791,36,2020,5,S12A,61839.34432712576
04501792,36,2020,5,S12A,61839.34432712576
04502411,36,2020,5,S12A,11184.179135386285
04502412,36,2020,5,S12A,11184.179135386285
04502681,36,2020,5,S12A,59321.057661998006
04502682,36,2020,5,S12A,59321.057661998006
04502701,36,2020,5,S12A,84112.16432829371
04502702,36,2020,5,S12A,84112.16432829371
04515171,36,2020,6,NA,63873.25850858415
04515172,36,2020,6,NA,63873.25850858415
04515761,36,2020,6,NA,47642.94061904925
04515871,36,2020,6,S12A,120526.3317796287
04515872,36,2020,7,S12A,120526.3317796287
04516421,36,2020,6,S12A,25225.240454426366
04516422,36,2020,6,S12A,25225.240454426366
04518061,36,2020,6,S12A,52321.47723142725
04518062,36,2020,6,S12A,52321.47723142725
04518281,36,2020,6,NA,31985.759335741088
04518282,36,2020,6,NA,31985.759335741088
04520041,36,2020,6,S12A,89475.25628908463
04520042,36,2020,6,S12A,89475.25628908463
04521301,36,2020,6,NA,41276.051383393584
04521302,36,2020,6,NA,41276.051383393584
04521541,36,2020,6,NA,53462.85512869172
04521542,36,2020,6,NA,53462.85512869172
04525941,36,2020,6,S12A,33528.03481893007
04525942,36,2020,7,S12A,33528.03481893007
04527731,36,2020,7,S12A,40455.81113399152
04527732,36,2020,7,S12A,40455.81113399152
04529851,36,2020,7,NA,116623.2129513066
04530561,36,2020,7,S12A,74114.47760334385
04530562,36,2020,7,S12A,74114.47760334385
04532091,36,2020,7,S12A,51104.33503338098
04532092,36,2020,7,S12A,51104.33503338098
04532901,36,2020,7,NA,11374.508341773168
04532902,36,2020,7,NA,37661.707537737464
04532991,36,2020,7,S12A,128437.6271957867
04532992,36,2020,8,S12A,128437.6271957867
04533001,36,2020,7,NA,21756.515643137394
04533002,36,2020,7,NA,21756.515643137394
04533331,36,2020,7,S12A,114819.450415927
04533332,36,2020,7,S12A,114819.450415927
04533351,36,2020,7,NA,62068.65716709609
04533352,36,2020,8,NA,62068.65716709609
04533431,36,2020,7,NA,28617.69636009963
04533432,36,2020,7,NA,28617.69636009963
04533981,36,2020,7,NA,69602.13106752571
04533982,36,2020,7,NA,69602.13106752571
04534391,36,2020,7,S12A,46702.042942568885
04534392,36,2020,7,S12A,46702.042942568885
04534751,36,2020,7,NA,109223.0092702687
04534752,36,2020,7,NA,109223.0092702687
04534991,36,2020,7,S12A,75284.39481190302
04534992,36,2020,7,S12A,75284.39481190302
04535461,36,2020,7,S12A,8887.909336100001
04535462,36,2020,8,S12A,8887.909336100001
04535631,36,2020,7,S12A,46702.042942568885
04535632,36,2020,8,S12A,46702.042942568885
04536031,36,2020,7,S12A,66973.3122459987
04536032,36,2020,7,S12A,66973.3122459987
04537051,36,2020,7,S12A,18166.22877785
