newid,state,strtyear,strtmnth,psu,txwgt
04363081,48,2020,1,S37A,46352.569094548286
04363082,48,2020,2,S37A,46352.569094548286
04363361,48,2020,1,S37B,41929.142127453604
04363362,48,2020,1,S37B,41929.142127453604
04363641,48,2020,1,S37B,37488.75396324377
04363642,48,2020,1,S37B,37488.75396324377
04363771,48,2020,1,S37B,20971.580025436313
04363772,48,2020,1,S37B,20971.580025436313
04364001,48,2020,1,S37A,39693.175899252026
04364002,48,2020,1,S37A,39693.175899252026
04364621,48,2020,1,S37B,17564.641655400013
04364622,48,2020,1,S37B,17564.641655400013
04364951,48,2020,1,NA,49710.688278027825
04364952,48,2020,1,NA,49710.688278027825
04365171,48,2020,1,S37A,63262.20433047064
04365172,48,2020,1,S37A,63262.20433047064
04365211,48,2020,1,S37A,33216.01624305884
04365212,48,2020,1,S37A,33216.01624305884
04365271,48,2020,1,NA,40035.09998417873
04365272,48,2020,1,NA,40035.09998417873
04365411,48,2020,1,S37A,34880.263939946635
04365412,48,2020,1,S37A,34880.263939946635
04366221,48,2020,1,S37A,17268.738855593234
04366222,48,2020,1,S37A,17268.738855593234
04366491,48,2020,1,S37A,16109.583216029065
04366492,48,2020,1,S37A,16109.583216029065
04367091,48,2020,1,NA,59277.59885340138
04367092,48,2020,2,NA,59277.59885340138
04367481,48,2020,1,S37A,51553.30489911128
04367482,48,2020,1,S37A,51553.30489911128
04367531,48,2020,1,S37A,49752.599605772986
04367532,48,2020,1,S37A,52869.30047378194
04368061,48,2020,1,S37B,30693.056284141017
04368062,48,2020,2,S37B,30693.056284141017
04368271,48,2020,1,S37A,46912.17809230594
04368272,48,2020,1,S37A,46912.17809230594
04369061,48,2020,1,S37A,42886.90587930796
04369062,48,2020,1,S37A,42886.90587930796
04369371,48,2020,1,S37A,52065.24658275611
04369372,48,2020,2,S37A,52065.24658275611
04369431,48,2020,1,S37A,88976.04862523355
04369432,48,2020,1,S37A,88976.04862523355
04369541,48,2020,1,NA,106973.20570661557
04369542,48,2020,1,NA,106973.20570661557
04369701,48,2020,1,NA,56598.06057540073
04369702,48,2020,1,NA,56598.06057540073
04370351,48,2020,1,S37B,57759.06456179967
04370352,48,2020,1,S37B,57759.06456179967
04370691,48,2020,1,NA,97007.9099026456
04370692,48,2020,1,NA,97007.9099026456
04371321,48,2020,1,NA,51467.37111041632
04371322,48,2020,1,NA,51467.37111041632
04371411,48,2020,1,S37B,35758.5398843849
04371412,48,2020,1,S37B,35758.5398843849
04372171,48,2020,1,S37B,21545.854389709522
04372172,48,2020,1,S37B,21545.854389709522
04372771,48,2020,1,S37A,29866.07842246653
04372772,48,2020,1,S37A,29866.07842246653
04373241,48,2020,2,S37A,17916.519544461098
04373242,48,2020,2,S37A,17916.519544461098
04373421,48,2020,1,S37B,24458.756741560035
04373422,48,2020,2,S37B,24458.756741560035
04373621,48,2020,1,NA,120781.56893831915
04373622,48,2020,1,NA,120781.56893831915
04374521,48,2020,1,NA,71859.430572293335
04374522,48,2020,1,NA,71859.430572293335
04374641,48,2020,1,S37B,17307.259272526182
04374642,48,2020,1,S37B,17307.259272526182
04374941,48,2020,1,S37A,46425.88449141934
04374942,48,2020,2,S37A,46425.88449141934
04375401,48,2020,1,S37B,42611.50582590846
04375402,48,2020,1,S37B,42611.50582590846
04376581,48,2020,1,S37A,51375.41090719619
04376582,48,2020,1,S37A,51375.41090719619
04376731,48,2020,1,S37B,59642.554882863515
04376732,48,2020,2,S37B,59642.554882863515
04377151,48,2020,1,S37B,44415.09659268164
04377152,48,2020,1,S37B,44415.09659268164
04377251,48,2020,1,NA,79704.20113506418
04377252,48,2020,1,NA,79704.20113506418
04432231,48,2020,2,S37A,58051.38695894014
04432232,48,2020,2,S37A,58051.38695894014
04433171,48,2020,2,NA,81442.45749496917
04433172,48,2020,2,NA,81442.45749496917
04434081,48,2020,2,NA,79241.04571415395
04434082,48,2020,2,NA,79241.04571415395
04434151,48,2020,3,NA,87994.88941459675
04434152,48,2020,3,NA,36965.459986595866
04434491,48,2020,2,NA,67494.92360050348
04434492,48,2020,2,NA,67494.92360050348
04434551,48,2020,2,S37A,22822.825759287964
04434552,48,2020,2,S37A,22822.825759287964
04434951,48,2020,2,S37B,30441.760985586498
04434952,48,2020,2,S37B,30441.760985586498
04435161,48,2020,2,NA,29891.596969708906
04435162,48,2020,2,NA,29891.596969708906
04435791,48,2020,2,S37B,36286.109083821
04435792,48,2020,2,S37B,36286.109083821
04435981,48,2020,3,NA,65037.463527942244
04435982,48,2020,3,NA,65037.463527942244
04436481,48,2020,2,NA,42417.86792088691
04436482,48,2020,2,NA,42417.86792088691
04436681,48,2020,2,NA,105199.25559984068
04436682,48,2020,3,NA,51254.45075320954
04436831,48,2020,2,NA,39775.81345819784
04436832,48,2020,2,NA,39775.81345819784
04437011,48,2020,2,S37B,42588.57901372087
