newid,state,qintrvyr,qintrvmo,psu,nywgt
04172654,36,2020,1,S12A,30925.99604767563
04173134,36,2020,1,S12A,23680.670847578076
04173574,36,2020,1,,17235.65852341354
04173644,36,2020,1,,20531.85721999136
04174244,36,2020,1,S12A,23997.652633979465
04174544,36,2020,1,,13247.390615414168
04177294,36,2020,1,S12A,23357.945145538924
04177474,36,2020,1,S12A,28312.818841704287
04178284,36,2020,1,S12A,33364.527475297626
04178294,36,2020,1,,42102.583496028295
04179714,36,2020,1,S12A,42711.68091969086
04180064,36,2020,1,S12A,24452.46854899069
04180124,36,2020,1,,41106.83598775654
04180174,36,2020,1,,33845.57011498575
04180464,36,2020,1,S12A,23357.945145538924
04180874,36,2020,1,S12A,26235.571746422764
04181194,36,2020,1,,22201.787179354258
04182314,36,2020,1,S12A,23357.945145538924
04182684,36,2020,1,,23289.79629344154
04182714,36,2020,1,,15870.12866515331
04182754,36,2020,1,,31375.3642599736
04182994,36,2020,1,S12A,23946.634711439972
04183104,36,2020,1,S12A,24452.46854899069
04183164,36,2020,1,,14413.085570678257
04183794,36,2020,2,,21877.244647299372
04184664,36,2020,2,,23802.317626634776
04184704,36,2020,2,,21433.93445930157
04184974,36,2020,2,,20404.315775136445
04185084,36,2020,2,S12A,20096.00157805938
04187184,36,2020,2,S12A,22096.59229865743
04187194,36,2020,2,S12A,17429.84036543927
04187304,36,2020,2,S12A,13837.70441682259
04187654,36,2020,2,S12A,23851.966924865552
04187674,36,2020,2,,26867.20563366469
04187684,36,2020,2,,36232.230396145715
04187724,36,2020,2,S12A,17679.337370383342
04188034,36,2020,2,S12A,18684.100423362375
04188284,36,2020,2,S12A,23946.634711439972
04188314,36,2020,2,,14413.085570678257
04188474,36,2020,2,S12A,14153.29318097904
04188564,36,2020,2,S12A,10607.6733
04188904,36,2020,2,,20755.422075611412
04189984,36,2020,2,S12A,33455.269750771346
04190064,36,2020,2,,12039.846837691191
04191154,36,2020,2,,32366.389911692284
04191184,36,2020,2,S12A,13837.70441682259
04191584,36,2020,2,S12A,25041.158114891743
04191904,36,2020,2,S12A,20365.48109412886
04192634,36,2020,2,S12A,12931.825266512293
04192884,36,2020,2,S12A,18344.9078624054
04193144,36,2020,2,,26749.105877352325
04193494,36,2020,2,S12A,22878.988476339215
04194674,36,2020,3,S12A,21197.49473101187
04194714,36,2020,3,S12A,18178.07841897567
04194794,36,2020,3,,30750.476539923722
04195204,36,2020,3,,13224.870051367965
04195254,36,2020,3,S12A,25637.603423510223
04195434,36,2020,3,S12A,21410.719696957178
04195534,36,2020,3,S12A,21154.50108904258
04196614,36,2020,3,S12A,24419.90872129463
04197494,36,2020,3,S12A,26543.83138623318
04197704,36,2020,3,,25425.921137356665
04197894,36,2020,3,,24287.824765475038
04198094,36,2020,3,S12A,30627.95168745578
04198504,36,2020,3,S12A,17559.486892024397
04198564,36,2020,3,S12A,13654.903064107619
04198674,36,2020,3,,14388.583325208107
04198994,36,2020,3,S12A,10607.6733
04199454,36,2020,3,S12A,24998.588146096426
04199874,36,2020,3,S12A,16577.313668837487
04199994,36,2020,3,S12A,21802.501245970532
04200344,36,2020,3,,26378.911902129457
04200574,36,2020,3,S12A,21899.75083654334
04200744,36,2020,3,S12A,32717.759448197885
04201304,36,2020,3,S12A,21154.50108904258
04201364,36,2020,3,S12A,26647.958079934164
04201384,36,2020,3,S12A,23151.690805415616
04201894,36,2020,3,,18015.89352138126
04202854,36,2020,3,,25425.921137356665
04202924,36,2020,3,,30255.088350042155
04204134,36,2020,3,S12A,21161.45898996915
04204214,36,2020,3,S12A,22813.262718764625
04214963,36,2020,1,S12A,10410.37057662
04215263,36,2020,1,S12A,23191.1157021092
04215343,36,2020,1,,13247.390615414168
04215453,36,2020,1,S12A,27744.877045275207
04215493,36,2020,1,S12A,22872.626761699885
04215973,36,2020,1,S12A,17791.972605217536
04216163,36,2020,1,S12A,23191.1157021092
04216213,36,2020,1,S12A,17589.388853074623
04216883,36,2020,1,S12A,35035.090327495236
04217693,36,2020,1,S12A,18344.9078624054
04217733,36,2020,1,S12A,28760.700197480215
04218633,36,2020,1,S12A,20660.896786331014
04219044,36,2020,1,S12A,23191.1157021092
04219093,36,2020,1,,28993.710262258486
04219363,36,2020,1,,16925.140248149295
04219573,36,2020,1,S12A,23271.84469729836
04220173,36,2020,1,S12A,21590.75846110671
04220343,36,2020,1,S12A,35353.75446127996
04220883,36,2020,1,S12A,29487.97113924494
04221133,36,2020,1,,36082.68174379917
04221183,36,2020,1,S12A,27254.603233916456
04221433,36,2020,1,,21777.00010087655
04221783,36,2020,1,S12A,17679.11802808363
04222013,36,2020,1,S12A,18344.9078624054
04222243,36,2020,1,,24619.03707963553
04222323,36,2020,1,,13247.390615414168
04223353,36,2020,1,S12A,17350.50169529421
04224753,36,2020,1,S12A,22851.70379885251
04225123,36,2020,1,S12A,21190.52498151115
04225233,36,2020,1,S12A,13837.70441682259
04225443,36,2020,1,,22361.499710905293
04225733,36,2020,2,S12A,72330.81049902961
04226233,36,2020,2,S12A,22497.902783389578
04226373,36,2020,2,S12A,22852.1113079882
04226453,36,2020,2,,20293.21369435479
04226603,36,2020,2,,30406.464007887193
04226933,36,2020,2,S12A,26339.945640078928
04227053,36,2020,2,S12A,21590.75846110671
04227533,36,2020,2,,30167.820482250623
04228103,36,2020,2,S12A,10607.6733
04229043,36,2020,2,,22361.499710905293
04229353,36,2020,2,,21240.0672640919
04229944,36,2020,2,S12A,21197.49473101187
04230053,36,2020,2,,29158.170685705238
04230193,36,2020,2,S12A,40239.936747635016
04231743,36,2020,2,,23802.317626634776
04233593,36,2020,2,S12A,21252.831072122302
04234243,36,2020,2,S12A,24327.607329828756
04234823,36,2020,2,,32158.792696360113
04235183,36,2020,2,S12A,30107.190102522927
04235873,36,2020,2,,30167.820482250623
04235893,36,2020,2,,22488.09241751291
04236363,36,2020,3,,29881.209081505425
04236423,36,2020,3,,26295.136573210613
04236473,36,2020,3,S12A,25431.983905531764
04236753,36,2020,3,S12A,23318.236638791506
04238123,36,2020,3,S12A,27554.37627953259
04238743,36,2020,3,S12A,22813.262718764625
04238783,36,2020,3,S12A,31512.12150771921
04238883,36,2020,3,,46103.954158599685
04239743,36,2020,3,,18548.823695061958
04239853,36,2020,3,,23932.153197505857
04240853,36,2020,3,,22709.06406491581
04241023,36,2020,3,,42031.00910408505
04241063,36,2020,3,S12A,17589.388853074623
04241763,36,2020,3,S12A,21484.384674393383
04241783,36,2020,3,S12A,21410.719696957178
04241973,36,2020,3,S12A,23459.110703906405
04242273,36,2020,3,S12A,13060.133539251441
04242403,36,2020,3,S12A,29472.705601049922
04242683,36,2020,3,S12A,21449.520661651688
04242723,36,2020,3,S12A,31859.899041600424
04242813,36,2020,3,S12A,34610.60350145213
04243193,36,2020,3,S12A,13837.70441682259
04243383,36,2020,3,,17532.46169138347
04246053,36,2020,3,S12A,21590.350951971013
04246323,36,2020,3,S12A,12183.276006682237
04267182,36,2020,1,,18580.410392729595
04267202,36,2020,1,,16760.027735438787
04267752,36,2020,1,S12A,13837.70441682259
04268552,36,2020,1,S12A,19589.760231372962
04270552,36,2020,1,S12A,26747.66761376561
04270942,36,2020,1,S12A,21896.0612116638
04271202,36,2020,1,S12A,24452.46854899069
04271502,36,2020,1,S12A,27141.41451213151
04272112,36,2020,1,,43416.384251507654
04272802,36,2020,1,S12A,17074.34040061188
04273122,36,2020,1,S12A,20096.00157805938
04273682,36,2020,1,,17077.672442876286
04273802,36,2020,1,,18046.572694962695
04273872,36,2020,1,S12A,26444.0590897689
04273992,36,2020,1,S12A,30107.190102522927
04274592,36,2020,1,S12A,23779.80526801025
04275212,36,2020,1,S12A,27760.43707146718
04275722,36,2020,1,S12A,18003.692576164656
04275792,36,2020,1,,28435.92713252784
04275982,36,2020,1,S12A,30772.88363400265
04276072,36,2020,1,S12A,30534.96970597401
04276932,36,2020,1,S12A,26588.594057294977
04276952,36,2020,1,,21153.95593318232
04276992,36,2020,1,S12A,22852.1113079882
04277162,36,2020,1,S12A,26444.0590897689
04277652,36,2020,1,S12A,26444.0590897689
04279272,36,2020,2,S12A,24471.185888143536
04279642,36,2020,2,,22361.499710905293
04280642,36,2020,2,S12A,22692.37465351687
04280812,36,2020,2,S12A,25655.322998050553
04280902,36,2020,2,S12A,17679.337370383342
04281222,36,2020,2,,20247.73602906985
04281382,36,2020,2,,34751.84720249512
04281602,36,2020,2,,21877.244647299372
04282612,36,2020,2,S12A,27300.743657467152
04283132,36,2020,2,S12A,43695.508036361935
04283602,36,2020,2,S12A,25293.600661400884
04283852,36,2020,2,,25339.165775821246
04284082,36,2020,2,S12A,24452.46854899069
04284282,36,2020,2,,24155.418053853165
04284312,36,2020,2,S12A,22851.70379885251
04284732,36,2020,2,S12A,16963.37533367132
04285052,36,2020,2,,23409.330957077233
04285352,36,2020,2,S12A,22703.902900869278
04285392,36,2020,2,,21500.757472077763
04285762,36,2020,2,S12A,12032.727698866729
04285893,36,2020,2,S12A,53516.58150775695
04286172,36,2020,2,S12A,24124.804235386127
04288292,36,2020,2,S12A,26395.16273998993
04288532,36,2020,2,S12A,21590.75846110671
04288782,36,2020,3,S12A,24998.588146096426
04289052,36,2020,3,,23932.153197505857
04289292,36,2020,3,S12A,28338.753010299624
04290182,36,2020,3,,32516.415865547562
04290352,36,2020,3,,25425.921137356665
04291612,36,2020,3,S12A,18818.695439066192
04291652,36,2020,3,,32694.674303834352
04293282,36,2020,3,S12A,22657.735283083835
04293292,36,2020,3,S12A,27079.544463257822
04293732,36,2020,3,S12A,20061.83837537668
04293742,36,2020,3,S12A,23151.690805415616
04294102,36,2020,3,S12A,24378.394876468432
04295082,36,2020,3,S12A,26488.899794145585
04295322,36,2020,3,,13099.284815198895
04295422,36,2020,3,S12A,21394.589069564092
04295542,36,2020,3,S12A,24883.77561286548
04295832,36,2020,3,S12A,19164.269273596114
04295892,36,2020,3,S12A,23905.925432430526
04297034,36,2020,3,,21117.99420809591
04297222,36,2020,3,,30202.50012907783
04297992,36,2020,3,S12A,16230.577725187717
04298102,36,2020,3,S12A,24286.250397368047
04298112,36,2020,3,,26478.414449754022
04298202,36,2020,3,S12A,23905.925432430526
04298222,36,2020,3,,24287.824765475038
04299002,36,2020,3,S12A,20185.419546774734
04299022,36,2020,3,S12A,23318.236638791506
04299382,36,2020,3,S12A,32625.673456617475
04310471,36,2020,1,,19538.60899957468
04310781,36,2020,1,,30992.29958993866
04311321,36,2020,1,S12A,21725.857560314784
04312011,36,2020,1,S12A,29094.577629574345
04312621,36,2020,1,,19070.172067207775
04312851,36,2020,1,S12A,13173.057240445243
04312981,36,2020,1,S12A,10872.0772
04313071,36,2020,1,S12A,17880.6596863408
04313261,36,2020,1,,39755.02120299538
04313384,36,2020,1,,88148.63838399728
04313492,36,2020,1,S12A,19589.760231372962
04313721,36,2020,1,,26769.893006988295
04316031,36,2020,1,S12A,21901.74227908495
04316131,36,2020,1,S12A,26850.225716223835
04316521,36,2020,1,,18539.781084382947
04317901,36,2020,1,S12A,25061.96394596719
04317921,36,2020,1,S12A,28818.823606660466
04318201,36,2020,1,S12A,23940.158758062844
04318241,36,2020,1,,20706.612133551338
04319671,36,2020,1,S12A,28564.706189965917
04320141,36,2020,1,S12A,20303.748537378422
04320301,36,2020,1,S12A,23892.679962340415
04320861,36,2020,2,,22808.556557787924
04320971,36,2020,2,S12A,18802.16790867404
04321321,36,2020,2,,23347.343547099405
