newid,state,qintrvyr,qintrvmo,psu,txwgt
04172754,48,2020,1,,36325.57569272419
04172834,48,2020,1,,28174.472457886495
04173104,48,2020,1,S37A,34638.872049229685
04173914,48,2020,1,,35066.20210880984
04174364,48,2020,1,S37A,37737.82286489683
04174504,48,2020,1,,44865.646373685566
04174734,48,2020,1,S37B,37153.95189283454
04174864,48,2020,1,,22130.971384179793
04175154,48,2020,1,S37A,43268.910115526305
04175714,48,2020,1,S37A,40176.638120432945
04175784,48,2020,1,,89005.47578603799
04176124,48,2020,1,,44851.35533213039
04177054,48,2020,1,S37A,30827.839603429882
04177524,48,2020,1,S37A,24474.240142685412
04178264,48,2020,1,S37B,32504.964550999775
04178454,48,2020,1,,34878.25043747055
04178484,48,2020,1,,27049.65533397987
04178644,48,2020,1,S37A,41203.28940303054
04178714,48,2020,1,S37A,37737.82286489683
04178924,48,2020,1,S37A,31138.93654604145
04179204,48,2020,1,S37A,37590.95227423549
04179414,48,2020,1,,45760.11007295112
04179694,48,2020,1,,65559.81141394997
04180024,48,2020,1,S37B,29380.885926278188
04180344,48,2020,1,,47839.351998904676
04180954,48,2020,1,S37B,38437.79043633863
04180974,48,2020,1,,27219.610153748326
04181074,48,2020,1,S37A,52392.77614387581
04181554,48,2020,1,,59179.90122682153
04181564,48,2020,1,S37B,27581.924844145735
04181824,48,2020,1,S37B,26335.843515240336
04181844,48,2020,1,S37B,34813.43213413721
04181924,48,2020,1,,45455.36969590889
04182854,48,2020,1,S37A,35455.972091796706
04183204,48,2020,2,,56629.73423543348
04183294,48,2020,2,,40736.70855286405
04183344,48,2020,2,,28253.545426621225
04183874,48,2020,2,,34452.719521324005
04184374,48,2020,2,S37A,36961.69155097475
04184904,48,2020,2,S37A,27259.364156499578
04184944,48,2020,2,S37A,46991.62146471314
04185124,48,2020,2,S37B,40741.9978405575
04185494,48,2020,2,,28705.9695956351
04186454,48,2020,2,S37B,53061.70542497719
04186754,48,2020,2,,46221.62164198345
04187134,48,2020,2,S37A,39606.8921298902
04187624,48,2020,2,S37A,40258.37993800264
04188464,48,2020,2,S37B,26276.194424319678
04188574,48,2020,2,S37A,34632.58197984658
04188594,48,2020,2,S37B,29341.977828083393
04188684,48,2020,2,S37B,26622.90887951932
04188894,48,2020,2,S37B,26442.52604814487
04190084,48,2020,2,S37A,30660.870847117465
04190264,48,2020,2,S37A,30359.734720939123
04190564,48,2020,2,,31201.390351264956
04191444,48,2020,2,S37A,45745.37719911502
04191924,48,2020,2,,30840.91983243678
04192794,48,2020,2,,45735.89911339645
04193014,48,2020,2,,32408.932022251152
04193054,48,2020,2,,55039.680538188855
04193464,48,2020,2,S37B,27265.415054440236
04194094,48,2020,3,,47936.75325705284
04195234,48,2020,3,S37A,30393.10780326965
04195864,48,2020,3,S37A,27973.792108390502
04197114,48,2020,3,,34403.6390763178
04198244,48,2020,3,S37A,36472.82566922009
04199244,48,2020,3,,33798.99864117434
04199574,48,2020,3,S37A,31207.36432216233
04199664,48,2020,3,S37B,27747.703292937036
04199684,48,2020,3,,54133.44348923567
04200034,48,2020,3,S37A,29249.15598822687
04200084,48,2020,3,,45068.86094288216
04200494,48,2020,3,,32582.846700154998
04200624,48,2020,3,S37A,46321.2738615
04200704,48,2020,3,,39143.32006735142
04200964,48,2020,3,,40462.75314493662
04201084,48,2020,3,S37A,44826.01861227877
04201264,48,2020,3,,27182.40566727222
04203284,48,2020,3,,65639.26789808343
04203654,48,2020,3,S37A,30368.069136040172
04215313,48,2020,1,,31923.541804618322
04215893,48,2020,1,,39832.86484601339
04215923,48,2020,1,S37B,26650.690180597278
04216513,48,2020,1,S37B,25596.81315124886
04216603,48,2020,1,,41642.0452267817
04216813,48,2020,1,S37B,26881.812614344402
04216923,48,2020,1,,53102.4593372359
04216983,48,2020,1,S37A,35539.13661049211
04217393,48,2020,1,,30756.109039254945
04217423,48,2020,1,S37B,26478.879813069878
04217943,48,2020,1,,39699.28144047477
04219223,48,2020,1,,55306.64532368299
04219293,48,2020,1,S37B,32880.77400921745
04219593,48,2020,1,S37A,30172.78208281654
04219883,48,2020,1,,39021.73248875704
04220563,48,2020,1,,36392.94968109213
04220803,48,2020,1,,31159.500539615845
04221973,48,2020,1,,32509.146096077067
04222293,48,2020,1,,33450.90898996532
04222363,48,2020,1,,28921.67250314411
04222973,48,2020,1,S37B,34040.581388647006
04223103,48,2020,1,S37A,24826.39890336706
04223343,48,2020,1,S37A,39469.67838028948
04224523,48,2020,1,,53202.060431083795
04226023,48,2020,2,S37B,32475.366045763454
04226323,48,2020,2,S37A,37917.68354550403
04226693,48,2020,2,,25772.75857427877
04226943,48,2020,2,S37A,25798.498799291465
04226953,48,2020,2,S37B,27900.228165021126
04227423,48,2020,2,S37B,31515.639878676302
04228573,48,2020,2,S37A,48431.01661383588
04229063,48,2020,2,,65230.65864450682
04229473,48,2020,2,,36728.6691054321
04229913,48,2020,2,,38348.76780217956
04230363,48,2020,2,S37A,24980.688382063232
04230503,48,2020,2,,64814.667142254235
04231033,48,2020,2,S37B,18955.93957050259
04231313,48,2020,2,,27426.125881577038
04232333,48,2020,2,S37B,22509.044776744955
04232493,48,2020,2,S37A,40993.45320709534
04232573,48,2020,2,,44830.46061512386
04233123,48,2020,2,S37B,16224.120845580966
04233163,48,2020,2,S37A,35331.97303065739
04233283,48,2020,2,,40338.78076682587
04233633,48,2020,2,S37B,39327.79270817183
04233673,48,2020,2,,27313.43076546344
04233703,48,2020,2,S37A,30055.612727474538
04233773,48,2020,2,,40084.3363208681
04233933,48,2020,2,,40172.16790655449
04235213,48,2020,2,,21570.043246749123
04235333,48,2020,2,S37B,25511.332397971244
04236263,48,2020,3,,35531.24087650966
04236523,48,2020,3,,31245.833214490212
04237843,48,2020,3,,35248.86968044939
04238373,48,2020,3,,29625.812091833905
04238513,48,2020,3,S37A,35090.76848291921
04239344,48,2020,3,,38201.180267760086
04239493,48,2020,3,S37B,29380.885926278188
04240963,48,2020,3,,66548.54808353842
04241293,48,2020,3,,70070.57688605788
04241863,48,2020,3,,46479.17023430295
04242103,48,2020,3,S37B,33328.0913538895
04242513,48,2020,3,,37087.81672367778
04242573,48,2020,3,,32886.12974781462
04243353,48,2020,3,,36867.729695549715
04243483,48,2020,3,,44170.145394229134
04243733,48,2020,3,S37A,31732.054840947505
04243763,48,2020,3,S37A,29396.03396303053
04243933,48,2020,3,,55555.05443417876
04243953,48,2020,3,S37B,29380.885926278188
04244183,48,2020,3,S37A,31155.41883785792
04245053,48,2020,3,S37B,39144.37955355732
04245243,48,2020,3,,91461.80913724273
04245493,48,2020,3,,47534.57585669918
04267102,48,2020,1,,41254.20485553182
04267442,48,2020,1,S37B,21748.659603166212
04267532,48,2020,1,,46243.3699746257
04267592,48,2020,1,S37A,35539.13661049211
04268222,48,2020,1,S37A,39642.76793797887
04268462,48,2020,1,,29474.846021764723
04269692,48,2020,1,,29332.625108193643
04269742,48,2020,1,,35264.10473312212
04270232,48,2020,1,S37B,24272.644621955664
04270302,48,2020,1,,29352.97419270685
04270342,48,2020,1,,24220.729492232716
04270712,48,2020,1,,31700.701411924867
04270892,48,2020,1,,40484.14405009337
04271102,48,2020,1,S37B,19349.049399717303
04272002,48,2020,1,S37A,28684.49478972106
04272242,48,2020,1,S37A,26051.932482214645
04272532,48,2020,1,,49475.65249011393
04273032,48,2020,1,,41461.367553277865
04273152,48,2020,1,S37A,41022.05608754826
04273752,48,2020,1,,40783.77474404251
04274034,48,2020,1,S37B,29716.295102364686
04275172,48,2020,1,,42894.30429374135
04275532,48,2020,1,S37B,16672.590394637315
04275612,48,2020,1,S37B,44465.46572279314
04275752,48,2020,1,S37B,31460.249173659053
04276202,48,2020,1,,22132.962750322826
04276362,48,2020,1,,59547.809704463885
04277152,48,2020,1,S37B,26650.690180597278
04277302,48,2020,1,S37A,28194.8276566418
04277732,48,2020,1,S37A,47023.705746989835
04277852,48,2020,2,S37B,23547.755661617914
04278592,48,2020,2,,44810.76587029136
04279722,48,2020,2,S37A,31163.868521606415
04279792,48,2020,2,S37A,35800.449848111806
04280252,48,2020,2,S37B,30692.67095794914
04280682,48,2020,2,,44421.86101613513
04280752,48,2020,2,S37A,28231.841801566712
04281642,48,2020,2,S37A,40633.02845501541
04281752,48,2020,2,,42289.11006756431
04281762,48,2020,2,S37A,25079.783430577598
04282062,48,2020,2,,42662.53338273792
04282312,48,2020,2,S37B,38526.8197254621
04283332,48,2020,2,S37A,28716.799238726322
04283614,48,2020,2,,49792.9796977854
04284212,48,2020,2,,37256.19802802003
04285772,48,2020,2,S37A,43897.29596307433
04286092,48,2020,2,S37A,34830.4394662943
04287692,48,2020,2,,61865.0229101241
04288072,48,2020,2,S37A,44826.01861227877
04288112,48,2020,2,S37A,35935.22711364527
04288352,48,2020,2,,35879.53442239507
04288842,48,2020,3,S37A,30801.921196048126
04288892,48,2020,3,,61830.30716023941
04289082,48,2020,3,S37A,31980.627805978085
04289442,48,2020,3,S37A,36337.55203989662
04289452,48,2020,3,,39023.555622237836
04289692,48,2020,3,S37A,29032.1918332706
04289742,48,2020,3,,40765.09905746892
04290022,48,2020,3,,35439.06111202441
04290162,48,2020,3,,45916.82325595159
04290562,48,2020,3,S37A,31155.41883785792
04292402,48,2020,3,S37A,51791.60086817757
04292742,48,2020,3,S37A,35090.76848291921
04293492,48,2020,3,S37B,27252.720525199536
04293792,48,2020,3,S37A,29249.15598822687
04293922,48,2020,3,S37B,33042.48164502087
04294222,48,2020,3,S37A,64252.56568763403
04296382,48,2020,3,,39496.50592580145
04296402,48,2020,3,S37A,51091.922703475946
04296492,48,2020,3,S37B,29220.76009797997
04296532,48,2020,3,,41914.59177598627
04296882,48,2020,3,S37B,32506.59878752823
04298292,48,2020,3,S37A,30475.865842003128
04298852,48,2020,3,,52287.85930420751
04299262,48,2020,3,,37047.626981741865
04310371,48,2020,1,S37B,25338.848433301377
04310513,48,2020,1,,26528.773990191723
04310831,48,2020,1,,32909.66952601466
04311011,48,2020,1,S37B,26802.992636196526
04311781,48,2020,1,,45691.07188676352
04311961,48,2020,1,S37B,27684.897731227564
04312721,48,2020,1,S37B,61159.038000251276
04312991,48,2020,1,,36727.20966803578
04313371,48,2020,1,,31420.14260136646
04314441,48,2020,1,,29495.61200195231
04315151,48,2020,1,S37B,38945.49787317421
04316191,48,2020,1,,31315.18428990767
04316203,48,2020,1,,34035.363384332224
04317261,48,2020,1,S37A,31417.831284310116
04318151,48,2020,1,S37A,28839.8249967813
04318741,48,2020,1,S37B,31213.7131005104
04319721,48,2020,1,S37A,38891.76892855669
04321941,48,2020,2,,53430.19812839836
04322211,48,2020,2,,33688.86240034122
04322891,48,2020,2,,33057.915507025595
04323041,48,2020,2,,19198.476509766635
04323181,48,2020,2,S37B,40280.631649317744
04323321,48,2020,2,S37A,30725.205806453672
04323521,48,2020,2,S37A,25371.45981259537
04324381,48,2020,2,S37B,34914.04463592897
04324461,48,2020,2,S37B,32514.60340881044
04324681,48,2020,2,S37A,53597.5109768583
04325101,48,2020,2,,48761.19559117209
04325151,48,2020,2,,32755.980478750746
04325991,48,2020,2,S37A,36972.2988233848
04326041,48,2020,2,,25627.393191056042
04327171,48,2020,2,S37A,36945.023372243864
04327291,48,2020,2,,33260.82540195391
04327591,48,2020,2,S37A,45887.72543380872
04328031,48,2020,2,,55411.290648293936
04329181,48,2020,2,,41991.741068809206
04330451,48,2020,2,S37B,42797.1891654959
04341491,48,2020,3,,31411.951423297556
04342041,48,2020,3,S37A,43584.21198950056
04342691,48,2020,3,S37B,45601.62070324116
04343081,48,2020,3,S37A,36770.79979479735
04343373,48,2020,3,S37B,30739.573752603093
04344001,48,2020,3,S37A,38893.72427138869
04344241,48,2020,3,S37B,50727.86608924198
04344391,48,2020,3,,44968.02000751279
04344441,48,2020,3,,33607.23087838184
04344761,48,2020,3,,79638.38774666809
04345404,48,2020,3,S37A,28423.947020106712
04348231,48,2020,3,,38176.49617968952
04348891,48,2020,3,,36209.20377091608
04349011,48,2020,3,S37A,41241.414456769424
04349701,48,2020,3,S37B,27770.420918033073
04350061,48,2020,3,,47621.26166325622
04378634,48,2021,1,S37B,29835.67917274803
04379624,48,2021,1,NA,84300.70939270979
04380304,48,2021,1,NA,51146.33624558819
04381474,48,2021,1,NA,41169.62760250011
04381904,48,2021,1,S37B,53807.53890408484
04382614,48,2021,1,S37B,57731.905864926455
04382814,48,2021,1,S37B,36915.56095666235
04383774,48,2021,1,NA,30822.213055298347
04383804,48,2021,1,NA,42044.38090618017
04384254,48,2021,1,NA,25792.92654453479
04384564,48,2021,1,S37B,25684.35634867904
04385824,48,2021,1,S37B,37714.8477720377
04388834,48,2021,1,S37B,21229.906986491907
04391104,48,2021,1,NA,38311.56318742448
04391394,48,2021,1,NA,37509.80276706761
04391524,48,2021,1,S37B,66465.21450149981
04392134,48,2021,2,S37A,31584.386520463995
04392374,48,2021,2,NA,78955.13248718556
04393294,48,2021,2,S37A,38823.34240920969
04394414,48,2021,2,S37B,24194.43411329876
04394624,48,2021,2,S37A,34439.08422768255
04394694,48,2021,2,NA,74349.84374139225
04397054,48,2021,2,S37A,61368.75259254127
04397184,48,2021,2,S37B,39163.912535864685
04397424,48,2021,2,NA,40235.1558225886
04397724,48,2021,2,S37B,76994.83384958604
04397994,48,2021,2,S37A,49869.32034049068
04398004,48,2021,2,S37B,34022.770649463884
04398634,48,2021,2,NA,40299.835092602734
04399264,48,2021,2,S37B,44054.05415736269
04401854,48,2021,2,S37A,54615.350665746046
04402334,48,2021,2,S37B,38170.64099851409
04403344,48,2021,2,S37B,47939.22137487683
04403444,48,2021,2,NA,52731.80445726254
04403844,48,2021,2,S37A,42571.42704232445
04404504,48,2021,2,S37A,36767.09274294175
04404814,48,2021,2,NA,54003.55129167878
04405044,48,2021,2,S37B,28567.281879351012
04405124,48,2021,2,NA,37620.32267889615
04405954,48,2021,2,NA,69575.68376468301
04406494,48,2021,3,S37A,22964.501065237662
04406554,48,2021,3,NA,19849.948802061233
04406584,48,2021,3,NA,26329.019107186738
04410444,48,2021,3,NA,31896.209791960944
04410764,48,2021,3,NA,37640.85414167293
04411374,48,2021,3,NA,34481.72537442368
04411424,48,2021,3,S37B,40242.29598426576
04413044,48,2021,3,NA,46515.49718008372
04413554,48,2021,3,S37A,21797.309415248805
04413694,48,2021,3,NA,45213.4536299983
04415004,48,2021,3,S37B,35079.13819004981
04415334,48,2021,3,S37A,31076.87454522931
04415564,48,2021,3,S37B,29790.543544266195
04416464,48,2021,3,S37A,30659.947937225417
04417044,48,2021,3,NA,60552.46162781934
04417654,48,2021,3,NA,18678.723979476235
04417754,48,2021,3,S37B,52424.329215137775
04418114,48,2021,3,S37B,16074.511552732214
04418134,48,2021,3,NA,35323.756689290014
04420373,48,2021,1,S37A,51023.81842278143
04421093,48,2021,1,S37B,24386.981402412166
04422503,48,2021,1,S37A,46604.22282073802
04424193,48,2021,1,NA,61836.62163550138
04424473,48,2021,1,S37A,53080.73823661874
04424923,48,2021,1,S37A,50662.68110258583
04425133,48,2021,1,S37B,27805.79059003916
04425153,48,2021,1,NA,38500.91289631801
04426343,48,2021,1,S37B,71645.19902346682
04426373,48,2021,1,S37A,36160.302920782764
04427183,48,2021,1,S37A,48418.663468949315
04427633,48,2021,1,NA,65099.186726694505
04430023,48,2021,1,S37A,17464.34193272163
04430333,48,2021,1,S37A,31594.553304842688
04431473,48,2021,1,S37B,27805.79059003916
04431523,48,2021,1,S37B,53807.53890408484
