newid,WTREP45,CALADJ45
4690901,90824.032032,1.5902451482
4690902,90824.032032,1.5902451482
4691091,56719.822104,0.7380808065
4691092,56719.822104,0.7380808065
4691211,25746.463327,1.0011857075
4691212,25746.463327,1.0011857075
4691491,66806.829874,1.0328701019
4691492,66806.829874,1.0328701019
4691951,21082.047023,1.0941927908
4691952,21082.047023,1.0941927908
4691981,194721.10517,3.4847116696
4691982,187241.7121,3.350861113
4692181,24942.632842,1.0892909054
4692182,24942.632842,1.0892909054
4692241,89585.494837,1.6032140893
4692242,89585.494837,1.6032140893
4692731,33755.909298,1.241483028
4692732,33755.909298,1.241483028
4692921,42505.531395,1.5723143317
4692922,42505.531395,1.5723143317
4693071,35548.50316,0.6717466019
4693072,35548.50316,0.6717466019
4693081,23913.807424,1.0011857075
4693082,23913.807424,1.0011857075
4693201,27058.255794,0.7694074251
4693202,27058.255794,0.7694074251
4693261,154506.69294,1.6295486982
4693262,154506.69294,1.6295486982
4693441,54796.354642,0.8990195452
4693442,54796.354642,0.8990195452
4693571,20707.88053,1.162936024
4693572,20707.88053,1.162936024
4693911,60017.224409,1.4539204076
4693912,60017.224409,1.4539204076
4694261,27956.24575,1.0328701019
4694262,27956.24575,1.0328701019
4695391,19526.817318,1.0748308261
4695392,19526.817318,1.0748308261
4695731,13516.868268,0.5
4695732,13516.868268,0.5
4696421,59977.919351,2.2277072279
4696422,59977.919351,2.2277072279
4697451,16974.549074,0.660078074
4697452,16974.549074,0.660078074
4697821,31507.033428,0.5
4697822,31507.033428,0.5
4698021,35552.902116,0.7899626131
4698022,35552.902116,0.7899626131
4698081,43481.169704,2.076701472
4698082,43481.169704,2.076701472
4698421,21145.226041,0.8852750931
4698422,21145.226041,0.8852750931
4698442,48005.511139,1.162936024
4698481,76847.470005,0.7136610159
4698482,76847.470005,0.7136610159
4698641,15251.457408,0.7530851573
4698642,15251.457408,0.7530851573
4698651,78517.570008,1.7193659705
4698652,78517.570008,1.7193659705
4699131,20502.089433,1.7975113508
4699132,20502.089433,1.7975113508
4699171,37930.933051,0.5864329554
4699172,37930.933051,0.5864329554
4699331,78218.021909,1.7193659705
4699332,78218.021909,1.7193659705
4699571,36230.420427,0.5
4699572,36230.420427,0.5
4699601,28757.747905,0.5103960959
4699602,28757.747905,0.5103960959
4699961,82075.55961,2.5820250694
4699962,82075.55961,2.5820250694
4700041,28396.141776,1.0011857075
4700042,28396.141776,1.0011857075
4700501,43118.626353,0.9478211931
4700502,43118.626353,0.9478211931
4700871,31302.394272,0.5
4700872,31302.394272,0.5
4701331,101592.02517,1.0011857075
4701332,101592.02517,1.0011857075
4701601,49968.046672,1.0941927908
4701602,49968.046672,1.0941927908
4701891,91738.204762,1.08438902
4701892,91738.204762,1.08438902
4702421,29484.525023,1.08438902
4702422,29484.525023,1.08438902
4702481,16632.711813,0.5864329554
4702482,16632.711813,0.5864329554
4702521,63997.719106,1.4067793807
4702522,63997.719106,1.4067793807
4702831,22386.139121,0.58153107
4702832,22386.139121,0.58153107
4703371,22072.937625,0.9962838221
4703372,22072.937625,0.9962838221
4703481,81372.745682,1.258067121
4703482,81372.745682,1.258067121
4705281,49797.399341,2.010894632
4705282,49797.399341,2.010894632
4705461,26198.810926,0.5
4705462,26198.810926,0.5
4705601,20493.301644,1.0011857075
4705602,20493.301644,1.0011857075
4706091,30367.455545,1.128413768
4706092,30367.455545,1.128413768
4706271,60897.946769,1.241483028
4706272,60897.946769,1.241483028
4706401,73640.625512,1.119254689
4706402,73640.625512,1.119254689
4706481,27113.66161,1.438463775
4706482,27113.66161,1.438463775
4706611,28738.52202,1.6270745144
4706612,28738.52202,1.6270745144
4706711,36667.4756,1.08438902
4706712,36667.4756,1.08438902
4706811,26943.540861,1.0011857075
4706812,26943.540861,1.0011857075
4707361,42788.255062,0.8488472508
4707362,42788.255062,0.8488472508
4707491,77320.171843,1.5762712235
4707492,77320.171843,1.5762712235
4708261,87750.464581,1.0748308261
4708262,87750.464581,1.0748308261
4708291,59673.701122,1.0941927908
4708292,59673.701122,1.0941927908
4708671,37733.08594,0.7405549904
4708672,37733.08594,0.7405549904
4708781,55154.154337,0.9508663834
4708782,55154.154337,0.9508663834
4708791,95995.331341,1.162936024
4708792,95995.331341,1.162936024
4708871,92531.655319,1.1209752998
4708872,92531.655319,1.1209752998
4708911,251967.19866,2.6092928777
4708912,251967.19866,2.6092928777
4710381,29332.09006,2.3043261926
4710382,29332.09006,2.3043261926
4710821,46105.412361,0.9146540908
4710822,46105.412361,0.9146540908
4711461,84226.006834,1.6530317659
4711462,84226.006834,1.6530317659
4711751,66217.117734,0.5
4711781,15623.202929,1.162936024
4711782,15623.202929,1.162936024
4712381,52890.392976,1.7468041167
4712382,52890.392976,1.7468041167
4712391,25751.415353,1.258067121
4712392,25751.415353,1.258067121
4713451,47294.811482,1.1741927846
4713452,47294.811482,1.1741927846
4713921,17158.838046,1.241483028
4713922,17158.838046,1.241483028
4714081,22000.745885,1.0748308261
4714082,22000.745885,1.0748308261
4714371,62331.292611,0.6385794996
4714372,62331.292611,0.6385794996
4714561,78860.127773,2.1552290005
4714562,78860.127773,2.1552290005
4714721,45577.098535,1.0328701019
4714722,45577.098535,1.0328701019
4714901,77263.779065,2.2459913725
4714902,77263.779065,2.2459913725
4715161,39427.707442,2.1697600087
4715162,39427.707442,2.1697600087
4715381,82093.066467,1.0328701019
4715382,82093.066467,1.0328701019
4715411,57209.045739,1.6918770662
4715412,57209.045739,1.6918770662
4715441,77014.622657,0.58153107
4715442,77014.622657,0.58153107
4715671,24585.848533,1.0328701019
4715672,24585.848533,1.0328701019
4715961,21280.239712,1.3046241638
4715962,21280.239712,1.3046241638
4716211,78862.351709,1.258067121
4716351,81597.445097,2.0646690942
4716352,81597.445097,2.0646690942
4716921,29127.034816,0.660078074
4716922,29127.034816,0.660078074
4717391,37140.417148,1.499786464
4717392,37140.417148,1.499786464
4717561,15139.188324,0.5
4717562,15139.188324,0.5
4717781,92868.118226,1.8423477828
4717782,92868.118226,1.8423477828
4719211,21455.881308,0.5
4719212,21455.881308,0.5
4719291,102479.04628,1.241483028
4719292,102479.04628,1.241483028
4719561,65353.505106,2.02270837
4719562,65353.505106,2.02270837
4719651,29717.908841,1.08438902
4719652,29717.908841,1.08438902
4720271,91470.992642,2.1411299305
4720272,91470.992642,2.1411299305
4720441,47849.116144,0.8267302759
4720442,47849.116144,0.8267302759
4720521,87287.801514,1.9538999815
4720522,87287.801514,1.9538999815
4720641,23227.819773,1.2510412219
4720642,23227.819773,1.2510412219
4721021,12174.27272,1.3352435846
4721022,12174.27272,1.3352435846
4721591,66293.22073,1.1101065554
4721592,66293.22073,1.1101065554
4722021,45260.838085,1.8541421515
4722022,45260.838085,1.8541421515
4722191,30452.184834,0.5
4722201,19051.875488,1.1590931788
4722202,19051.875488,1.1590931788
4723021,40348.125858,1.08438902
4723022,40348.125858,1.08438902
4723341,22603.51902,1.241483028
4723342,22603.51902,1.241483028
4723582,11448.681681,0.58153107
4723671,25280.717243,0.6794400387
4723672,25280.717243,0.6794400387
4724021,12472.178159,0.6717466019
4724022,12472.178159,0.6717466019
4724081,40115.289419,0.6717466019
4724082,40115.289419,0.6717466019
4724281,66836.407398,1.3831711678
4724282,66836.407398,1.3831711678
4724571,7520.1222579,1.08438902
4724572,7520.1222579,1.08438902
4725261,18336.65016,0.7481832719
4725262,18336.65016,0.7481832719
4725561,16052.520153,0.5
4725562,16052.520153,0.5
4725791,27694.489671,1.5723143317
4725792,27694.489671,1.5723143317
4725861,20202.996027,0.7380808065
4725862,20202.996027,0.7380808065
4726091,77734.080711,1.241483028
4726092,77734.080711,1.241483028
4726391,36532.309771,0.5864329554
4726392,33275.188822,0.5864329554
4726451,124857.7824,1.7193659705
4726452,79458.642159,1.0941927908
4727111,11740.274358,1.08438902
4727112,11740.274358,1.08438902
4727301,29950.613009,1.0941927908
4727302,29950.613009,1.0941927908
4727481,9283.3950499,0.5
4727482,9283.3950499,0.5
4727971,51527.985524,2.6176284097
4727972,51527.985524,2.6176284097
4728591,24024.192028,1.2263827267
4728592,24024.192028,1.2263827267
4728611,27694.489671,1.5723143317
4728612,27694.489671,1.5723143317
4728711,55134.180726,2.159836258
4728712,55134.180726,2.159836258
4728741,16411.601864,0.6696362679
4728742,16411.601864,0.6696362679
4729041,36626.941223,1.0011857075
4729042,36626.941223,1.0011857075
4729181,30516.97991,1.8566163354
4729182,30516.97991,1.8566163354
4729411,50235.609977,1.2962397406
4729412,50235.609977,1.2962397406
4729861,12856.271166,0.8231297154
4729862,12856.271166,0.8231297154
4729891,10167.49519,0.6696362679
4729892,10167.49519,0.6696362679
4730291,68858.959494,1.0748308261
4730292,68858.959494,1.0748308261
4730351,19966.990873,0.8990195452
4730352,19966.990873,0.8990195452
4730571,28917.384349,0.5864329554
4730891,54550.106286,2.0938566713
4730892,54550.106286,2.0938566713
4730911,21709.244344,0.5864329554
4730912,21709.244344,0.5864329554
4731081,25523.800095,1.4018774952
4731082,25523.800095,1.4018774952
4731361,9895.6443549,0.6335739824
4731362,9895.6443549,0.6335739824
4731451,17006.102113,1.1200303062
4731452,17006.102113,1.1200303062
4732651,41928.531058,0.6696362679
4732652,41928.531058,0.6696362679
4733101,71932.938216,1.6669130042
4733102,71932.938216,1.6669130042
4733401,64983.347589,0.660078074
4733402,64983.347589,0.660078074
4733521,19078.024551,1.2214808412
4733522,19078.024551,1.2214808412
4733611,82996.981043,1.8860181723
4733612,82996.981043,1.8860181723
4733941,58502.931488,1.5723143317
4733942,58502.931488,1.5723143317
4734261,33951.459348,1.2403566514
4734262,33951.459348,1.2403566514
4734831,17896.756695,1.6530317659
4734832,17896.756695,1.6530317659
4735061,105902.35569,1.7925494755
4735062,105902.35569,1.7925494755
4735181,21709.244344,0.5864329554
4735182,21709.244344,0.5864329554
4735211,108586.27522,2.3371759274
4735212,108586.27522,2.3371759274
4735291,45337.566107,1.9396011142
4735292,45337.566107,1.9396011142
4769981,27573.319115,0.9145589947
4769982,27573.319115,0.9145589947
4770301,28753.29296,0.809900876
4770302,28753.29296,0.809900876
4770311,27242.974746,1.7715405988
4770312,27242.974746,1.7715405988
4770371,26019.789191,1.0837946693
4770372,26019.789191,1.0837946693
4770521,42860.196872,1.4068318328
4770522,42860.196872,1.4068318328
4771341,49466.387519,0.9398644943
4771342,49466.387519,0.9398644943
4771381,21334.758922,1.699219256
4771382,21334.758922,1.699219256
4771471,78186.365973,1.3759804515
4771472,78186.365973,1.3759804515
4771731,45223.384429,2.3835539196
4771732,45223.384429,2.3835539196
4772261,42063.273709,1.4662688111
4772262,42063.273709,1.4662688111
4772661,16668.951899,0.5846076988
4772662,16668.951899,0.5846076988
4772901,15312.359952,0.9872201688
4772902,15312.359952,0.9872201688
4772931,56409.371468,1.0833687172
4772932,56409.371468,1.0833687172
4773011,24235.497378,0.7748888464
4773012,24235.497378,0.7748888464
4773331,57108.194533,1.1956298528
4773332,57108.194533,1.1956298528
4773391,31629.940021,1.0113135848
4773392,31629.940021,1.0113135848
4774231,43269.506878,0.7054504389
4774232,43269.506878,0.7054504389
4774411,16130.366796,0.7054504389
4774412,16130.366796,0.7054504389
4774501,37021.862124,1.6405917735
4774502,37021.862124,1.6405917735
4774671,45376.707646,1.4508431204
4774672,45376.707646,1.4508431204
4774821,18094.205692,0.9230981047
4774822,18094.205692,0.9230981047
4774961,28398.211578,1.1970459505
4775141,44600.32734,1.1611104699
4775142,44600.32734,1.1611104699
4775301,14461.598883,1.0959314221
4775302,14461.598883,1.0959314221
4775371,16130.366796,0.7054504389
4775372,16130.366796,0.7054504389
4775461,47368.5627,0.9872201688
4775462,35694.109892,0.7439099518
4775501,33486.727918,0.7054504389
4775502,33486.727918,0.7054504389
4775681,67697.009128,1.4261436626
4775682,67697.009128,1.4261436626
4775861,9067.6059878,0.5846076988
4775862,9067.6059878,0.5846076988
4776111,130912.69358,1.5238018555
4776112,130912.69358,1.5238018555
4776441,27305.055329,0.7748888464
4776442,27305.055329,0.7748888464
4776451,4558.8209,0.5
4776452,4558.8209,0.5
4777021,50322.088073,1.0535544197
4777022,50322.088073,1.0535544197
4777351,39043.917852,0.8086893578
4777352,39043.917852,0.8086893578
4777661,40036.918112,1.3279548765
4777662,40036.918112,1.3279548765
4778101,38802.55553,0.6340013484
4778102,38802.55553,0.6340013484
4778541,70673.421694,1.3573165629
4778542,70673.421694,1.3573165629
4778792,61772.803174,0.7267985148
4779281,24434.299099,0.8516490142
4779282,24434.299099,0.8516490142
4779371,37201.601083,1.1894579796
4779372,37201.601083,1.1894579796
4779621,16176.711843,0.5911646036
4779622,16176.711843,0.5911646036
4779661,35657.399798,1.0119196267
4779662,35657.399798,1.0119196267
4780461,18795.416761,1.0833687172
4780462,18795.416761,1.0833687172
4780581,18643.464796,0.8153590423
4780582,18643.464796,0.8153590423
4780591,68746.674092,1.3465759581
4780592,68746.674092,1.3465759581
4780741,19927.476457,1.0166246622
4780742,19927.476457,1.0166246622
4781241,27305.055329,0.7748888464
4781242,27305.055329,0.7748888464
4781561,29762.178261,0.8463379369
4782151,44337.865141,1.8430324963
4782152,44337.865141,1.8430324963
4782391,29063.959821,0.6084895221
4782392,29063.959821,0.6084895221
4782721,18968.210351,1.1970459505
4782722,18968.210351,1.1970459505
4783351,20024.94195,1.0244823316
4783352,20024.94195,1.0244823316
4783511,44067.537038,0.8463379369
4783512,44067.537038,0.8463379369
4783821,19304.045609,0.7054504389
4783822,32589.089797,0.7054504389
4783921,30477.62971,1.0607072344
4783922,30477.62971,1.0607072344
4784021,19060.181679,1.6112785145
4784022,19060.181679,1.6112785145
4784201,31435.418161,1.6568422536
4784202,31435.418161,1.6568422536
4784421,91408.015877,2.2587034202
4784422,91408.015877,2.2587034202
4784571,42971.612653,1.1870958563
4784572,42971.612653,1.1870958563
4785071,51383.882859,0.962520711
4785072,51383.882859,0.962520711
4785121,22803.614993,1.2077666056
4785451,43001.056665,0.8054939668
4785452,43001.056665,0.8054939668
4785591,16805.670721,0.8902645181
4785592,16805.670721,0.8902645181
4785731,28124.946729,0.826293179
4785732,28124.946729,0.826293179
4785771,20154.709863,1.0674704658
4785772,20154.709863,1.0674704658
4785961,34135.192404,0.8463379369
4785962,34135.192404,0.8463379369
4785981,21135.64934,1.2858674724
4785982,21135.64934,1.2858674724
4786091,23260.413228,0.9424812192
4786092,23260.413228,0.9424812192
4786101,9862.6768184,0.6000333894
4786102,9862.6768184,0.6000333894
4786131,51984.57656,0.7407145608
4786132,51984.57656,0.7407145608
4786341,42041.892803,0.7875269501
4786342,42041.892803,0.7875269501
4787181,57588.273979,1.3074650363
4787182,57588.273979,1.3074650363
4787251,12417.116082,1.0586692593
4787252,12417.116082,1.0586692593
4787341,105773.74262,1.2743933126
4787342,105773.74262,1.2743933126
4787351,20023.146099,1.0607072344
4787352,20023.146099,1.0607072344
4788101,50202.959994,1.4749312704
4788102,50202.959994,1.4749312704
4788161,15248.493576,0.5
4788162,15248.493576,0.5
4788461,21881.402872,1.2858674724
4788462,21881.402872,1.2858674724
4788581,36889.651415,1.0837946693
4788582,36889.651415,1.0837946693
4788611,18923.032283,0.9177817613
4788612,18923.032283,0.9177817613
4788931,24544.28742,0.5632697548
4788932,24544.28742,0.5632697548
4789101,36058.980639,1.3573165629
