newid,WTREP45,CALADJ45
4691061,14496.292344,0.7274935422
4691062,14496.292344,0.7274935422
4691111,49651.968703,1.0418652621
4691112,49651.968703,1.0418652621
4691781,23052.479529,1.6343233506
4691782,23052.479529,1.6343233506
4691911,77277.350871,1.3831289198
4691912,77277.350871,1.3831289198
4692081,34638.390054,1.1492102833
4692082,34638.390054,1.1492102833
4693901,47938.867913,0.6738737352
4693902,47938.867913,0.6738737352
4694451,136369.06662,1.8996027303
4694452,136369.06662,1.8996027303
4694871,31555.353969,0.6621374337
4694872,31555.353969,0.6621374337
4694911,31379.820334,1.5747900294
4694912,31379.820334,1.5747900294
4695671,29005.61675,1.0418652621
4695672,29005.61675,1.0418652621
4695861,42024.793518,0.9431803508
4695862,42024.793518,0.9431803508
4695901,34188.755565,0.9268901504
4695902,34188.755565,0.9268901504
4695921,47624.974697,0.9606546655
4695922,47624.974697,0.9606546655
4696002,70419.330488,0.7286165406
4696881,22188.825614,0.6929801313
4696882,22188.825614,0.6929801313
4696891,23463.777174,0.934318691
4696892,23463.777174,0.934318691
4697631,115448.15787,1.3665317613
4697632,115448.15787,1.3665317613
4697721,46992.238735,0.6735552113
4697722,61521.889893,0.8818134794
4698931,34165.690085,1.0925955837
4698932,34165.690085,1.0925955837
4699591,41187.88197,1.2863404469
4699592,41187.88197,1.2863404469
4700331,33359.92703,1.0418652621
4700332,33359.92703,1.0418652621
4701671,28153.604923,0.8703957018
4701672,28153.604923,0.8703957018
4702131,66055.7067,0.9431803508
4702132,66055.7067,0.9431803508
4702711,70714.114649,1.3831289198
4703261,40412.579286,0.9283232698
4703262,40412.579286,0.9283232698
4703941,20501.308993,0.6801792773
4703942,20501.308993,0.6801792773
4704901,56477.481448,0.934318691
4704902,56477.481448,0.934318691
4705211,9316.655038,0.5409155214
4705212,9316.655038,0.5409155214
4705351,22535.071228,0.8952429783
4705352,22535.071228,0.8952429783
4705821,69355.152158,0.8818134794
4705822,69355.152158,0.8818134794
4706051,27653.965129,1.2501235303
4706052,27653.965129,1.2501235303
4706701,19676.165956,0.7186318823
4706702,19676.165956,0.7186318823
4706871,26273.903033,1.5276790066
4706872,26273.903033,1.5276790066
4706991,20842.012236,0.6929801313
4706992,20842.012236,0.6929801313
4707131,21836.932305,0.7260604228
4707132,21836.932305,0.7260604228
4708101,35999.7503,1.4188354228
4708331,72937.916108,1.5583862483
4708332,72937.916108,1.5583862483
4708411,88511.439441,1.7666445165
4708412,88511.439441,1.7666445165
4708451,74885.568676,0.9431803508
4708452,74885.568676,0.9431803508
4708491,21720.196843,1.4925441893
4708492,21720.196843,1.4925441893
4708641,23367.768879,0.9283232698
4708642,23367.768879,0.9283232698
4708881,53995.356491,0.9431803508
4708882,53995.356491,0.9431803508
4709461,29675.116331,0.8792573617
4709462,29675.116331,0.8792573617
4709871,59030.657821,0.6735552113
4709872,59030.657821,0.6735552113
4710251,69076.719038,1.5276790066
4710252,69076.719038,1.5276790066
4711071,18445.214418,0.934318691
4711072,18445.214418,0.934318691
4712441,51259.266856,1.4213915406
4712442,51259.266856,1.4213915406
4712591,82884.735995,0.9457364686
4712592,82884.735995,0.9457364686
4712881,41341.351679,0.8267521501
4712882,41341.351679,0.8267521501
4712971,26975.136688,1.0716319227
4712972,26975.136688,1.0716319227
4713341,49625.629456,1.4703800835
4713342,49625.629456,1.4703800835
4713671,37425.349469,0.8153343725
4713672,37425.349469,0.8153343725
4713971,56317.754966,2.1313341013
4713972,56317.754966,2.1313341013
4715841,72378.682718,1.0827311764
4715842,72378.682718,1.0827311764
4716371,52120.022661,0.9283232698
4716372,52120.022661,0.9283232698
4716531,92963.102509,1.6274619784
