newid,WTREP45,CALADJ45
4690751,114926.91153,2.9927672434
4690752,114926.91153,2.9927672434
4690921,51750.042395,1.0665652578
4690922,51750.042395,1.0665652578
4691131,59759.171105,1.1786184459
4691132,25272.019311,0.498435095
4692101,55454.068976,1.3235095706
4692102,55454.068976,1.3235095706
4693651,27960.075868,0.498435095
4693652,27960.075868,0.498435095
4694611,29236.215184,0.8281617526
4694612,29236.215184,0.8281617526
4694671,25727.604512,0.9009841812
4694672,25727.604512,0.9009841812
4694781,76178.846395,1.3580152899
4694782,76178.846395,1.3580152899
4695541,428001.37141,4.2659988656
4695542,501642.62215,5
4695741,34444.202813,1.1786184459
4695742,34444.202813,1.1786184459
4697041,124969.13715,2.0381986409
4697042,124969.13715,2.0381986409
4697091,47572.493293,1.1786184459
4698971,57922.795253,1.5083451036
4698972,57922.795253,1.5083451036
4699391,33869.695695,1.0665652578
4699392,33869.695695,1.0665652578
4699651,47430.005165,1.0665652578
4699652,47430.005165,1.0665652578
4701201,48070.426465,1.1214444123
4701202,48070.426465,1.1214444123
4701901,84397.511962,1.3070906023
4702311,40957.762853,1.0665652578
4702312,40957.762853,1.0665652578
4703081,131604.41508,2.0381986409
4703082,131604.41508,2.0381986409
4703811,96520.539885,2.7857256478
4703812,96520.539885,2.7857256478
4704941,87764.777667,1.5094071577
4704942,87764.777667,1.5094071577
4706221,49318.356679,0.8281617526
4706222,49318.356679,0.8281617526
4706651,20830.6318,0.498435095
4706652,20830.6318,0.498435095
4707841,40544.642341,1.5083451036
4707842,40544.642341,1.5083451036
4708481,31982.618768,1.3235095706
4708482,31982.618768,1.3235095706
4708961,64686.973127,0.8853357862
4708962,64686.973127,0.8853357862
4709121,101432.42411,2.3957380887
4709122,101432.42411,2.3957380887
4709691,21365.292222,0.498435095
4709692,21365.292222,0.498435095
4710541,16030.964011,0.3172056234
4710571,19270.319418,0.3172056234
4710572,19270.319418,0.3172056234
4710901,28224.033348,0.9017547546
4710902,28224.033348,0.9017547546
4712751,14536.299437,0.25
4712752,14536.299437,0.25
4714331,60232.413112,1.6474405084
4714332,60232.413112,1.6474405084
4714761,16858.082061,0.25
4714762,16858.082061,0.25
4716281,97262.589659,1.3235095706
4716621,32968.723575,0.9672571575
4716622,32968.723575,0.9672571575
4717191,30744.822342,1.1030092559
4717192,30744.822342,1.1030092559
4718161,90725.80339,1.2345596545
4718162,90725.80339,1.2345596545
4718441,54903.116724,1.1950374142
4718442,54903.116724,1.1950374142
4718871,30280.054265,0.498435095
4718872,30280.054265,0.498435095
4719921,25773.557509,1.0665652578
4719922,25773.557509,1.0665652578
4720911,122803.7041,2.6684614836
4720912,122803.7041,2.6684614836
4721201,29925.239262,1.3070906023
4721202,29925.239262,1.3070906023
4721231,52855.682248,1.030226911
4721232,52855.682248,1.030226911
4721271,17220.098919,0.498435095
4721272,17220.098919,0.498435095
4721501,23114.145978,0.8281617526
4721502,23114.145978,0.8281617526
4721881,127333.90675,1.8026898174
4721882,127333.90675,1.8026898174
4722311,24512.968584,0.6269072513
4722312,24512.968584,0.6269072513
4722471,239089.81317,5
4722472,239089.81317,5
4722891,39404.363134,0.6269072513
4722892,39404.363134,0.6269072513
4723161,45512.833084,1.5083451036
4723162,45512.833084,1.5083451036
4723191,14998.866014,0.3172056234
4723192,14998.866014,0.3172056234
4723511,8154.5139531,0.3172056234
4723512,8154.5139531,0.3172056234
