newid,WTREP45,CALADJ45
4690701,19018.873979,0.5
4690702,19018.873979,0.5
4690841,222071.37995,2.6025961052
4691101,172067.94811,2.1614397279
4691102,172067.94811,2.1614397279
4691731,62172.5474,0.8390346091
4691732,62172.5474,0.8390346091
4691901,60729.692413,0.7492523425
4691902,60729.692413,0.7492523425
4692351,63356.669495,0.5
4692352,63356.669495,0.5
4692781,56925.384961,0.7492523425
4692782,56925.384961,0.7492523425
4693751,12348.860706,0.697544031
4693752,12348.860706,0.697544031
4694201,65036.1619,1.4783975411
4694202,65036.1619,1.4783975411
4694351,102080.6711,1.6740562726
4694352,102080.6711,1.6740562726
4696131,49288.635405,0.7001418949
4696132,49288.635405,0.7001418949
4697071,54487.415184,0.8547445558
4697072,54487.415184,0.8547445558
4697692,204451.26901,1.6460751202
4697931,86327.641279,1.0006572108
4697932,86327.641279,1.0006572108
4697951,34851.713275,0.6714738958
4697952,34851.713275,0.6714738958
4698431,41256.941451,0.6979178033
4698432,41256.941451,0.6979178033
4699471,51158.442578,1.581922643
4699472,51158.442578,1.581922643
4699781,70218.106862,0.7625110868
4699782,46043.990754,0.5
4700391,58873.723206,1.5428323388
4700392,58873.723206,1.5428323388
4703681,75431.104033,0.8191199633
4703682,75431.104033,0.8191199633
4704401,157464.14562,1.354128673
4704402,157464.14562,1.354128673
4704781,74397.248001,1.4702395416
4704782,74397.248001,1.4702395416
4705481,132378.15404,1.3032850023
4705482,132378.15404,1.3032850023
4706201,48623.786944,0.9501018516
4706202,48623.786944,0.9501018516
4706761,27628.958769,0.7081707218
4706762,27628.958769,0.7081707218
4706791,10131.49005,0.5824038162
4706792,10131.49005,0.5824038162
4707091,16277.737305,0.5412094444
4707092,16277.737305,0.5412094444
4707211,30544.652157,0.9503438971
4707212,30544.652157,0.9503438971
4707551,31687.375535,0.5
4707552,31687.375535,0.5
4707581,59710.769227,1.5190019306
4707582,59710.769227,1.5190019306
4707631,23821.802405,0.7769661091
4707632,23821.802405,0.7769661091
4708041,51860.868107,1.581922643
4708042,51860.868107,1.581922643
4709041,100389.43783,0.9859684896
4709042,100389.43783,0.9859684896
4709261,17420.835668,0.5
4709262,17420.835668,0.5
4709991,43392.812359,0.8447089148
4709992,43392.812359,0.8447089148
4710371,81885.593147,2.1776665569
4710372,81885.593147,2.1776665569
4710861,37481.036969,0.771381395
4710862,37481.036969,0.771381395
4711181,27097.047302,0.6245726052
4711182,27097.047302,0.6245726052
4711221,15002.103358,0.6714738958
4711222,15002.103358,0.6714738958
4711351,163877.51478,1.4628003455
4711352,163877.51478,1.4628003455
4711611,58762.855998,0.7625110868
4711612,58762.855998,0.7625110868
4711811,17420.835668,0.5
4711812,17420.835668,0.5
4713351,35787.628834,0.6878960295
4713352,35787.628834,0.6878960295
4713371,121030.96514,1.5365112326
4714011,21466.369872,0.7001418949
4714012,21466.369872,0.7001418949
4714931,15238.773507,0.7557965389
4714932,15238.773507,0.7557965389
4716001,13934.183811,0.5
4716002,13934.183811,0.5
4716511,54490.998425,0.5
4716681,184783.84934,2.3977686482
4717721,113462.58542,1.2025252908
4717722,113462.58542,1.2025252908
4719121,76792.56163,1.4190300931
4719122,76792.56163,1.4190300931
4720091,38213.531477,1.0001814664
4720092,38213.531477,1.0001814664
4720131,55092.228861,0.8804762763
4720132,55092.228861,0.8804762763
4722681,139807.33392,1.5187052317
4722682,139807.33392,1.5187052317
4723131,56854.886779,0.9859684896
4723132,56854.886779,0.9859684896
4723761,52489.853133,0.7816986109
4723762,52489.853133,0.7816986109
4724421,136515.36429,1.1342659028
4724422,136515.36429,1.1342659028
4724681,53101.930095,0.9926830374
4724682,53101.930095,0.9926830374
4724881,20390.26811,0.8390346091
4724882,20390.26811,0.8390346091
4725311,82462.996657,1.4795089145
4725312,82462.996657,1.4795089145
4725341,20933.568957,0.7557965389
4725342,20933.568957,0.7557965389
4725491,63294.974958,0.9909346903
4725492,63294.974958,0.9909346903
4725521,44151.386009,0.8547445558
4725522,44151.386009,0.8547445558
4725981,59553.392602,1.2015014701
4725982,59553.392602,1.2015014701
4727011,24405.824107,0.638785582
4727012,24405.824107,0.638785582
4727281,16723.013952,0.8689575326
4727282,16723.013952,0.8689575326
4727531,14748.29862,1.0090501661
4727532,14748.29862,1.0090501661
4727941,121655.39883,1.8120945936
4727942,121655.39883,1.8120945936
4728961,35890.117633,0.7605290407
4728962,35890.117633,0.7605290407
4729261,89550.859449,1.6740562726
4729262,89550.859449,1.6740562726
