newid,WTREP45,CALADJ45
4378264,17299.836676,1.2730787821
4378284,9207.8334254,0.7375239723
4378604,23522.015516,1.1661269376
4378724,13042.052911,1.1661269376
4378984,41525.648151,1.0345592953
4379204,26448.206499,1.3162504641
4379304,30748.418133,0.7853692205
4379384,41916.584387,1.0322044789
4379604,18725.314446,0.7834206188
4380804,20657.612228,1.349697217
4380834,28539.790111,1.8935087816
4381014,25379.793446,1.0345592953
4381134,18534.92445,1.0038293536
4381914,70016.866405,1.7676433922
4382574,43878.620127,1.107758129
4382774,49394.771083,1.8442618271
4382844,17246.092818,1.0990939553
4383054,25948.822282,1.2510810279
4383064,55378.206769,2.5669162033
4383364,28407.035777,1.0345592953
4383464,28052.625416,2.2754167301
4384204,35036.719009,0.8728957871
4384274,62710.765442,2.7012952406
4384384,15435.510628,1.2363450323
4385364,27527.155483,1.0025148277
4386094,47784.002278,1.6550460122
4386484,57926.681082,2.1628193501
4386544,8365.5601361,0.8432061359
4386804,18733.210223,1.1938679871
4386884,37721.561601,0.9397852634
4387034,34357.359224,1.2828071617
4387404,41431.129378,1.0322044789
4387494,23131.318789,1.205795361
4387674,47920.058519,1.1938679871
4387874,47691.1787,1.1881657343
4388774,45880.935296,1.1430657967
4389044,27641.214649,1.155145149
4389054,28395.454512,1.1604246848
4389764,26553.516253,2.001550823
4389864,22153.109766,1.0680768105
4390604,24579.101077,1.0044634294
4391094,31722.782866,1.5726880041
4391294,31939.511079,1.1938679871
4391364,37938.320595,1.3140311238
4392164,19354.598621,0.9389885546
4392414,21687.854843,1.605678057
4393064,33754.936296,1.4281194563
4393284,42369.009464,1.0345592953
4393564,14257.685438,1.3023744885
4393784,24828.426383,1.0322044789
4394234,34049.093176,1.349697217
4394244,15452.275536,1.2517158041
4394574,24073.074575,1.1399784443
4394824,7879.9028049,1.0990939553
4396204,21532.743666,0.9120442139
4397034,30617.232108,0.7834206188
4397364,16778.33027,1.0644619957
4397394,36569.900905,1.9502841726
4397454,23097.015656,1.1938679871
4397464,41782.993218,1.0322044789
4397584,17371.941451,0.8427999212
4397934,44412.737762,1.1903885252
4397964,15303.809212,1.2703654214
4398164,9205.6129626,1.3254168113
4398304,20435.685575,1.6963612103
4398314,28583.081446,1.0322044789
4398554,19395.026017,1.0025148277
4398964,26219.743774,1.0393438386
4399174,13788.107823,0.984885201
4399224,27760.936477,1.0025148277
4400884,18638.174788,1.1824554894
4400944,27302.933762,1.155145149
4400994,13308.124696,1.1298157438
4401324,16125.541237,0.9032546086
4401524,11743.174016,0.8154650864
4401904,39415.847078,1.4915903034
4402214,29800.718795,1.0761763204
4402324,42272.571071,1.0322044789
4402814,27200.725796,1.4733398156
4403704,8499.2170979,0.7653847774
4404384,9451.4098417,0.8432061359
4404764,23120.061204,2.0820438747
4405344,32274.591817,1.0711403662
4405654,17427.049677,1.7001459498
4405754,19395.026017,1.0025148277
4405884,36020.382685,1.1812936424
4406184,29536.686918,1.1938679871
4406464,28750.265528,1.4554903577
4407004,12736.324633,0.9074700572
4407044,23977.086926,0.7834206188
4407064,21453.651392,1.2220261529
4407524,28146.580624,1.2730787821
4407814,25364.964102,1.1298157438
4408014,24872.79944,0.9397852634
4408064,28681.113294,0.8771543602
4408164,33059.083783,1.4952728603
4408424,29136.922839,1.7687116276
4408634,17686.935816,0.9566181813
4408974,12891.998226,1.3770681185
4409404,28243.571585,1.9701272166
4410184,25930.157863,0.8023138639
4410624,26401.885805,1.5495202498
4410704,29414.679629,1.1881657343
4410774,23194.048611,0.6241119269
4410854,34852.005306,1.2335602072
4410914,42646.418502,2.0114424147
4410964,26406.179499,1.1938679871
4411924,29349.135746,2.1278433522
4412094,43621.160594,1.349697217
4412414,12630.383789,1.2730787821
4412904,9111.0723987,0.5
4413064,34244.260421,1.4133793123
4413184,25344.399775,1.940960664
4413904,14423.941852,1.0044634294
4414164,10966.351249,1.0025148277
4414174,12723.031581,0.8799997463
4414234,28421.153864,1.5206619651
4414394,27318.809928,1.0322044789
4414844,17495.601614,1.210098779
4415144,11673.595223,0.8728957871
4415214,48370.904303,1.3015777797
4416064,9615.8265109,0.81311027
4416074,68930.862446,2.2852134308
4416684,32557.52556,1.3363343166
4416884,24033.910467,1.0164036984
4416994,17339.403698,1.0025148277
4417904,21611.625473,1.1661269376
4417924,23887.689607,1.0804477886
4418234,17339.403698,1.0025148277
4418264,16349.675845,1.1798594072
4418574,34504.087185,1.8461267714
4418624,28816.468304,1.3033780146
4419204,20374.615121,1.0322044789
4419704,21178.195404,0.8427999212
4419914,24033.910467,1.0164036984
4420353,65068.018073,2.2536949334
4420483,17779.571505,1.3083820189
4420703,38322.595879,1.0713529057
4420813,29404.024515,1.0990939553
4420823,32624.777213,1.1881657343
4420993,48215.472236,1.800230125
4421053,25963.94331,0.9705070519
4421303,29014.656288,1.9250143839
4421373,24839.826598,1.5055346001
4421493,22317.613827,0.9120442139
4421933,42977.811354,1.0850163418
4422063,17246.092818,1.0990939553
4422133,40239.431603,1.0025148277
4422413,24081.581869,1.1938679871
4422433,24593.679038,1.0025148277
4422483,27191.814786,1.0164036984
4422623,18127.693092,1.0603626447
4422863,19953.449143,0.8427999212
4422873,42201.44385,1.1661269376
4423473,30855.210393,1.6489741903
4423483,11684.794159,0.6834912294
4424973,27684.521716,1.6193804979
4424983,19250.540979,0.81311027
4425333,23540.719557,0.984885201
4425413,55910.31639,1.7728592235
4426683,27288.534012,1.1661269376
4427003,23700.868822,1.2354850122
4427533,23363.581877,0.9547893351
4427973,9634.7175014,1.0531973088
4428063,33313.072255,1.493080677
4428103,28342.376987,1.0322044789
4428373,26270.536445,1.0990939553
4429713,45122.10747,1.4307760996
4430013,32460.460124,0.9074700572
4430033,30193.798927,1.1273515305
4430373,18374.811247,1.3140311238
4430383,23411.045714,1.3694074709
4431023,20685.520548,0.8432061359
4431623,15326.315229,0.8300549134
4431723,14981.309854,1.0713529057
4461243,46254.628877,1.2397564804
4461733,41172.75199,1.0535107395
4461813,24209.657632,1.349697217
4461863,19994.465238,0.8728957871
4462263,32937.86274,0.8427999212
4462503,16371.333791,1.0345592953
4462563,9363.3845595,0.8432061359
4462963,32141.92599,1.1479713407
4463133,23636.988429,1.9621005692
4463733,21895.665732,1.2206913271
4463793,4612.3052421,0.6538015782
4463883,15780.496386,0.7653847774
4464903,12321.804867,1.0460804545
4465243,25735.39343,1.0900522959
4465673,41953.497205,1.0405056857
4465913,28279.824008,1.1430657967
4467633,29808.703574,2.2754167301
4467843,27256.681692,1.0804477886
4468013,25594.289085,1.2120154309
4468053,11840.613977,1.155145149
4468063,24393.351872,1.155145149
4468073,30115.340157,1.6868779403
4468163,19597.379978,0.7834206188
4468293,13950.310182,1.6429060988
4468343,33076.148075,1.0850292369
4468443,13495.760456,1.3610217646
4468623,30126.91589,1.1489784361
4469413,8805.3031945,0.8427999212
4469463,24366.384011,0.984885201
4469543,15209.036281,0.8427999212
4469573,25490.627576,1.2363450323
4469673,14037.658478,0.9737334877
4470053,19689.700354,1.1107505905
4470743,26543.332199,1.0044634294
4470843,15209.036281,0.8427999212
4470893,29536.686918,1.1938679871
4471003,15426.43555,1.2077439627
4471193,12429.045712,1.0068182458
4471333,11876.771084,1.3770681185
4472263,14322.850447,0.7834206188
4472303,28466.733893,1.0730889679
4472313,22766.18692,0.81311027
4472343,43632.622148,1.1164528433
4472433,31316.086375,1.8161547778
4472473,26161.626632,0.9397852634
4503183,20887.086345,1.1175548297
4503393,20781.090641,1.1399784443
4503673,38768.693506,1.3003292618
4503703,13120.172544,1.1399784443
4503903,17858.963351,0.7954806433
4504373,31207.353607,1.4115185163
4504643,28777.294671,0.7834206188
4504923,12938.282921,0.7180654995
4505493,36781.755713,1.4596379536
4506163,15626.085612,0.8451547376
4506643,9233.7326354,0.9863078325
4506853,19508.977383,1.3789929235
4506983,17840.989416,1.083009541
4507013,39814.991995,1.0713529057
4507023,36705.19368,1.0025148277
4507073,49857.592105,2.4445221226
4507163,30457.438994,1.0068182458
4507433,24228.100471,2.4190105767
4507613,20499.765801,0.9272109187
4507983,12335.765248,0.8427999212
4508023,31394.41576,1.2493609878
4508593,8843.7297777,1.2086039828
4508613,28482.589396,1.0761763204
4508683,18405.478041,1.5992052051
4508723,20312.900512,1.1273515305
4508983,33019.471413,1.3140311238
4509423,20421.096683,1.0345592953
4509463,36887.136875,2.5886978606
4509483,22017.012243,0.9958364572
4509873,13231.94063,1.4133793123
4510033,18761.387082,0.7834206188
4510183,30181.837654,0.9230510066
4510333,27248.340314,1.9007049692
4510443,37878.441553,1.0345592953
4510803,26719.779679,1.2085441221
4510923,11326.691077,0.7834206188
4511053,19646.392187,1.3588601137
4511113,34972.918241,1.2378398286
4511223,20213.162686,0.8427999212
4511533,12240.218743,0.9886626488
4511893,11316.880615,1.0345592953
4511953,17462.669654,0.8603718585
4512033,14072.609054,1.1138299509
4512473,11264.756799,1.3750266223
4512803,14299.591779,1.2493609878
4513093,23288.623191,0.984885201
4513303,17652.811466,1.0322044789
4513583,33780.19081,1.0452044124
4513863,21537.083686,0.8570821114
4513903,25553.643893,1.0322044789
4513913,16622.554168,1.1995514218
4514393,31321.212588,0.8427999212
4514423,37447.685087,1.5370525185
4514443,40287.725025,1.8222265998
4544392,19068.923496,0.7969032748
4544542,28134.196054,1.4596379536
4546462,11750.536802,0.7677395938
4546662,25963.432123,1.6963612103
4547032,20592.872211,0.8799997463
4547372,30274.526596,1.4596379536
4547432,40796.909902,1.0164036984
4547612,21927.949133,1.1430657967
4547842,13486.432204,0.5035454473
4548352,14408.295488,0.8427999212
4548432,28164.009398,1.6474276865
4548462,26720.299664,0.9096893976
4548902,18547.632814,0.7834206188
4549122,36086.42386,1.3473655722
4549352,24579.101077,1.0044634294
4549502,48908.902976,1.2347524761
4549532,34867.933223,0.9747737782
4549612,19542.379283,0.893888617
4549882,23197.053133,0.9705070519
4550062,35738.547902,1.2378398286
4550122,25110.32358,1.1639253098
4550152,64785.170607,2.2438982327
4550412,30968.824872,1.6550460122
4550432,7709.9885114,0.8427999212
4550494,11286.657308,1.0164036984
4550592,40796.909902,1.0164036984
4550974,27043.079375,0.984885201
4551152,20644.777999,1.0761763204
4551672,32624.079,0.9120442139
4552092,11367.370599,0.6074987171
4552242,25322.025126,1.0322044789
4552422,30760.727833,1.231763584
4552552,23797.695988,1.1030817897
4552912,10342.416306,0.9272109187
4553402,40710.923303,1.0025148277
4554462,27623.304809,1.8048115733
4554582,8660.1151116,0.8728957871
4554872,32624.777213,1.1881657343
4555222,20623.214191,0.8427999212
4555262,23748.192545,0.9705070519
4555362,27288.534012,1.1661269376
4555802,41916.584387,1.0322044789
4556292,14119.626573,0.7871743162
4556672,19139.163327,0.81311027
4556942,39347.940535,1.0068182458
4556954,29235.055877,1.1588700278
4557032,11488.266177,1.0345592953
4557272,16148.004738,0.7834206188
4558022,34255.925755,1.3694074709
4558242,41782.993218,1.0322044789
4558422,10321.424202,0.6834912294
4558722,25230.675165,0.9547893351
4559022,49017.356439,1.2689311862
4559182,24493.493485,1.3655211691
4559462,11305.531947,1.0322044789
4560382,22986.697745,1.1881657343
4560692,36807.096022,1.392868899
4561102,42333.74586,1.0499363867
4561232,7704.5839227,0.6241119269
4561312,42272.571071,1.0322044789
4561414,26730.388272,1.0535107395
4561912,42272.571071,1.0322044789
4562102,10057.471019,1.1661269376
4562342,27272.749237,0.984885201
4562562,26930.752632,1.1757123902
4562922,33059.753768,1.1938679871
4563442,43394.295719,1.1767194857
4563512,23596.466358,1.2196842316
4563872,21182.590639,0.7834206188
4564572,15585.268476,0.984885201
4565692,16870.443272,1.3462259082
4565912,45573.958944,1.1661269376
4566112,73021.731176,1.9571914559
4566272,34132.458225,0.8432061359
4566422,27067.033199,1.066778749
4567412,35334.27678,0.8728957871
4567612,24876.010385,2.2401733539
4568002,30217.847656,0.81311027
4568252,31321.212588,0.8427999212
4568392,17716.354702,1.0754437843
4568452,44203.057576,2.1672797978
4568502,21485.341298,1.2238312486
4568602,32876.37436,1.4870088551
4569162,27141.059877,0.8300549134
4569192,18642.264804,1.3003891225
4569832,22585.963617,0.9270482856
4570162,41772.020701,1.8893617647
4570222,21435.528177,0.9547893351
4570462,26282.006407,2.0801889539
4570492,35495.248909,1.8991584654
4570672,12705.986044,1.349697217
4570782,28438.669932,1.2862900742
4570792,16889.965977,1.1938679871
4570872,32502.256023,1.349697217
4571032,9231.9788699,0.9806697524
4571042,13407.04409,1.0025148277
4571502,25106.600518,0.6834912294
4571692,10182.094124,0.8005359253
4572482,22860.856091,1.1573373323
4572652,19758.39748,1.0322044789
4573352,15667.19364,1.9876969826
4573362,14784.773011,0.7248987201
4573572,10688.24075,0.9625141555
4573622,23887.689607,1.0804477886
4574292,36280.094154,1.0025148277
4574562,12313.854606,1.503084195
4574662,13031.1318,0.9074700572
4574682,27734.511585,1.2544407685
4575312,27114.494046,1.2077439627
4575322,39906.236284,1.2347524761
4575852,25162.473802,1.0164036984
4575912,32704.115607,1.7498200441
4576262,8149.8008057,1.1137700902
4576272,56360.455208,1.7236715507
4576622,42998.630563,1.1881657343
4576662,20786.333685,0.9397852634
4576712,34808.267528,0.8427999212
4576782,17922.358705,1.447618462
4577232,39389.908449,1.9346613467
4577252,4634.4546193,0.5973698197
4577262,32306.378366,1.2856531268
4577292,33755.928267,1.5267913577
4577482,28691.782607,2.2401134932
4577652,16708.919863,0.8728957871
4577822,26977.187679,1.2196842316
4577992,36280.094154,1.0025148277
4578232,9495.8766406,0.8300549134
4578254,31721.563111,2.2127341314
4579212,17974.448292,1.2517158041
4579272,49531.054177,1.6613064122
4609871,18460.566014,1.1479713407
4609932,56934.778377,1.9719921609
4610241,22819.290966,1.0529429913
4610651,41361.590304,1.0025148277
4610861,22649.912777,0.8427999212
4610961,13887.812051,0.9397852634
4611071,17638.764704,0.9397852634
4611161,4440.7402628,0.6609055374
4611851,45346.235912,1.0990939553
4611981,28564.60039,0.984885201
4612561,56120.077935,1.4095937113
4612681,27949.737772,1.1938679871
4613521,14666.613897,0.9120442139
4613551,30656.478383,0.8427999212
4613821,17217.796891,0.9360509401
4614341,25922.044544,0.9397852634
4614501,20797.776316,1.4103298591
4614761,19233.424388,0.8432061359
4615051,19784.827139,1.0025148277
4615401,57643.321671,1.3971485204
4616321,31707.460404,0.8623701196
4616381,38175.178672,1.3162504641
4616791,11209.059172,0.9654000036
4616801,48729.589204,1.1938679871
4617071,17374.259138,1.1757123902
4617451,42227.155775,1.0345592953
4618171,69332.698178,1.7414611479
4618351,16249.964898,1.1273515305
4618571,19076.810818,1.0164036984
4618791,50245.4506,1.3813348447
4618981,44592.713988,1.2128194313
4619441,41854.199834,2.2754167301
4619711,13228.19731,1.0044634294
4619981,20055.536049,0.8427999212
4620761,11964.647088,0.8300549134
4620991,34788.858748,0.8432061359
4652061,17314.515424,0.9609215993
4652071,13191.334828,1.0804477886
4652101,19908.015273,0.8432061359
4652111,15135.948764,1.0044634294
4652431,33978.617765,1.9704594654
4652551,11362.207183,0.9640045291
4652711,18358.008676,1.0188334253
4653851,18267.441597,1.2347524761
4654241,19371.491263,1.1183515386
4654321,45122.569436,1.1903885252
4654731,27026.579353,1.1995514218
4654821,61902.217508,2.234101532
4655061,41266.726958,1.0025148277
4655421,25923.803969,0.9765788739
4655641,19640.682016,0.8432061359
4655711,15276.392434,0.8858957206
4655971,31828.269282,1.1441938928
4656211,44329.985535,1.1164528433
4656251,16011.248013,1.0469404746
4656291,13746.38082,1.4239718604
4656781,42584.484244,1.6803977967
4656871,27916.252688,1.0322044789
4657031,34203.900996,1.349697217
4657181,13306.915807,1.1995514218
4657311,33164.949805,1.2493609878
4658071,20319.642932,1.6651100913
4658271,61226.373157,1.493273686
4658421,16316.413253,0.6834912294
4658901,37904.835675,1.4957373204
4659841,18975.932091,1.0025148277
4660491,22033.079429,1.3694074709
4660651,12181.300066,0.692950005
4660671,25897.54867,0.6905951886
4660891,21584.443211,0.81311027
4660921,42488.848264,1.0322044789
4661131,35730.213432,1.1661269376
4661471,24651.774885,1.3023744885
4661531,46688.374388,2.4786361233
4661631,13680.597998,1.1031848338
4661641,19582.480367,1.0345592953
4661781,32858.543141,0.8668485239
4661921,17521.814217,1.1757123902
4661951,7609.5488996,1.0025148277
4661971,16704.163848,0.9270482856
4662071,18988.764079,0.8427999212
4662151,40979.326073,0.984885201
4662174,21646.918369,1.1995514218
4662381,16601.350731,1.122136278
4662831,44417.860628,2.3580969635
4662841,26768.799376,1.0084108019
4662981,55948.475879,1.4759891673
4663091,15147.613413,1.0164036984
4663431,13603.748435,0.7853692205
4680221,17930.546112,0.7834206188
4680643,13524.632064,1.066778749
4680841,15621.088425,1.1938679871
4680891,23471.593186,0.8269991407
4680901,39020.370104,2.2438982327
4682141,10355.489689,0.81311027
4682161,31821.807459,0.8427999212
4682401,9606.8106971,0.81311027
4682431,18864.886597,0.9074700572
4682481,13616.020941,1.0068182458
4682501,30959.431068,1.6489741903
4683064,25907.219188,1.0464866691
4683361,22906.928461,0.9074700572
4683401,16743.155389,0.9747737782
4683501,39352.229653,1.0535107395
4683641,17930.546112,0.7834206188
4683661,24651.416565,0.9765788739
4683861,17520.495372,0.8427999212
4683971,12826.716931,0.6622200633
4684141,44197.73516,1.1881657343
4684301,12370.949256,1.1107505905
4684311,16266.033104,1.2730787821
4684851,32179.999617,1.1309258833
4684881,25738.022953,1.1588700278
4685964,20550.4046,1.1881657343
4686511,29548.416595,1.1881657343
4686531,38444.872535,1.5230139099
4686543,33333.987663,0.9074700572
4686661,22411.991642,1.0460804545
4686671,10859.129684,0.9074700572
4686721,13018.016274,0.6905951886
4686761,36242.191272,1.6318265503
4686861,29543.645381,1.2945884094
4687214,13933.431263,0.984885201
4687321,35246.44411,1.0724548921
4687371,34584.511193,0.9397852634
4687441,37001.995571,1.1138299509
4687461,28358.609538,1.2768635215
4687571,28443.045144,2.0528174735
4687591,29579.808283,0.7834206188
4687811,29263.4398,0.7834206188
4688561,11919.344607,1.0858763619
4688591,11630.119178,0.8728957871
4688771,16964.728317,1.0025148277
4688871,26827.289543,1.6211382498
4689111,31672.286817,2.2858812575
4689381,38483.838088,1.0345592953
4689461,42380.727218,2.0721361968
4689471,28575.154573,1.0068182458
4689501,15243.787766,1.0025148277
4689622,18348.15008,0.817270182
4689891,30170.07132,1.3584256823
4689941,25728.388025,1.0345592953
4420484,17380.197061,1.1876853749
4420704,21951.822046,1.0098757867
4420814,24276.675045,1.0907554116
4421304,21107.623241,1.3312069686
4421374,22124.733971,1.5029448423
4421494,22900.15529,0.897953742
4421934,35391.662237,0.9289700189
4422064,17594.923928,1.0907554116
4422134,43123.821264,1.0450861378
4422324,44809.829654,1.1761806502
4422414,21419.275794,1.0937258056
4422434,26356.570578,1.0450861378
4422484,21042.307049,1.0121973779
4422534,22195.133116,1.2457102476
4422864,16141.037598,0.7339554854
4422874,38201.249986,1.0128461807
4423474,23374.532178,1.2987842907
4423484,11082.926423,0.6220334407
4424594,21887.254143,1.0069053926
4424974,25533.524703,1.4330787391
4424984,31107.297486,0.8247611652
4425334,22022.339346,1.1005158073
4425414,44207.856878,1.5566676882
4426684,37758.823952,1.0128461807
4427004,21115.616805,1.0707124914
4427534,25301.458129,0.9921128794
4427854,47254.513399,2.0821202035
4427974,17594.923928,1.0907554116
4428064,13552.710019,1.3660445995
4428104,26937.090094,0.954280458
4428284,14373.616203,0.7339554854
4428374,20258.985189,1.0907554116
4428984,28571.948357,1.0121973779
4429714,28944.530873,1.4067889329
4430014,42437.530183,1.1383482287
4430374,19983.636914,1.3712122957
4430384,20120.634261,1.1292782142
4431024,23533.950352,0.9331640931
4431334,22528.228203,1.0121973779
4431624,44809.829654,1.1761806502
4461244,50116.113369,1.1999085547
4461764,24560.743064,1.0128461807
4461814,37452.714601,1.3261836946
4461864,24377.668681,0.9818037609
4462264,27934.325019,0.7339554854
4462504,14438.727002,0.9818037609
4462564,25215.676572,0.9331640931
4462574,13196.076358,0.7339554854
4462964,28315.223132,1.0432397978
4463134,19010.844911,1.7613939223
4463734,20350.783127,1.3810554021
4463794,6919.1679363,0.7128391205
4463884,11372.815521,0.7717879069
4464854,19443.865219,1.2048073717
4464904,12506.076794,0.8503875189
4465244,19655.996271,0.8548975076
4465674,34326.798251,0.8548632837
4465914,25182.589062,1.0952654003
4466174,35156.766533,1.3712122957
4466274,52341.795284,1.2531970999
4466754,21879.987207,1.2169478407
4466784,22200.881949,0.9946822129
4467634,24237.137258,1.8725170667
4468014,28234.694729,1.1190289298
4468054,18090.64602,1.1209573528
4468064,25019.289112,1.1209573528
4468074,19925.801726,1.3036831077
4468164,9083.4603486,0.915566845
4468294,13359.866382,1.299173119
4468344,38058.989705,0.9999741982
4468444,15479.383356,1.0842878134
4468624,27878.045817,1.2956657884
4469414,10793.789255,0.7339554854
4469464,16700.728936,1.1005158073
4469544,27610.804909,0.7339554854
4469574,30113.602487,1.066309052
4470744,22476.694716,0.8734008331
4470844,27610.804909,0.7339554854
4470894,25147.190353,1.0937258056
4471004,17796.597135,0.9898328665
4471194,23184.998229,0.900924136
4471334,21398.043235,1.194575437
4472264,23561.823724,0.915566845
4472304,35968.471709,0.8611776533
4472314,22385.358068,0.8247611652
4472344,41627.173234,1.0937258056
4472434,24587.148112,1.5915470653
4472474,12458.572154,0.9788333669
4503184,18384.13755,1.1640817595
4503394,32072.279715,0.9976526069
4503704,11007.669269,0.9976526069
4503904,21002.512297,0.8801908347
4504024,8418.0398163,0.5177750659
4504224,13514.804017,1.08798651
4504644,35744.79409,0.915566845
4504924,29170.57957,0.9180232562
4505494,59569.405805,1.4524588345
4506164,10914.321695,0.7614787883
4506644,8285.7497779,0.9037944501
4506854,19719.281187,1.5874674832
4506984,13821.628065,1.1739006373
4507014,23960.415818,1.0098757867
4507024,36846.17346,1.0450861378
4507074,27838.73003,2.1229374311
4507164,21180.507238,0.900924136
4507404,6742.0483875,0.931317753
4507614,22199.160546,1.0212584878
4507654,25755.306468,1.3261836946
4507984,17513.144308,0.7339554854
4508024,15510.371491,0.9668195523
4508594,6769.2086869,0.9854294271
4508614,24056.6498,0.9587904467
4508684,24866.324323,1.6373987953
4508724,44196.391914,1.3908985085
4508834,15922.151632,1.0432397978
4509464,35425.276525,1.8284672051
4509874,10394.272005,1.1337882029
4510034,21524.753765,0.915566845
4510184,30573.67082,0.9510363051
4510334,21077.191258,1.6073132005
4510444,34615.052645,0.9818037609
4510804,13546.153883,1.1505040217
4510924,17083.566878,0.915566845
4511054,21460.824533,1.150159071
4511114,24288.282988,1.0982357944
4511224,7281.6699133,0.7339554854
4511324,15304.416787,1.2320562685
4511534,16511.392506,0.931317753
4511554,58965.847563,1.4545887499
