newid,WTREP45,CALADJ45
4378364,27994.812038,1.0378680734
4378504,34563.580336,1.1386684709
4379094,53601.178443,1.5349530047
4379344,39293.915032,1.101831093
4379434,34599.817045,1.0596927664
4380154,15164.012639,0.7505146982
4380874,23337.983127,0.669287159
4381284,25345.831801,0.9610159466
4381694,44205.170014,1.6388441749
4381964,34493.339355,1.0804405061
4382404,38506.582458,1.2024371854
4382564,18726.819573,1.6359621391
4383144,38214.078702,1.806632459
4384494,19030.27169,0.5960883104
4384654,45698.670005,1.5101508336
4386504,17591.201465,1.0150460193
4387294,15822.51777,0.9065354264
4388654,32224.976448,0.983921798
4388914,23653.204739,0.7156329219
4390244,28495.534789,1.0804405061
4390284,29366.68219,0.9185273112
4390394,12411.559294,0.5809191214
4391114,18613.592276,1.4160170744
4392144,23330.473218,0.669287159
4392274,31543.346695,0.9418471707
4392334,29894.773544,0.93381848
4392554,30686.882888,1.1869216877
4392654,21704.182414,1.4887272938
4392894,40490.141182,1.5076356469
4393464,29894.773544,0.93381848
4393654,24522.171987,1.1052600424
4394314,33629.686354,1.0072416575
4394454,36131.750145,1.0570205079
4394504,37581.67684,1.2811701598
4395864,35111.124124,1.0072416575
4396044,37664.467983,1.1280872726
4396854,17736.872507,1.3743128538
4397264,41003.96031,1.1995551496
4397304,40432.397667,1.1828343035
4397824,23348.024191,1.3743128538
4398094,22995.560519,1.1502043619
4398974,16368.08695,0.6094597509
4401694,21360.287923,0.669287159
4401934,21678.177944,1.1960745577
4402134,7301.2645046,0.7348016977
4403764,19724.389115,1.004259483
4404104,30692.823515,1.004259483
4404264,37617.914919,1.2020030793
4405374,23696.940991,1.3948508162
4405844,18363.172531,0.6964846255
4406694,36765.066762,1.3216519676
4406934,11742.291056,0.669287159
4407154,30531.015688,1.2974277741
4407334,28716.932429,1.1255521057
4407344,19637.427894,0.7696834741
4408354,23844.116027,0.7696834741
4408524,13391.389929,1.2965925149
4409094,23632.19182,1.004259483
4409434,21301.641031,1.2020030793
4410214,28340.076205,1.0150460193
4410944,43397.098832,1.3948508162
4413034,17812.987028,2.0203365381
4413284,29087.82898,0.9418471707
4413684,17076.293819,0.9442396793
4414124,30706.793262,1.0137852497
4414144,26060.108914,1.1611639666
4414424,23850.498672,0.837299772
4414984,29373.267272,1.2482287902
4415874,16466.864182,1.0649250084
4415994,20572.996487,1.2640618428
4416284,25822.677502,0.9065354264
4416344,24719.247306,1.3948508162
4416714,21660.959341,0.93381848
4416784,15498.493032,0.955209067
4417204,15498.493032,0.955209067
4417294,12931.917304,0.7427103364
4418244,28380.313336,1.3782541602
4418894,11380.404652,0.669287159
4418964,18686.491772,0.669287159
4419014,19367.029005,0.93381848
4419624,31836.682766,1.1176641456
4419904,64618.184342,1.9336620392
4420323,49743.694658,1.3948508162
4420573,29964.833535,1.455106287
4421263,36280.515841,1.097675002
4421563,47136.283881,1.443648647
4421953,34885.76443,1.2933403899
4422013,18662.508016,1.0529331236
4423043,44595.452004,1.3948508162
4423183,29855.563564,0.93381848
4423623,22914.862231,1.1127563936
4424013,17651.777599,0.669287159
4424313,39243.56026,1.2205426945
4424353,27596.276416,0.8851448394
4424533,37947.648983,1.1869216877
4424903,14140.071068,0.815909185
4424933,19525.214476,1.1016067642
4425583,28096.314057,0.8578617858
4427083,40642.81186,1.2640618428
4427173,23967.794876,1.4590475934
4427253,21141.720369,0.6612680125
4427863,39772.344242,1.3102668752
4427873,30457.484368,0.955209067
4428623,44514.804795,1.2482287902
4428643,23344.807441,0.8851448394
4429163,18031.522348,1.097675002
4429233,43708.853328,1.3386763184
4429613,40916.67244,1.2832306186
4430193,24628.525897,0.93381848
4430693,23960.3736,0.7505146982
4431103,24363.261466,1.3745679292
4431143,23995.069447,0.7505146982
4431153,51352.481499,1.4399624159
4431673,10855.51729,0.9762229365
4431713,36079.342997,1.1016067642
4461453,38505.099286,1.3126498962
4462073,27466.660421,0.8606196314
4462193,21426.206999,0.669287159
4462673,13111.570834,0.7717740989
4462783,34482.239773,1.0804405061
4463453,12867.360376,0.7427103364
4463923,18053.787442,0.9030240879
4464413,23119.729058,1.042049323
4464483,30059.03591,0.9418471707
4464783,31636.039078,1.0150460193
4465483,30692.823515,1.004259483
4466313,47962.458404,1.4677397489
4466493,19024.147955,0.5960883104
4468083,16463.147684,1.1510300769
4468123,15188.595126,0.5975568705
4468223,23387.166275,0.9836974691
4468353,34158.76967,1.1176641456
4468603,36277.074111,1.3831764863
4469303,18883.704197,1.1478213408
4469953,32040.803134,2.1186193211
4469963,16178.284211,0.93381848
4470563,17471.489716,1.0284079156
4470583,30694.662898,1.3834657238
4471313,40751.360603,1.2205426945
4472003,31274.4583,0.93381848
4472013,28476.532822,1.953254485
4472173,40034.653146,1.281969849
4472583,40747.235696,1.2431043258
4503463,12068.643497,1.3702254695
4504383,7711.8870363,0.815909185
4504413,26403.788719,0.8486591786
4504533,17808.448338,1.0150460193
4504603,11206.409782,0.6906777459
4505533,6401.9175376,0.6773158496
4505573,20536.411138,1.3065806441
4506013,5415.9226478,0.6142701612
4507183,34767.180034,1.2205426945
4507423,16642.780543,0.5960883104
4507573,18402.025,1.1341606629
4507583,19778.210404,1.2482287902
4508193,34344.742537,1.2020030793
4509413,16259.452399,0.93381848
4509723,19780.932891,1.1016067642
4509843,29858.064901,0.8851448394
4509953,15498.493032,0.955209067
4510113,19594.874794,1.1056941485
4510403,50395.179371,1.3948508162
4510703,28190.566086,1.4406664725
4510743,17665.232606,1.101831093
4512523,28596.63351,2.0686156406
4512793,27421.007418,0.8851448394
4513043,45588.564143,1.6388441749
4513813,40709.327423,1.3440190682
4513833,23981.944369,1.1292383368
4514353,23783.72914,1.0654696223
4514403,18371.56144,1.0804405061
4544202,35394.563537,1.0150460193
4544322,17215.3825,1.1939839329
4544342,40762.993652,1.248453119
4544352,55717.740256,1.7111843556
4544732,36605.24733,1.1176641456
4545062,35267.754726,1.004259483
4546522,24279.545154,0.7594124928
4546892,11599.045785,0.669287159
4546992,45079.449073,1.2640618428
4547702,34096.022993,1.2640618428
4548392,11615.841796,0.669287159
4549052,32251.251477,0.9877629657
4549202,18724.517166,1.0804405061
4549392,22708.559689,0.8610207846
4549682,20866.453283,0.669287159
4550082,17799.801556,1.004259483
4550102,34585.432303,1.3834657238
4550422,23337.983127,0.669287159
4550922,42778.98711,1.1995551496
4552922,49011.262113,1.3743128538
4553162,35267.754726,1.004259483
4553742,35968.342624,1.1016067642
4553782,26515.215574,0.8022236904
4553982,19822.735315,0.7505146982
4554472,27596.276416,0.8851448394
4554642,19667.51744,1.1096354549
4555402,36905.836273,1.1303194952
4555412,20910.643627,0.9885845426
4555462,29113.780874,0.93381848
4555822,24310.728607,1.1016067642
4556102,43744.736288,1.1995551496
4556402,49634.83532,1.6325434877
4557332,27587.396234,0.8851448394
4558182,26571.72479,1.1976372111
