newid,WTREP45,CALADJ45
4378564,35880.322297,1.3806170294
4378664,40244.713834,1.5485517884
4378774,24338.395955,0.9058498477
4379784,33194.403718,1.2772672072
4380094,31511.777795,1.1728356778
4380134,35586.832631,1.1922264388
4380234,33514.338072,1.289577766
4380724,18636.031819,0.6936137704
4381714,38933.685884,1.3043523753
4381884,35940.263255,1.3829234609
4382114,37124.214475,1.3817247484
4382534,18237.437477,0.8580955923
4382854,24338.395955,0.9058498477
4383664,17511.098497,0.5866550366
4384064,26905.792641,0.9013951221
4384554,52025.171453,1.9363229082
4385704,26205.718579,1.0083538559
4385854,34263.137276,1.3183903537
4386604,17646.544052,0.8302932739
4387024,30004.172207,1.4117360487
4388704,49599.563309,1.6616795134
4388794,42138.987065,1.4117360487
4388854,55412.829498,2.2148950301
4388874,36173.048922,1.6462824323
4393204,28033.501953,1.4113638388
4394354,27492.709484,0.8913909948
4394404,9621.8941722,0.9311039891
4395974,26634.790996,1.2381966519
4396374,30583.982756,1.4494434361
4396794,23564.247745,0.9058498477
4397774,37497.147689,1.6953571148
4398204,28313.076665,1.065876944
4398824,40494.467416,1.3541108732
4399044,21213.716951,1.2981833841
4399184,28449.263292,1.5485517884
4399724,34084.549349,1.10511699
4399834,28320.074715,1.289577766
4400264,30049.271713,1.1312379181
4400754,35442.01634,1.9291816883
4400934,25952.574799,1.1733927791
4401054,22961.462947,1.078351958
4401364,33856.237671,2.2534522968
4401464,21398.918907,1.0773416887
4401664,27136.292959,1.0215756257
4402274,18215.589732,1.1588389426
4402354,16024.96939,0.7449678673
4402534,30466.102887,1.6583325068
4402544,38726.533431,1.4873549904
4403594,26719.049533,1.6998118404
4403644,33620.593016,1.2912531118
4403864,32923.70699,1.2644880798
4404324,25795.142343,1.2114316199
4404624,27098.942137,1.6583325068
4406024,50233.467521,1.8910941923
4406914,37214.141931,1.385071755
4407084,25398.162761,0.9452932687
4407304,16680.50896,1.2981833841
4407684,35789.670931,1.496625685
4407864,32548.774516,1.2114316199
4408254,25289.510846,1.0234394148
4408544,27333.421174,1.1061542764
4408854,32153.240357,1.1329193085
4409654,31098.856951,1.0259605747
4411384,30864.791447,1.4300526751
4411474,51668.257156,1.9230389283
4411674,28052.393229,1.2997463485
4411824,17187.7842,0.6397114965
4412304,42024.161043,1.7573349285
4412534,24128.950451,1.233811703
4412794,15482.784903,0.5866550366
4414134,30953.049735,1.1728356778
4415184,27333.421174,1.1061542764
4415424,27120.785205,1.8676768228
4416324,9656.8318285,0.9190018409
4416914,29832.894481,1.1303921041
4417614,24353.503045,0.8580955923
4417874,31417.71981,1.1904423966
4419154,17425.686676,1.6583325068
4419294,15383.744484,1.1548167137
4419654,42792.460561,1.4117360487
4419804,30533.931278,1.2356754921
4421353,25940.749082,0.9981582562
4421383,33514.338072,1.289577766
4422633,27407.894982,1.289577766
4423673,34236.179641,1.3173530673
4425423,35116.762337,1.2221086346
4426123,22235.036113,0.855568388
4426843,42680.807555,1.6422887523
4427433,37930.558827,1.4117360487
4427453,27407.894982,1.289577766
4427483,35959.670403,1.3836702168
4428193,29377.323439,1.1303921041
4428483,40954.878954,1.3271573979
4428733,28010.704211,1.0425293511
4429373,36689.06246,1.4117360487
4429383,18026.060162,0.6936137704
4461403,52967.671664,1.9940263176
4461953,36673.572892,1.3806170294
4462553,28801.140846,1.1061542764
4462773,22342.391599,0.8580955923
4462823,20005.311064,1.3315423469
4463123,31342.141615,1.1799094291
4463463,9931.3519244,0.5
4463563,25424.977947,1.3839337302
4463713,29630.673496,1.2337419263
4466043,39016.901029,1.4688341971
4466253,29880.781658,0.9991955426
4467263,14769.191794,0.6936137704
4467513,29018.401888,1.376514958
4467613,35257.232026,1.3541108732
4467813,34365.204026,1.870568584
4467933,12330.355595,0.784432261
4468323,42283.65873,1.6239721259
4468633,27116.740072,1.2851230404
4468913,33158.160186,1.3806170294
4469253,28200.777257,1.2981833841
4469613,35403.470725,1.3183903537
4470293,25223.440247,1.678858115
4471773,34925.182812,1.6235999161
4471803,33011.683777,1.0703316696
4472283,15784.618902,0.8591892022
4472533,20535.276805,0.665811452
4472713,21971.214804,1.1061542764
4503243,41786.638864,1.3541108732
4504033,33652.471428,1.2751189131
4505183,26448.233256,1.0703316696
4506333,33357.585571,2.727955965
4506563,25883.927699,0.9633729358
4506743,22353.165247,1.1061542764
4507413,33792.767207,1.2303587659
4507753,21203.812824,0.8580955923
4508353,26059.787062,1.289577766
4508463,38318.802583,1.8217066097
4509043,34879.623047,1.2981833841
4509253,15240.474148,0.6936137704
4509353,32804.146415,1.3275486669
4509993,17373.375013,1.3521066306
4510313,13195.816908,0.5
4510723,31393.62535,1.1061542764
