newid,WTREP45,CALADJ45
4378634,30523.832796,1.0183340788
4379624,68176.499756,1.6173192004
4380304,43562.745968,1.1648017501
4381474,43757.439349,1.0251207383
4381904,54816.293871,1.7881396461
4382614,55613.122777,2.7074095982
4382814,38341.797723,1.2773068988
4383774,26118.579143,0.586450032
4383804,44687.177286,1.0251207383
4384254,33885.927388,0.793857397
4384564,25171.691367,2.0877678409
4385824,36319.983024,1.2031390068
4388834,25461.782402,0.8831298086
4391104,44981.041833,2.0490031973
4391394,45946.161807,0.9452488855
4391524,66645.15116,2.3456916327
4392134,32312.873709,1.0183340788
4392374,65647.529801,1.7547278599
4393294,39412.902013,1.1872948391
4394414,27887.379159,0.908951932
4394624,37753.763583,1.2133341371
4394694,62043.226734,1.6583865196
4397054,59655.046504,2.2341050966
4397184,37715.454853,1.2031390068
4397424,49482.720403,1.0183340788
4397724,73295.618604,2.507515029
4397994,49648.566034,1.4956393264
4398004,34024.144624,1.34933541
4398634,42832.974028,1.0251207383
4399264,45613.803074,1.4550996651
4401854,55639.250055,1.7881396461
4402334,37073.120589,1.4702522259
4403344,48976.565553,1.5623732144
4403444,66311.316365,1.3916493769
4403844,45954.364099,1.448243058
4404504,35162.436468,1.1300538135
4404814,66706.966809,1.340757187
4405044,30121.636528,1.0251207383
4405124,43551.241193,1.2031390068
4405954,64171.998139,1.3797509456
4406494,24697.480506,1.317621058
4406554,18885.768792,0.586450032
4406584,28542.738197,1.317621058
4410444,27407.338893,0.7326204186
4410764,36550.5161,0.9211307888
4411374,31819.638608,1.0755751044
4411424,41494.864322,1.3360882824
4413044,53516.802487,1.8018528603
4413554,21973.230477,0.7077169078
4413694,41668.153994,1.0501033542
4415004,36841.941328,1.2705660052
4415334,31071.991261,1.9979271899
4415564,28267.863756,1.0569686202
4416464,29022.869097,1.5342738678
4417044,75497.617318,1.7407967794
4417654,18515.868758,0.860815684
4417754,50256.346193,1.6173192004
4418114,17583.227557,1.0755751044
4418134,35087.130406,1.3812968483
4420373,48690.649167,2.3224131297
4421093,23855.066646,1.9785655346
4422503,47592.464262,1.497216786
4424193,75943.017351,1.5623732144
4424473,51583.409586,2.4603900286
4424923,50194.888001,1.5701942
4425133,28333.156606,0.9452488855
4425153,34825.178187,0.7830747847
4426343,67775.245973,2.3854672788
4426373,34312.046533,1.0569686202
4427183,46512.075382,1.4327855405
4427633,56622.341676,1.3432253151
4430023,15854.366376,1.2417735481
4430333,32323.274988,1.0183340788
4431473,28333.156606,0.9452488855
4431523,54816.293871,1.7881396461
4462403,34367.57292,1.0353067111
4464193,91478.601206,1.838647414
4465283,62318.179314,1.6657358739
4465403,53846.43372,1.1300538135
4465703,30514.010558,1.0183340788
4465813,55525.770329,2.2781937294
4466033,55193.831432,1.5599627926
4466543,43302.170408,1.3916493769
4466873,21705.883586,0.860815684
4466913,23593.509583,1.0569686202
4468573,36352.7256,0.8700290781
4469273,35646.04438,0.7830747847
4470233,32312.873709,1.0183340788
4470903,49482.720403,1.0183340788
4470933,40316.473462,1.2705660052
4471123,59969.001112,1.3174031917
4471203,27066.047712,0.9211307888
4503613,14156.8022,0.7099895915
4503743,19240.048883,0.7326204186
4503993,64865.242656,1.4956393264
4504203,31588.861283,1.0489499777
4505903,64865.242656,1.4956393264
4506093,36841.941328,1.2705660052
4507473,27891.913514,0.984852345
