NEWID,STATE,PSU,st_wgt,CALADJ45
05045901,06,S49A,24198.657085,0.7539616668
05045902,06,S49A,24198.657085,0.7539616668
05045991,06,S49A,45493.769343,0.8507574744
05045992,06,S49A,45493.769343,0.8507574744
05046021,06,S49A,24424.224871,0.8079817847
05046022,06,S49A,24424.224871,0.8079817847
05046091,06,S49A,71524.155501,2.146276935
05046092,06,S49A,71524.155501,2.146276935
05046161,06,S49A,33563.957763,0.7451656747
05046162,06,S49A,33563.957763,0.7451656747
05046261,06,S49A,117548.08814,2.3709181313
05046262,06,S49A,117548.08814,2.3709181313
05046631,06,S49E,26680.128258,1.4495096681
05046632,06,S49E,26680.128258,1.4495096681
05046701,06,,68817.563666,1.3429786109
05046702,06,,68817.563666,1.3429786109
05046931,06,S49A,48861.056918,2.1361002148
05046932,06,S49A,48861.056918,2.1361002148
05046971,06,S49A,21009.238807,0.65458842
05046972,06,S49A,21009.238807,0.65458842
05047361,06,,45935.16447,0.9030457846
05047362,06,,62544.683553,1.2295746295
05047811,06,,45842.807642,0.7643398281
05047812,06,,45842.807642,0.7643398281
05047921,06,,64890.787995,1.0593325982
05047922,06,,64890.787995,1.0593325982
05048121,06,S49E,30613.080531,1.8993418137
05048122,06,S49E,30613.080531,1.8993418137
05048731,06,S49A,24656.504883,0.8638108172
05048732,06,S49A,24656.504883,0.8638108172
05049091,06,S49A,19391.181379,0.9735622252
05049092,06,S49A,19391.181379,0.9735622252
05049111,06,S49E,17494.20938,0.8271244357
05049112,06,S49E,17494.20938,0.8271244357
05049261,06,S49B,23907.119376,1.1069862227
05049262,06,S49B,23907.119376,1.1069862227
05049571,06,,48302.230605,1.0831626141
05049572,06,,48302.230605,1.0831626141
05049801,06,,29091.742059,0.6571899212
05049802,06,,29091.742059,0.6571899212
05049811,06,,25943.033495,0.5910778203
05049812,06,,25943.033495,0.5910778203
05050231,06,,29170.90344,0.5910778203
05050232,06,,29170.90344,0.5910778203
05050901,06,S49B,26747.501542,0.7960428667
05050902,06,S49B,26747.501542,0.7960428667
05051321,06,,38732.690568,0.6457924279
05051322,06,,38732.690568,0.6457924279
05051521,06,S49E,15400.259863,1.1606333473
05051522,06,S49E,15400.259863,1.1606333473
05051641,06,S49A,27055.474845,0.8118731528
05051642,06,S49A,27055.474845,0.8118731528
05051941,06,S49A,22150.757738,0.65458842
05051942,06,S49A,22150.757738,0.65458842
05052181,06,S49C,33671.429851,0.8550148251
05052182,06,S49C,33671.429851,0.8550148251
05052501,06,S49E,21758.716565,0.8724902741
05052502,06,S49E,21758.716565,0.8724902741
05052851,06,,17808.937179,0.7451656747
05052852,06,,17808.937179,0.7451656747
05052971,06,S49A,30657.271745,0.9551938202
05052972,06,S49A,30657.271745,0.9551938202
05053081,06,,45642.016694,1.0310648738
05053082,06,,45642.016694,1.0310648738
05053211,06,S49B,25096.907407,0.8395351848
05053212,06,S49B,25096.907407,0.8395351848
05053581,06,S49A,31529.122346,0.9823582173
05053582,06,S49A,31529.122346,0.9823582173
05053871,06,,45719.091649,0.6532985531
05053872,06,,45719.091649,0.6532985531
05054001,06,,56139.903539,1.0955733632
05054002,06,,56139.903539,1.0955733632
05054281,06,S49A,47469.091861,1.1915806145
05054282,06,S49A,47469.091861,1.1915806145
05054451,06,S49C,12454.117566,0.92603155
05054452,06,S49C,12454.117566,0.92603155
05054711,06,S49A,18801.163344,0.8993074816
05054712,06,S49A,18801.163344,0.8993074816
05055241,06,,41617.204629,0.9551938202
05055242,06,,41617.204629,0.9551938202
05055351,06,S49B,17545.004168,0.7451656747
05055352,06,S49B,17545.004168,0.7451656747
05055531,06,,45842.807642,0.7643398281
05055532,06,,45842.807642,0.7643398281
05055601,06,S49E,36963.042704,1.4619204172
05055602,06,S49E,36963.042704,1.4619204172
05055731,06,S49A,30703.295817,0.6816550749
05055732,06,S49A,30703.295817,0.6816550749
05055811,06,,34666.228242,0.7898243137
05055812,06,,34666.228242,0.7898243137
05056211,06,S49E,21525.591092,1.1881895307
05056212,06,S49E,21525.591092,1.1881895307
05056231,06,S49C,18987.516255,1.4118253674
05056232,06,S49C,18987.516255,1.4118253674
05056791,06,S49C,67548.826169,1.5745395001
05056792,06,S49C,67548.826169,1.5745395001
05056891,06,,33372.256522,0.748362553
05056892,06,,33372.256522,0.748362553
05057111,06,,79327.700282,1.7920331134
05057112,06,,79327.700282,1.7920331134
05057511,06,S49E,23152.592468,1.2779982608
05057512,06,S49E,23152.592468,1.2779982608
05057671,06,S49E,13641.055169,1.1714947121
05057672,06,S49E,13641.055169,1.1714947121
05057921,06,S49C,34721.904299,0.890877472
05057922,06,S49C,34721.904299,0.890877472
05057981,06,S49B,36088.380535,0.9551938202
05057982,06,S49B,36088.380535,0.9551938202
05058011,06,S49A,18721.601574,0.9360008738
05058012,06,S49A,18721.601574,0.9360008738
05058191,06,S49B,17996.461627,0.7643398281
05058192,06,S49B,17996.461627,0.7643398281
05058291,06,S49A,44999.362,1.145223271
05058292,06,S49A,44999.362,1.145223271
05058391,06,S49C,32926.398677,0.9551938202
05058392,06,S49C,32926.398677,0.9551938202
05059441,06,S49A,10844.157268,0.5910778203
05059442,06,S49A,10844.157268,0.5910778203
05059701,06,,64352.452766,0.9360008738
05059702,06,,49282.46163,0.7168091528
05059782,06,,34052.367684,0.7636138359
05060061,06,S49A,47469.091861,1.1915806145
05060062,06,S49A,47469.091861,1.1915806145
05060151,06,S49B,37969.359983,1.1668073473
05060152,06,S49B,37969.359983,1.1668073473
05060191,06,,33127.669273,0.748362553
05060192,06,,33127.669273,0.748362553
05060551,06,S49A,36166.791611,1.1268548659
05060552,06,S49A,36166.791611,1.1268548659
05061081,06,S49E,22862.95733,0.7915042253
05061082,06,S49E,22862.95733,0.7915042253
05061231,06,S49B,33310.053744,1.0236257726
05061232,06,S49B,33310.053744,1.0236257726
05061341,06,S49B,54095.780343,0.9621235916
05061342,06,S49B,54095.780343,0.9621235916
05061441,06,S49A,24096.699881,0.720700521
05061442,06,S49A,24096.699881,0.720700521
05061501,06,S49E,17635.491591,1.0532962234
05061502,06,S49E,17635.491591,1.0532962234
05061631,06,,36385.697073,0.9823582173
05061632,06,,36385.697073,0.9823582173
05062261,06,S49A,21656.07416,0.5822818281
05062262,06,S49A,21656.07416,0.5822818281
05062431,06,S49E,11093.13867,0.725605145
05062432,06,S49E,11093.13867,0.725605145
05062721,06,S49A,28047.261861,0.8278504279
05062722,06,S49A,28047.261861,0.8278504279
05062941,06,,33055.844414,0.5822818281
05062942,06,,33055.844414,0.5822818281
05063021,06,,106791.86329,2.5644624368
05063022,06,,106791.86329,2.5644624368
05063211,06,,19492.275272,0.6816550749
05063212,06,,19492.275272,0.6816550749
05063351,06,S49A,102977.42988,2.5199764455
05063352,06,S49A,102977.42988,2.5199764455
05063431,06,,21732.555071,0.5910778203
05063432,06,,21732.555071,0.5910778203
05063531,06,S49B,34520.371067,0.7643398281
05063532,06,S49B,34520.371067,0.7643398281
05063591,06,S49B,34645.768336,1.145223271
05063592,06,S49B,34645.768336,1.145223271
05063921,06,,34080.61182,0.9551938202
05063922,06,,34080.61182,0.9551938202
05064061,06,,35400.862022,1.126179169
05064062,06,,35400.862022,1.126179169
05064711,06,S49A,28656.390523,1.2350053119
05064712,06,S49A,28656.390523,1.2350053119
05064921,06,,48653.656385,0.8507574744
05064922,06,,48653.656385,0.8507574744
05065341,06,S49A,11141.03364,0.7168091528
05065342,06,S49A,11141.03364,0.7168091528
05065451,06,S49A,34440.724323,0.92603155
05065452,06,S49A,31799.488778,0.8550148251
05065461,06,S49C,31310.236552,1.7713511481
05065462,06,S49C,31310.236552,1.7713511481
05065741,06,,38335.619492,0.7643398281
05065742,06,,38335.619492,0.7643398281
05066131,06,S49A,17010.71457,0.7331112701
05066132,06,S49A,17010.71457,0.7331112701
05066261,06,S49C,27640.968011,0.9782278393
05066262,06,S49C,27640.968011,0.9782278393
05067191,06,S49A,31658.778069,0.9468723087
05067192,06,S49A,31658.778069,0.9468723087
05067361,06,,29040.000836,0.7898243137
05067362,06,,29040.000836,0.7898243137
05067401,06,S49A,21228.269973,0.8812862662
05067402,06,S49A,21228.269973,0.8812862662
05067421,06,,30709.315346,0.8670595916
05067422,06,,30709.315346,0.8670595916
05067451,06,S49A,48964.357649,1.4994502662
05067452,06,S49A,48964.357649,1.4994502662
05067611,06,S49B,24196.4139,0.8533349135
05067612,06,S49B,24196.4139,0.8533349135
05068121,06,S49E,16598.78256,0.6816550749
05068122,06,S49E,16598.78256,0.6816550749
05068581,06,S49E,12030.549744,0.5910778203
05068582,06,S49E,12030.549744,0.5910778203
05068961,06,S49E,6531.2820925,0.6620945452
05068962,06,S49E,6531.2820925,0.6620945452
05068981,06,S49A,25245.933447,0.7451656747
05068982,06,S49A,26671.628712,0.7872468746
05069081,06,S49B,22543.060371,0.7451656747
05069082,06,S49B,22543.060371,0.7451656747
05069221,06,S49C,32581.828761,1.126179169
05069222,06,S49C,23105.124625,0.7986203058
05069301,06,,25627.507231,0.6532985531
05069302,06,,25627.507231,0.6532985531
05069481,06,S49E,14215.712461,0.6816550749
05069482,06,S49E,14215.712461,0.6816550749
05069511,06,S49A,28656.390523,1.2350053119
05069512,06,S49A,28656.390523,1.2350053119
05069621,06,,97990.572479,1.9200522026
05069622,06,,97990.572479,1.9200522026
05069681,06,S49B,36693.124744,0.8271244357
05069682,06,S49B,36693.124744,0.8271244357
05069701,06,,31856.600271,0.8600795249
05069702,06,,31856.600271,0.8600795249
05070111,06,S49A,16789.502945,0.6532985531
05070112,06,S49A,16789.502945,0.6532985531
05070191,06,S49A,30050.248184,0.8079817847
05070192,06,S49A,30050.248184,0.8079817847
05070921,06,S49A,13460.622366,0.5102518474
05070922,06,S49A,13460.622366,0.5102518474
05070941,06,,44777.480343,0.8709509598
05070942,06,,44777.480343,0.8709509598
05071031,06,,58874.098921,1.037072825
05071032,06,,58874.098921,1.037072825
05071081,06,S49A,19852.274238,0.9639898123
05071082,06,S49A,19852.274238,0.9639898123
05071231,06,S49A,20599.900017,0.8877945017
05071232,06,S49A,20599.900017,0.8877945017
05071691,06,S49C,16592.021022,0.7960428667
05071692,06,S49C,16592.021022,0.7960428667
05071751,06,S49A,38491.120246,1.178725164
05071752,06,S49A,38491.120246,1.178725164
05071761,06,S49A,46517.631651,1.3912810273
05071762,06,S49A,46517.631651,1.3912810273
05071841,06,S49E,22262.318605,0.5910778203
05071842,06,S49E,22262.318605,0.5910778203
05071861,06,,21017.653101,0.8278504279
05071862,06,,21017.653101,0.8278504279
05071931,06,S49A,37568.569111,1.1714947121
05071932,06,S49A,37568.569111,1.1714947121
05072051,06,,25965.164787,0.7331112701
05072052,06,,25965.164787,0.7331112701
05072061,06,,60354.797906,1.905946743
05072062,06,,60354.797906,1.905946743
05072171,06,,24039.547885,0.5926284871
05072172,06,,24039.547885,0.5926284871
05072191,06,,34693.051718,1.0955733632
05072192,06,,34693.051718,1.0955733632
05072522,06,S49C,26329.249946,0.92603155
05072531,06,,39902.74799,1.0172041818
05072532,06,,39902.74799,1.0172041818
05072581,06,,38645.330675,1.2303179471
05072582,06,,38645.330675,1.2303179471
05072791,06,,34647.414633,0.9423336672
05072792,06,,34647.414633,0.9423336672
05073311,06,,40251.145261,0.9551938202
05073312,06,,40251.145261,0.9551938202
05073391,06,S49A,18620.687338,0.8546488425
05073392,06,S49A,18620.687338,0.8546488425
05073431,06,S49A,17939.422428,0.7731358202
05073432,06,S49A,17939.422428,0.7731358202
05073812,06,S49A,22715.420102,0.9789671335
05074161,06,S49A,30336.518352,1.1069862227
05074162,06,S49A,30336.518352,1.1069862227
05074251,06,S49A,89280.492962,2.3494896466
05074252,06,S49A,89280.492962,2.3494896466
05074481,06,S49C,23297.826243,1.1440499392
05074482,06,S49C,23297.826243,1.1440499392
05075041,06,S49E,18385.215517,0.8550148251
05075042,06,S49E,18385.215517,0.8550148251
05075111,06,S49C,13944.594321,0.8862022427
05075112,06,S49C,13944.594321,0.8862022427
05075161,06,S49A,24776.960216,0.6457924279
05075162,06,S49A,24776.960216,0.6457924279
05075271,06,S49C,20592.883395,0.92603155
05075272,06,S49C,20592.883395,0.92603155
05075581,06,,31929.412669,0.8079817847
05075582,06,,31929.412669,0.8079817847
05075701,06,S49B,32601.637036,1.1497619124
05075702,06,S49B,32601.637036,1.1497619124
05075731,06,,92239.894454,2.2150165491
05075732,06,,92239.894454,2.2150165491
05075791,06,,23104.652107,0.8079817847
05075792,06,,23104.652107,0.8079817847
05075861,06,,21893.010243,0.5910778203
05075862,06,,21893.010243,0.5910778203
05076051,06,,35268.061012,0.8758555838
05076052,06,,35268.061012,0.8758555838
05076191,06,S49B,48969.003987,1.1038432969
05076192,06,S49B,48969.003987,1.1038432969
05076671,06,S49A,48730.64413,1.2350053119
05076672,06,S49A,48730.64413,1.2350053119
05076851,06,,44825.762502,0.8395351848
05076852,06,,44825.762502,0.8395351848
05077241,06,S49B,125020.09043,1.5881554244
05077242,06,S49B,125020.09043,1.5881554244
05077261,06,S49A,22181.398173,0.7451656747
05077262,06,S49A,22160.725248,0.7444711849
05077381,06,,41394.007519,0.65458842
05077382,06,,41394.007519,0.65458842
05077521,06,,43984.205598,0.690451067
05077522,06,,43984.205598,0.690451067
05077701,06,S49E,22047.900148,0.9551938202
05077702,06,S49E,22047.900148,0.9551938202
05077801,06,S49A,69169.394588,2.0324845204
05077802,06,S49A,70134.422083,2.0608410422
05078051,06,S49E,38439.77618,1.4619204172
05078052,06,S49E,38439.77618,1.4619204172
05078071,06,S49B,15961.436839,0.6457924279
05078072,06,S49B,15961.436839,0.6457924279
05078151,06,S49A,41615.391504,1.1896897688
05078152,06,S49A,41615.391504,1.1896897688
05078531,06,S49B,33127.338326,1.1038432969
05078532,06,S49B,33127.338326,1.1038432969
05078981,06,S49A,30407.919418,1.1927281721
05078982,06,S49A,30407.919418,1.1927281721
05079072,06,S49C,40338.003378,0.9735622252
05079141,06,S49E,18780.050742,1.1606333473
05079142,06,S49E,18780.050742,1.1606333473
05079231,06,,44168.531154,0.7898243137
05079232,06,,44168.531154,0.7898243137
05079241,06,,39638.515573,1.0185998974
05079242,06,,39638.515573,1.0185998974
05079681,06,,45545.173151,0.8278504279
05079682,06,,45545.173151,0.8278504279
05079861,06,S49A,28711.290822,1.126179169
05079862,06,S49A,28711.290822,1.126179169
05080331,06,S49C,19993.344327,0.6457924279
05080332,06,S49C,19993.344327,0.6457924279
05080621,06,,54412.899356,0.7444711849
05080622,06,,54412.899356,0.7444711849
05080921,06,S49A,27862.002746,0.9360008738
05080922,06,S49A,27862.002746,0.9360008738
05081511,06,S49A,75403.17604,1.0380449405
05081512,06,S49A,75403.17604,1.0380449405
05081621,06,S49A,48680.714073,2.1863014851
05081622,06,S49A,48680.714073,2.1863014851
05082321,06,S49E,20699.223153,0.6816550749
05082322,06,S49E,20699.223153,0.6816550749
05082961,06,S49C,18900.675286,0.6816550749
05082962,06,S49C,18900.675286,0.6816550749
05083811,06,S49A,22951.769189,0.6561390868
05083812,06,S49A,22951.769189,0.6561390868
05083921,06,S49C,52082.417368,1.525431017
05083922,06,S49C,52082.417368,1.525431017
05084231,06,S49E,16905.641069,0.7444711849
05084232,06,S49E,16905.641069,0.7444711849
05084531,06,S49A,30291.227471,0.8900822583
05084532,06,S49A,30291.227471,0.8900822583
05084871,06,,37385.434325,0.7643398281
05084872,06,,37385.434325,0.7643398281
05085501,06,S49A,43761.077788,1.7164959431
05085502,06,S49A,43761.077788,1.7164959431
05085901,06,S49A,49618.329652,1.037072825
05085902,06,S49A,49618.329652,1.037072825
05086111,06,,71324.144207,1.3260292203
05086112,06,,71324.144207,1.3260292203
05086331,06,,35862.553299,0.5910778203
05086332,06,,35862.553299,0.5910778203
05086771,06,,73721.922076,1.2150666642
05086772,06,,73721.922076,1.2150666642
05087071,06,S49B,15961.436839,0.6457924279
05087072,06,S49B,15961.436839,0.6457924279
05087481,06,S49A,38694.150135,1.5177494497
05087482,06,S49A,38694.150135,1.5177494497
05087591,06,S49E,19036.195531,0.9360008738
05087592,06,S49E,19036.195531,0.9360008738
05087732,06,,52937.873567,0.8725090669
05088011,06,,37564.338819,0.720700521
05088012,06,,37564.338819,0.720700521
05088231,06,S49A,54837.243166,1.145223271
05088232,06,S49A,54837.243166,1.145223271
05088281,06,S49E,19361.794662,0.7731358202
05088282,06,S49E,19361.794662,0.7731358202
05088401,06,S49B,31443.286787,0.7636138359
05088402,06,S49B,31443.286787,0.7636138359
05088751,06,,54344.535149,0.9789671335
05088752,06,,54344.535149,0.9789671335
05088801,06,S49A,29105.306409,0.8003002174
05088802,06,S49A,29105.306409,0.8003002174
05088921,06,S49A,40526.397757,1.1585579045
05088922,06,S49A,40526.397757,1.1585579045
05088941,06,S49B,36400.913919,0.6457924279
05088942,06,S49B,36400.913919,0.6457924279
05089051,06,S49C,17906.289313,0.6457924279
05089052,06,S49C,17906.289313,0.6457924279
05089371,06,S49A,26711.239832,0.7636138359
05089372,06,S49A,55468.608583,0.7636138359
05089591,06,S49A,17381.891021,0.8278504279
05089592,06,S49A,17381.891021,0.8278504279
05089661,06,S49E,34229.939757,1.4829633072
05089662,06,S49E,34229.939757,1.4829633072
05089851,06,S49A,47286.591723,0.9543880718
05089852,06,S49A,47286.591723,0.9543880718
05090021,06,,54442.839148,1.0196520143
05090022,06,,54442.839148,1.0196520143
05090111,06,S49B,39188.943284,0.6620945452
05090112,06,S49B,39188.943284,0.6620945452
05090241,06,,37227.20757,0.6816550749
05090242,06,,37227.20757,0.6816550749
05090511,06,,37227.20757,0.6816550749
05090512,06,,37227.20757,0.6816550749
05090561,06,,61887.605646,1.159083963
05090562,06,,52784.710501,0.9885971641
