NEWID,STATE,PSU,st_wgt,CALADJ45
05045821,12,,50265.577874,1.0300020084
05045822,12,,50265.577874,1.0300020084
05046881,12,S35D,19243.51218,0.8868277078
05046882,12,S35D,19243.51218,0.8868277078
05047861,12,,83230.001836,1.8111816529
05047862,12,,83230.001836,1.8111816529
05048681,12,S35B,28925.034106,0.8444220891
05048682,12,S35B,28925.034106,0.8444220891
05048691,12,,86257.857995,1.8770713249
05048692,12,,86257.857995,1.8770713249
05048751,12,,55976.951227,1.4479597086
05048752,12,,55976.951227,1.4479597086
05048991,12,,21636.850094,0.481264705
05048992,12,,21636.850094,0.481264705
05050381,12,S35B,19282.930578,0.4721077448
05050382,12,S35B,19282.930578,0.4721077448
05050481,12,S35B,16246.845869,0.4642997143
05050482,12,S35B,16246.845869,0.4642997143
05051131,12,,58355.675759,1.0435073332
05051132,12,,58355.675759,1.0435073332
05051711,12,S35B,13999.80722,0.3262222651
05051712,12,S35B,13999.80722,0.3262222651
05051891,12,,51275.277589,1.2227219836
05051892,12,,51275.277589,1.2227219836
05052751,12,,102450.69444,2.4806471228
05052752,12,,102450.69444,2.4806471228
05052911,12,S35B,68375.990769,2.3208156351
05052912,12,S35B,68375.990769,2.3208156351
05053711,12,S35B,47071.31159,1.3451962737
05053712,12,S35B,47071.31159,1.3451962737
05053791,12,S35B,42172.428457,1.4185328565
05053792,12,S35B,42172.428457,1.4185328565
05053801,12,,86104.436025,1.7833274262
05053802,12,,89285.78846,1.8492170982
05053851,12,S35B,26055.241114,0.7446024356
05053852,12,S35B,22228.952321,0.6352553778
05053991,12,,37487.958751,1.1818574234
05053992,12,,37487.958751,1.1818574234
05054131,12,,31336.355146,0.5552595702
05054132,12,,31336.355146,0.5552595702
05054401,12,,64285.850007,1.8770726743
05054402,12,,64285.850007,1.8770726743
05054571,12,,15688.192544,0.4524315751
05054572,12,,15688.192544,0.4524315751
05055831,12,S35D,13139.44426,0.5552595702
05055832,12,S35D,13139.44426,0.5552595702
05056371,12,,96648.025143,2.5723893144
05056372,12,,96648.025143,2.5723893144
05056621,12,S35B,49870.049114,1.8659174088
05056622,12,S35B,49870.049114,1.8659174088
05057281,12,,82932.774731,1.8047136454
05057282,12,,82932.774731,1.8047136454
05057541,12,,47940.629293,1.625498995
05057542,12,,47940.629293,1.625498995
05057791,12,S35B,44740.185171,1.1196279589
05057792,12,S35B,44740.185171,1.1196279589
05058651,12,,42375.344348,0.9668235154
05058652,12,,42375.344348,0.9668235154
05059121,12,S35D,13139.44426,0.5552595702
05059122,12,S35D,13139.44426,0.5552595702
05059791,12,S35D,28105.606822,1.2618532311
05059792,12,S35D,28105.606822,1.2618532311
05061461,12,,21825.496318,0.7327342964
05061462,12,,21825.496318,0.7327342964
05061651,12,,37274.374894,1.4185328565
05061652,12,,37274.374894,1.4185328565
05062071,12,S35D,17337.206194,0.9668235154
05062072,12,S35D,17337.206194,0.9668235154
05062241,12,S35D,25253.668453,1.3055766464
