NEWID,STATE,PSU,st_wgt,CALADJ45
05046241,36,S12A,40852.486737,1.4497292386
05046242,36,S12A,40852.486737,1.4497292386
05046281,36,,34880.602552,1.2484503101
05046282,36,,34880.602552,1.2484503101
05046361,36,S12A,31211.091655,1.002522674
05046362,36,S12A,31211.091655,1.002522674
05047881,36,S12A,10431.959999,0.4549941523
05047882,36,S12A,10431.959999,0.4549941523
05047981,36,,21408.189182,0.684164064
05047982,36,,21408.189182,0.684164064
05048161,36,S12A,28031.36786,0.4383369134
05048162,36,S12A,28031.36786,0.4383369134
05048611,36,,26618.481281,1.0509259821
05048612,36,,26618.481281,1.0509259821
05049171,36,S12A,61421.130511,1.7516051722
05049172,36,S12A,61421.130511,1.7516051722
05050291,36,S12A,15863.870646,0.6919091309
05050292,36,S12A,15863.870646,0.6919091309
05050391,36,S12A,54319.038887,1.2969554408
05050392,36,S12A,54319.038887,1.2969554408
05051601,36,S12A,36276.971747,1.0345451283
05051602,36,S12A,36276.971747,1.0345451283
05052741,36,S12A,28358.555927,1.2368698801
05052742,36,S12A,28358.555927,1.2368698801
05053241,36,,36486.343253,1.1720541962
05053242,36,,36486.343253,1.1720541962
05054411,36,S12A,15987.341589,0.25
05054412,36,S12A,15987.341589,0.25
05054951,36,S12A,34433.133888,1.002522674
05054952,36,S12A,34433.133888,1.002522674
05055111,36,,48065.566117,1.8976797265
05055112,36,,48065.566117,1.8976797265
05055161,36,S12A,62277.450866,2.2820993941
05055162,36,S12A,62277.450866,2.2820993941
05056271,36,S12A,41184.389802,1.2138600833
05056272,36,S12A,41184.389802,1.2138600833
05057401,36,S12A,40963.462896,1.002522674
05057402,36,S12A,40963.462896,1.002522674
05058351,36,,34880.602552,1.2484503101
05058352,36,,34880.602552,1.2484503101
05058681,36,S12A,57415.213643,1.2969554408
05058682,36,S12A,57415.213643,1.2969554408
05058731,36,,36486.343253,1.1720541962
05058732,36,,36486.343253,1.1720541962
05059671,36,S12A,32237.263396,0.7697171197
05059672,36,S12A,32237.263396,0.7697171197
05059881,36,,74742.408469,2.4792468516
05059882,36,,74742.408469,2.4792468516
05060331,36,S12A,54967.036259,2.3974095058
05060332,36,S12A,54967.036259,2.3974095058
05060621,36,S12A,8153.1029158,0.3556008794
05060622,36,S12A,8153.1029158,0.3556008794
05061181,36,,112040.4416,3.5990855211
05061182,36,,112040.4416,3.5990855211
05061281,36,,42840.510563,1.6706249153
05061282,36,,42840.510563,1.6706249153
05061711,36,S12A,53991.869798,3.3436394614
