NEWID,STATE,PSU,st_wgt,CALADJ45
05045911,48,S37B,29894.656679,1.1415781487
05045912,48,S37B,29894.656679,1.1415781487
05045981,48,S37A,106597.73759,1.7819654374
05045982,48,S37A,106597.73759,1.7819654374
05046371,48,,82627.365659,0.909010273
05046372,48,,82627.365659,0.909010273
05047191,48,,30695.390877,0.589903927
05047192,48,,30695.390877,0.589903927
05047241,48,S37B,34794.259738,1.4940930879
05047242,48,S37B,34794.259738,1.4940930879
05047561,48,,85073.08028,1.6500531501
05047562,48,,85073.08028,1.6500531501
05048251,48,S37B,44305.012423,1.0792202854
05048252,48,S37B,44305.012423,1.0792202854
05048531,48,S37A,36327.653188,1.2621806054
05048532,48,S37A,36327.653188,1.2621806054
05048661,48,S37A,28439.290267,0.8575862911
05048662,48,S37A,28439.290267,0.8575862911
05048741,48,,59002.140654,1.1331830848
05048742,48,,59002.140654,1.1331830848
05049321,48,S37A,52079.950836,1.5666507907
05049322,48,S37A,52079.950836,1.5666507907
05049971,48,,90403.790494,1.4940930879
05049972,48,,90403.790494,1.4940930879
05050921,48,S37B,48616.524469,1.5976097912
05050922,48,S37B,31517.647322,1.0357157881
05051051,48,,66398.708471,1.1658628673
05051052,48,,66398.708471,1.1658628673
05051471,48,,83053.706541,0.7709437091
05051472,48,,83053.706541,0.7709437091
05051561,48,,104300.92534,1.9768963357
05051562,48,,104300.92534,1.9768963357
05051621,48,S37A,46481.827221,1.9869764648
05051622,48,S37A,46481.827221,1.9869764648
05051721,48,S37B,42951.282119,1.2672523215
05051791,48,S37B,87698.405184,1.5976097912
05051792,48,S37B,87698.405184,1.5976097912
05052261,48,,54117.17258,0.9777310625
05052262,48,,48091.588887,0.9777310625
05052341,48,S37B,27446.753791,0.5
05052342,48,S37B,27446.753791,0.5
05052641,48,S37A,26801.888598,0.7256457098
05052642,48,S37A,26801.888598,0.7256457098
05053071,48,,37314.725218,0.7838191433
05053072,48,,37314.725218,0.7838191433
05053751,48,S37A,38493.502333,1.3374316206
05053752,48,S37A,38493.502333,1.3374316206
05056351,48,,77013.45631,1.2804500529
05056352,48,,77013.45631,1.2804500529
05056991,48,S37A,73686.023062,0.9636068591
05056992,48,S37A,73686.023062,0.9636068591
05057801,48,S37B,34106.543719,1.1207906938
05057802,48,S37B,34106.543719,1.1207906938
05058061,48,S37A,28628.805828,0.9946891775
05058062,48,S37A,28628.805828,0.9946891775
05058421,48,,58305.411701,0.9636068591
05058422,48,,58305.411701,0.9636068591
05058491,48,,97442.332983,1.4577622442
05058492,48,,97442.332983,1.4577622442
05058711,48,S37A,24454.430662,0.9636068591
05058712,48,S37A,24454.430662,0.9636068591
05059361,48,S37B,43046.195388,1.2700526816
05059362,48,S37B,43046.195388,1.2700526816
05059621,48,S37A,15905.462147,0.9640541443
05059622,48,S37A,15905.462147,0.9640541443
05059811,48,S37A,64183.097496,1.930733398
05059812,48,S37A,64183.097496,1.930733398
05060011,48,,70038.949085,1.937345985
05060012,48,,70038.949085,1.937345985
05060111,48,S37B,51019.900317,1.4060759899
05060112,48,S37B,51019.900317,1.4060759899
05060231,48,S37A,56338.035324,0.9636068591
05060232,48,S37A,56338.035324,0.9636068591
05060291,48,,39796.972617,0.5076234524
05060292,48,,39796.972617,0.5076234524
05060441,48,S37B,40798.314489,1.3374316206
05060442,48,S37B,40798.314489,1.3374316206
05060661,48,S37A,54164.143344,1.4940930879
05060662,48,S37A,54164.143344,1.4940930879
05062381,48,S37A,41525.873936,1.1428715873
05062382,48,S37A,41525.873936,1.1428715873
05062531,48,S37B,37480.380316,1.1241140415
05062532,48,S37B,37480.380316,1.1241140415
05063471,48,S37B,55621.940413,2.0454952959
05063472,48,S37B,55621.940413,2.0454952959
05063771,48,,228359.72564,1.4825470263
05063772,48,,228359.72564,1.4825470263
05064091,48,S37A,46600.721197,1.3227218663
05064092,48,S37A,46600.721197,1.3227218663
05066911,48,S37B,70115.8665,1.7030448083
05066912,48,S37B,70115.8665,1.7030448083
05066951,48,S37A,35068.435439,1.2779119652
05066952,48,S37A,35068.435439,1.2779119652
05067251,48,,46103.384003,0.7523488058
05067252,48,,46103.384003,0.7523488058
05067571,48,,54287.226856,0.6123639281
05067572,48,,54287.226856,0.6123639281
05067671,48,,134932.60015,0.9321990848
05067672,48,,134932.60015,0.9321990848
05067731,48,,22275.013791,0.5
05067732,48,,22275.013791,0.5
05067861,48,,93856.152638,1.4002471692
05067981,48,S37A,89712.880135,0.9636068591
05067982,48,S37A,89712.880135,0.9636068591
05068071,48,S37B,45371.342318,1.5255008621
05068072,48,S37B,45371.342318,1.5255008621
05068761,48,S37A,57316.04038,1.5774472115
05068762,48,S37A,57316.04038,1.5774472115
05069021,48,S37A,48425.549355,1.4940930879
05069022,48,S37A,48425.549355,1.4940930879
05070081,48,,68973.108092,1.5774472115
05070082,48,,68973.108092,1.5774472115
