NEWID,STATE,PSU,st_wgt,CALADJ45
04735544,06,S49A,23802.814848,1.6313659046
04735724,06,S49A,27782.722826,1.1377321019
04735754,06,S49E,7396.9349957,0.7160173115
04735804,06,S49E,11154.80437,1.5355827473
04735814,06,,14671.68902,0.6783620311
04735864,06,S49C,21949.305926,1.1389115136
04736004,06,S49E,18535.906679,1.202574199
04736084,06,S49A,40913.58257,1.4220999964
04736254,06,S49C,15484.092735,1.2217411706
04736264,06,S49A,25576.012189,0.9793629542
04736504,06,S49A,30817.923042,1.3491077421
04737474,06,S49A,39024.731312,0.9793629542
04737554,06,,25246.409955,0.6423580983
04737654,06,S49A,25211.721372,0.9654134406
04737904,06,,35640.169182,0.9016756475
04737994,06,,37024.702406,0.9314168682
04738074,06,S49C,15723.529271,0.8848343238
04739524,06,S49B,15530.934746,0.7152663353
04740364,06,S49B,20703.334655,1.3096397652
04740484,06,S49A,16775.148051,0.6423580983
04740514,06,S49A,19862.976037,0.7520212442
04740674,06,S49A,37022.889076,1.4257896209
04740724,06,S49C,24144.628909,1.3434063947
04741374,06,S49A,21036.659372,1.0909706652
04741384,06,,26661.461852,0.6783620311
04741644,06,S49A,32133.651216,1.2375000312
04743594,06,,36191.545975,0.9156251611
04743824,06,S49A,27132.081812,1.0272328721
04743864,06,,30616.968374,0.7790041284
04743964,06,S49A,24381.424843,1.2644317146
04744034,06,S49C,31312.510256,2.0144766573
04744104,06,S49C,29292.530559,1.6523761301
04744334,06,S49B,9337.8719171,0.7060958914
04744554,06,S49A,30878.854978,1.2645220123
04744784,06,S49A,35405.056985,1.3634852394
04745344,06,S49A,16618.323807,0.8618337853
04746114,06,S49A,17383.569833,0.6581498054
04746284,06,,33229.135346,0.8359331788
04746814,06,S49B,21044.649572,0.8618337853
04747024,06,,17445.268201,0.6423580983
04747544,06,S49A,46231.642085,1.7133033254
04747624,06,S49A,31088.17782,1.7952396857
04747674,06,S49E,8707.5227131,0.900664115
04747774,06,S49B,21294.523069,1.6158828849
04747854,06,S49B,13745.247981,1.0430245792
04747904,06,S49B,12322.747788,1.0928128586
04748234,06,,33461.454264,1.4319713061
04748594,06,S49A,23204.142144,1.1560286782
04748774,06,S49A,37094.431576,1.663515046
04748854,06,S49E,7174.5403939,0.7420998242
04749334,06,S49A,45610.776088,1.6902945866
04749754,06,S49E,7887.1573397,1.0272709562
04749884,06,S49B,19174.968019,0.8369263219
04750344,06,S49A,39748.922259,2.142326092
04750744,06,,58067.635037,1.4721641168
04751164,06,S49B,27593.101497,1.4579335246
04751634,06,S49E,11882.900797,0.8157590373
04751674,06,S49A,24704.214414,0.9793629542
04751714,06,S49B,18472.694503,0.7797551046
04751824,06,S49E,10676.363386,0.7900078261
04752064,06,,25705.654124,1.2783431442
04752124,06,,20477.363293,0.7540038934
04752154,06,S49C,12951.995827,0.6783620311
04752734,06,,39342.972578,0.9365752761
04752774,06,S49A,21858.281209,0.7790041284
04752804,06,,28646.465825,0.6783620311
04753194,06,,17618.12743,0.85176297
04753334,06,S49A,25744.52581,0.9175054387
04753414,06,S49A,20200.867952,0.8537676456
04754334,06,S49E,9656.4618982,0.6423580983
04754584,06,S49E,21408.620691,1.6643785534
04755044,06,S49A,34722.001563,1.2867663371
04755694,06,S49A,9721.4813876,0.6783620311
04755874,06,,27739.802494,0.7790041284
04755884,06,S49B,28121.22243,1.4858377895
04756014,06,S49E,11246.148691,0.9413632855
04756354,06,,47620.944943,1.2004749659
04756704,06,S49E,12335.950421,0.8249294811
04756924,06,S49A,24312.4918,0.900664115
04756974,06,S49A,11901.527369,0.7790041284
04757224,06,S49E,8498.7269273,1.4220671499
04757614,06,S49A,32946.648917,1.902560259
04757814,06,S49B,13926.880646,1.2006939215
04758064,06,S49A,13396.535628,0.900664115
04758154,06,,55362.41859,1.310459439
04758164,06,S49C,14507.717814,1.0621926112
04758174,06,,28809.653834,0.6783620311
04758364,06,,31590.361119,0.7520212442
04758384,06,S49E,6401.0656229,0.7797551046
04758664,06,S49E,14408.080577,1.0751737205
04758904,06,,50633.189749,1.3602424809
04759034,06,S49C,14190.34923,0.7420998242
04759134,06,S49E,10719.611923,0.7999292461
04759384,06,S49E,15889.650654,1.1857328753
04759844,06,S49B,29180.533509,1.3621227584
04760004,06,,39985.216732,1.0621926112
04760024,06,S49E,15485.1537,1.0272709562
04760074,06,S49A,20679.384982,1.2786754586
04760194,06,S49A,27643.028088,1.1051537586
04760674,06,S49B,19390.260761,1.5216713177
04760814,06,S49B,22904.144284,1.0691461889
04761274,06,,34842.492858,0.9413632855
04761344,06,S49A,28903.533725,1.0272709562
04761824,06,S49A,27265.170977,1.1086374122
04761904,06,S49B,36703.817472,1.7133033254
04762224,06,S49A,16445.36278,0.5844905923
04762294,06,,31603.01521,0.7420998242
04762534,06,S49B,30505.696967,1.4239802739
04762684,06,S49A,16756.634533,0.6783620311
04762714,06,,38815.856441,1.025288307
04762734,06,S49A,27643.028088,1.1051537586
04762924,06,S49A,31579.990175,1.2625514371
04763004,06,S49E,8207.0577142,0.9472085753
04763074,06,S49C,14546.658397,1.4239093434
04763444,06,,32246.451013,0.85176297
04763544,06,,34921.811343,1.536789969
04763664,06,S49A,24978.438571,0.8618337853
04764494,06,S49C,13412.258572,0.7880251769
04764604,06,,21697.174918,0.7160173115
04764764,06,S49E,25138.767716,1.964412537
04765844,06,S49A,20409.387225,0.726270033
04766274,06,S49A,29672.373564,1.4011846458
04766584,06,S49A,34316.470386,1.3953524428
04766804,06,,35464.140094,1.5695464732
04766824,06,S49E,14541.104738,1.0851003781
04766984,06,,18032.089925,0.6783620311
04767174,06,S49A,25341.294296,0.900664115
04767274,06,,29833.435074,0.7880251769
04767614,06,S49B,17548.964553,0.8407211882
04768244,06,S49B,20861.329228,1.5197910402
04768314,06,S49A,38746.903438,1.5351147002
04768854,06,S49C,21593.95121,1.2475903909
04769604,06,,46403.773248,1.2537222472
04769874,06,S49C,29705.505216,1.7750857333
04815283,06,S49A,35948.418318,1.4721260327
04815284,06,S49A,41448.187666,1.6370724312
04815383,06,S49A,40218.760087,1.7606456002
04815384,06,S49A,31312.414971,2.3287141584
04815783,06,S49E,14825.962078,1.4857668589
04815784,06,S49E,16904.079454,1.7870294631
04815933,06,S49C,15936.398136,0.8269121303
