NEWID,STATE,PSU,st_wgt,CALADJ45
04736174,12,,35292.583692,1.179949284
04737244,12,S35B,24105.925094,0.8065362816
04738114,12,,40127.895406,1.179949284
04738154,12,,34001.959838,1.1367994056
04738434,12,,19721.448949,1.1724190128
04739634,12,S35D,24293.642425,1.5723358243
04739724,12,,72122.718615,1.9471318516
04740994,12,S35B,43639.366017,1.5820922836
04741204,12,,51662.708203,1.9621587467
04741574,12,S35B,28067.973074,1.2826987329
04741874,12,S35B,36472.134794,1.1203858219
04742054,12,S35D,16873.803485,1.0053759874
04742254,12,,22013.936302,1.1724190128
04742444,12,,38205.87575,1.1443296768
04744054,12,S35B,46159.741703,1.4256166933
04745004,12,S35D,28359.212909,1.6897003516
04745054,12,,28790.92114,1.1367994056
04745124,12,S35D,13572.658435,0.8065362816
04746494,12,,31965.202119,0.9382461456
04747324,12,S35D,27896.485258,1.7385212849
04747434,12,,34701.637998,1.0483826428
04747744,12,,33105.826845,0.9381029227
04747894,12,,48002.111098,1.7911089444
04748004,12,S35B,36290.15066,1.1329612676
04749184,12,,72688.68114,2.0574115717
04749224,12,,31087.878735,1.0483826428
04749374,12,,26385.09474,0.8666516473
04749834,12,S35D,22639.553753,1.5054745764
04750324,12,,17589.215854,0.8650472285
04750504,12,,38036.095822,1.2826987329
04751184,12,S35D,16978.930566,1.1290570733
04751434,12,,59273.067516,1.8727106416
04751614,12,,35415.719989,1.0699560097
04752624,12,,60293.050623,1.7084934104
04753464,12,S35D,16579.70252,1.7554893372
04753634,12,,66284.013559,1.8186617863
04753884,12,,34875.950058,1.8727106416
04754144,12,S35D,12089.620867,1.1724190128
04754704,12,,36444.115758,1.0318634375
04755164,12,,35937.799231,1.1059154592
04755214,12,,18840.336932,0.9024833156
04755624,12,S35D,14109.487055,0.9382461456
04755644,12,S35B,26034.362542,1.1724190128
04756144,12,S35B,42254.055582,1.3740511582
04756394,12,S35B,30497.681687,1.0483826428
04757294,12,S35D,13573.83403,0.9026265385
04757364,12,S35B,21487.70316,1.5264969571
04757894,12,,13969.681167,0.9026265385
04759484,12,S35D,22482.328038,1.3802423458
04759654,12,,25744.313288,0.9677966775
04760964,12,S35D,20513.524853,1.2875720701
04761054,12,,40337.827634,1.1788967688
04761524,12,S35D,25737.110447,1.5963981279
04761684,12,S35B,40416.915585,1.2826987329
04761834,12,,40060.202292,1.2751684617
04761924,12,,26613.885352,1.2751684617
04762084,12,S35D,20770.813,1.2751684617
04762384,12,,42547.337474,1.2902290041
04764454,12,,25905.183454,0.8065362816
04764524,12,S35B,18928.025744,1.1443296768
04764804,12,S35D,20015.781873,1.2875720701
04766064,12,,48527.883462,1.5264969571
04766254,12,,31387.774661,1.179949284
04766514,12,,57143.782643,1.9281893412
04766524,12,,36169.389949,1.179949284
04766574,12,S35B,49290.396396,1.5804878648
04767894,12,,28916.48884,0.8065362816
04768014,12,S35B,19392.643315,1.1724190128
04768624,12,S35B,49290.396396,1.5804878648
04768634,12,S35B,33059.389019,1.0993633186
04769744,12,S35B,50286.284965,1.7653320178
04815884,12,S35B,46031.873688,1.4178216557
04816133,12,,42813.885415,1.2902290041
04816134,12,,37350.918566,1.1854054635
04816483,12,S35B,33665.949553,1.0637437114
04816484,12,S35B,14273.665357,0.7649379875
04816553,12,,35067.351363,1.1724190128
04816554,12,,15958.546829,0.8476017853
04817033,12,S35B,28562.29132,0.9024833156
04817034,12,S35B,29312.6544,1.0270488842
04817344,12,,71469.530253,2.2311610376
04817633,12,,61977.205117,1.8727106416
04817634,12,,72069.735474,2.3099668194
04817843,12,,28058.897415,0.9381029227
04817844,12,,16686.962595,0.9905909953
04817943,12,S35D,21458.955254,1.2751684617
04817944,12,S35D,17058.885983,1.0675620695
04819073,12,S35B,17207.088734,1.0427391827
04819074,12,S35B,27355.014898,0.8921001643
04819623,12,S35D,13428.557781,1.1084980085
04820043,12,,35829.192035,1.2751684617
04820044,12,,28482.56565,1.0675620695
04820063,12,S35B,43456.153385,1.5754501318
04820064,12,S35B,41863.307992,1.4937186164
04820123,12,,19780.5343,0.8065362816
04820124,12,,32534.787593,1.3535404895
04820163,12,,37248.60028,1.789630588
04820164,12,,43899.422932,1.661728296
04820393,12,S35D,31263.020259,2.1924862604
04821113,12,,21205.216832,1.0483826428
04821114,12,,18959.433658,1.3283946735
04821813,12,,16191.661457,1.1367994056
04821814,12,,14094.013088,0.8840596742
04822063,12,,35292.583692,1.179949284
04822064,12,,16263.369717,0.9654451793
04822263,12,,22013.936302,1.1724190128
04822264,12,,23300.135057,0.8476017853
04822774,12,S35B,29889.785667,0.974763962
04822783,12,S35B,29258.150473,1.2485324818
04822784,12,S35B,23189.866488,1.0096912906
04823383,12,,47232.865138,1.2751684617
04823384,12,,27898.825516,1.0675620695
04823823,12,S35B,24230.3469,1.0339811185
04823824,12,S35B,24984.948677,1.0878495177
04823864,12,S35B,27967.143124,0.8591213761
04824003,12,,36040.774693,1.2826987329
04824004,12,,16918.628696,1.1854054635
04824873,12,,62944.217452,2.2461715354
04824874,12,,50551.308719,1.9135226499
04825784,12,,75594.953555,2.3599499592
04826164,12,S35D,13214.490193,1.1129953337
04827583,12,S35D,30290.645878,2.0692305468
04827584,12,S35D,17202.795041,2.1177203986
04828864,12,,49001.112993,1.3512387072
04828903,12,,20295.702842,1.1724190128
04828904,12,,16739.662201,0.8476017853
04829193,12,S35B,37479.86585,1.2161207947
04829194,12,S35B,28980.456036,1.0154540487
04830203,12,S35D,30647.599655,2.0936149611
04831263,12,S35D,7647.6659728,0.8065362816
04831264,12,S35D,22300.233085,1.3535404895
04831334,12,S35B,39507.590083,1.3099125507
04832874,12,S35D,15712.461087,1.0650054841
04833023,12,,24975.585383,0.765204376
04833024,12,,42887.252591,1.2662988566
04833043,12,S35D,33709.974495,2.3028135233
04833044,12,S35D,23052.957733,2.3576644605
04833544,12,,24435.69895,0.988289213
04833853,12,S35B,35256.275684,1.1724190128
04833854,12,S35B,24280.448339,0.8476017853
04833863,12,,32528.991977,1.0127630357
04834523,12,S35B,31356.622239,1.0427391827
04834524,12,S35B,25555.151403,0.8921001643
04834754,12,S35B,25279.412124,1.0650054841
04834864,12,S35D,11348.217151,1.2321170204
04835603,12,,54572.771994,1.716645451
04835624,12,S35B,23882.089072,1.5198101826
04836193,12,,41367.498543,1.2875720701
04836194,12,,29707.52986,0.879435855
04836264,12,S35D,25210.820355,1.5070047508
04836304,12,,41981.021484,1.5029765505
04836423,12,S35B,30796.256251,1.0811221633
04836424,12,S35B,29598.088371,1.2209395359
04836723,12,,32773.329443,0.9382461456
04836724,12,,36494.74649,1.3512387072
04837823,12,,29598.966529,0.8650472285
04838743,12,,82266.22967,2.3292515891
