NEWID,STATE,PSU,st_wgt,CALADJ45
04736274,36,S12A,23200.422117,0.8719597774
04737324,36,,32151.379565,1.5364772544
04737424,36,,15713.992871,1.3565676478
04737444,36,S12A,29652.752523,1.1144628041
04737694,36,S12A,21955.956879,0.8251880581
04737924,36,S12A,34554.985193,1.2987072841
04737934,36,S12A,39935.432137,1.6774426424
04740294,36,,41673.859388,1.5639889779
04740844,36,,31830.706685,1.2186439701
04741464,36,S12A,31245.244561,1.2474993715
04742414,36,S12A,38721.896598,1.4340456072
04742564,36,,25447.904917,0.9692062856
04742844,36,S12A,28926.639056,1.0871727086
04742884,36,S12A,32424.723307,1.2186439701
04742934,36,,25082.214885,0.9552786527
04743414,36,S12A,28592.799223,1.0746257426
04744614,36,S12A,31285.873556,1.175841681
04744724,36,S12A,24579.350564,0.9237851337
04744864,36,,32808.511258,1.6337896021
04745244,36,,29109.518037,1.1144628041
04746924,36,S12A,23943.062028,0.9552786527
04748514,36,,35269.825522,1.5621319116
04749244,36,S12A,12531.977952,0.5
04750084,36,,37558.400717,1.5264671813
04750194,36,S12A,23345.477986,1.0150493684
04750984,36,S12A,20682.477101,0.8251880581
04751464,36,S12A,23833.558983,1.3891800778
04751854,36,S12A,20984.319436,0.8817687793
04751894,36,,28915.896745,1.1160994899
04752224,36,,30141.359599,1.2186439701
04753124,36,,24957.197609,1.0090433472
04753834,36,,27421.120543,1.1144628041
04754044,36,S12A,22297.701821,1.2452373924
04754284,36,S12A,14362.218893,0.6244618862
04755014,36,S12A,27477.703333,1.09630353
04755594,36,,27533.964955,1.1132245132
04756244,36,S12A,12531.977952,0.5
04757844,36,S12A,30092.566963,1.1144628041
04758204,36,S12A,42110.583049,1.7695021048
04758614,36,S12A,26977.331205,0.9990916435
04759684,36,S12A,21629.225416,0.8010272848
04759774,36,S12A,29171.859876,1.1280918517
04759974,36,,17172.258215,0.6444620913
04760754,36,S12A,30899.527167,1.144348162
04761364,36,S12A,13500.92926,0.5
04761414,36,S12A,45896.303973,1.7288709354
04762954,36,,30114.115731,1.2493800791
04763174,36,,46322.352553,1.8247398189
04763324,36,S12A,36014.74249,1.3337875415
04763344,36,S12A,29585.62295,1.1144628041
04764244,36,,46242.664263,1.7651894837
04764734,36,S12A,38424.786484,1.4474258448
04764864,36,S12A,14309.954603,0.5390426343
04765674,36,,25074.800584,1.0457510864
04765904,36,S12A,32351.318391,1.2186439701
04766044,36,S12A,25729.500905,0.9692062856
04766354,36,S12A,30092.566963,1.1144628041
04766744,36,,42991.15939,1.6496583725
04767604,36,,21617.449388,0.8251880581
04768324,36,S12A,26292.037714,1.0764282453
04768724,36,,25258.139867,0.9692062856
04768964,36,S12A,29016.892264,1.0746257426
04769824,36,S12A,9272.6922786,0.7254931857
04815633,36,S12A,30248.093321,1.1202226431
04815634,36,S12A,29513.082864,1.2843155236
04816474,36,S12A,37464.73243,1.462763222
04816623,36,S12A,15342.922293,0.6444620913
04817063,36,S12A,35924.154991,1.7288709354
04817064,36,S12A,26387.138035,1.0180338042
04817143,36,S12A,17401.674211,0.6444620913
04817144,36,S12A,19032.715461,0.869999458
04817224,36,,19656.495003,1.559732858
04817673,36,S12A,19369.988153,0.7733672239
04817674,36,S12A,29653.807549,1.1705633962
04818504,36,S12A,36989.046674,1.6352155707
04819893,36,,39233.585408,1.8749276828
04819894,36,,46661.339746,2.1013049222
04820363,36,,29077.174155,1.1132245132
04820364,36,,19520.09566,0.7671527567
04821284,36,S12A,24108.504714,0.8928461237
04821373,36,S12A,31821.102238,1.5555888607
04821374,36,S12A,49993.408504,1.9734549753
04821863,36,S12A,24622.089706,0.9830629225
04821864,36,S12A,24463.919714,0.9656961892
04821873,36,,21553.726667,0.8251880581
04821993,36,,41702.562382,1.5882794956
04821994,36,,41211.605492,1.6112134085
04822033,36,S12A,18780.463083,0.7058409682
04822034,36,S12A,27770.705376,1.071412777
04822153,36,,45157.720375,1.7288709354
04822313,36,,29059.92384,1.09630353
04822314,36,,18097.188971,0.8426735192
04822713,36,S12A,16115.001334,0.6434084392
04822714,36,S12A,15066.17327,0.840021324
04822763,36,S12A,14071.233373,1.1924963861
04822764,36,S12A,14816.990737,0.9528639037
04823363,36,S12A,21687.713206,1.0174434643
04823543,36,S12A,20826.30391,1.7649691033
04823544,36,S12A,32225.697469,1.8753787741
04823633,36,S12A,32424.723307,1.2186439701
04823634,36,S12A,24758.94819,0.9552171281
04823673,36,,25315.450411,0.9692062856
04824153,36,S12A,34045.304491,1.35929472
04824154,36,S12A,34005.453637,1.3423415941
04824253,36,S12A,27195.27664,1.3294533008
04824254,36,S12A,45613.69265,1.8005687429
04824614,36,S12A,28010.329826,1.0806576519
04824923,36,,22362.729084,1.09630353
04824924,36,,21441.711006,0.8426735192
04824933,36,,21987.860264,0.8251880581
04824934,36,,26640.130747,1.0726856817
04825064,36,,34941.628763,1.3732292758
04825263,36,S12A,26532.38481,1.1144628041
04825264,36,S12A,32306.073812,1.2613499031
04826083,36,S12A,27749.927312,1.3565676478
04826084,36,S12A,38271.395615,1.6654494457
04827403,36,S12A,40523.095345,1.5264671813
04827404,36,S12A,26265.155418,1.0806576519
04828743,36,S12A,24943.915482,0.9237851337
04828744,36,S12A,28240.848266,1.0458853506
04829433,36,,31924.812881,1.2186439701
04829434,36,,22910.275931,0.9552171281
04829803,36,,28719.860692,1.09630353
04829804,36,,20210.988975,0.8426735192
04830993,36,S12A,15832.449004,0.6481998651
04830994,36,S12A,26766.621753,1.0082342173
04831243,36,S12A,24771.112169,0.9173854515
04831244,36,S12A,21603.287352,1.0177969336
04831873,36,S12A,24891.994019,1.3701719814
04831874,36,S12A,38027.16774,1.580875299
04832473,36,S12A,29103.549043,1.09630353
04832474,36,S12A,20481.001463,0.8426735192
04832733,36,S12A,32351.318391,1.2186439701
04832734,36,S12A,23216.350048,0.9552171281
04833583,36,,41157.459137,1.7075483807
04833584,36,,49883.323606,1.904087385
04833653,36,S12A,23156.034586,0.8575718804
04833654,36,S12A,23509.906982,1.1076236152
04835973,36,S12A,36048.178648,1.3350258324
04835974,36,S12A,38326.304485,1.6174024392
04836004,36,S12A,37930.170197,1.4287382179
04836023,36,S12A,40523.095345,1.5264671813
04836024,36,S12A,26265.155418,1.0806576519
04836743,36,,25321.750897,0.9552786527
04836744,36,,19188.990433,1.1067106859
04837023,36,,21617.449388,0.8251880581
04837024,36,,25727.684557,1.0726856817
04837123,36,S12A,19121.495553,0.7081547938
04837124,36,S12A,11884.684135,0.5015437143
04837253,36,S12A,25359.764298,0.9552786527
04837254,36,S12A,26898.368893,1.1067106859
04838403,36,,38071.471287,1.6774426424
04838404,36,,25697.062757,1.6716122307
04838543,36,S12A,16901.81473,0.6743474492
04838544,36,S12A,26633.882913,1.0105874417
04838783,36,,20303.576869,0.8251880581
04839093,36,S12A,16152.769439,0.6444620913
04839094,36,S12A,22928.707346,0.869999458
04839213,36,,41609.112443,1.6060338569
04839214,36,,37281.797253,1.3991581494
04839293,36,S12A,35617.0775,1.4210477243
04839903,36,,24596.574196,1.0894041266
04840133,36,S12A,19762.435944,0.7884803189
04840134,36,S12A,18902.569767,0.7172329955
04840173,36,S12A,33091.915567,1.4388194586
04840174,36,S12A,36777.100747,1.4364979845
04840814,36,S12A,35462.443433,1.6703355255
04841243,36,S12A,34724.664816,1.385442304
04841244,36,S12A,35439.233531,1.3446948185
04841413,36,S12A,19666.134702,0.8550734159
04841414,36,S12A,31062.130478,1.2132736654
04842323,36,S12A,27477.703333,1.09630353
04842324,36,S12A,22208.536261,0.8426735192
04842904,36,,22626.425384,0.869999458
04842953,36,,23971.886701,0.9692062856
04842954,36,,23924.708666,0.9199192192
04843423,36,,27060.128882,1.044470324
04843424,36,,29403.844483,1.1035044355
04843583,36,S12A,19762.435944,0.7884803189
04843863,36,,22848.46156,0.9237851337
04844053,36,S12A,39797.703585,1.5878460581
04844054,36,S12A,33788.791264,1.2820709708
04844203,36,,29984.476,1.2186439701
04844204,36,,24713.411023,0.9552171281
04845133,36,,20177.440986,0.7884803189
04845373,36,S12A,16467.246041,0.6570090573
04845374,36,S12A,22564.682137,0.8561870032
04846453,36,S12A,32427.493513,1.200935613
04846454,36,S12A,38720.102458,1.4351383124
04846564,36,S12A,31234.846182,1.1851649044
04846693,36,,38204.055147,1.5446264554
04847743,36,S12A,27599.772335,1.1597525302
04848954,36,S12A,23662.7968,0.9242588247
04849073,36,S12A,17608.572812,0.7656116839
04849074,36,S12A,34628.863428,1.3525887444
04850043,36,,28713.992889,1.2717682591
04850044,36,,17411.782495,1.1385750508
04850064,36,,20835.155409,1.013262726
