NEWID,STATE,PSU,st_wgt,CALADJ45
04736164,48,S37A,30186.942693,0.971894539
04736204,48,,30021.099088,1.2041918592
04736794,48,,41539.02079,0.9968055292
04736884,48,S37A,36580.47809,1.2528486772
04737334,48,S37A,27835.7747,1.0905070633
04737384,48,S37A,33862.962812,1.0902471631
04738414,48,,37716.469293,0.8618850276
04738754,48,S37A,47449.871425,1.4187333485
04739984,48,,36134.447271,0.8071104795
04740234,48,,53795.993035,1.213542198
04740794,48,S37A,30446.078896,0.9802376516
04741414,48,S37B,24188.388994,1.0507898643
04741484,48,,37600.640875,0.9858725965
04741524,48,,32275.422135,0.9111703538
04741564,48,S37A,25458.886764,0.9560031634
04741844,48,S37B,33615.186517,1.0830820425
04742094,48,S37B,26069.832524,0.9044787032
04742214,48,,20340.535106,1.1284329108
04742504,48,,44433.751603,1.095189574
04742744,48,S37B,28432.498253,0.9684363487
04742904,48,,51323.492612,0.9765470912
04743174,48,S37A,55235.430538,1.7458772721
04743194,48,S37A,49475.827564,1.4396332933
04743214,48,,30327.699752,0.7277691728
04744524,48,S37B,19931.156415,0.6788730336
04745424,48,,25655.597139,0.6726786985
04745434,48,,48134.955694,1.0858392352
04745444,48,S37A,31956.552967,1.0100802868
04745514,48,,16303.654953,0.9044787032
04745704,48,S37A,31403.87169,1.011074613
04745844,48,S37B,33900.096135,1.0601402031
04745874,48,S37B,32037.222124,1.1115140496
04745924,48,S37B,40764.371097,1.3884709796
04747294,48,,19547.101632,0.7884098019
04747374,48,S37A,28029.141175,1.4493542424
04747794,48,,30724.820419,1.1893522985
04748014,48,,41472.55101,1.0310646871
04748354,48,S37B,32795.528364,1.0764646788
04748714,48,S37A,30371.832296,0.9044787032
04749074,48,S37B,37945.712293,1.2059934687
04749204,48,,57567.857116,1.1896169939
04749494,48,,25091.709111,0.7479403314
04750104,48,S37B,30948.465744,1.0146882123
04750734,48,,44713.520114,1.6199759187
04751484,48,S37A,27209.747349,1.406984342
04751774,48,S37B,21362.467172,1.0902471631
04752374,48,,37098.179713,1.3440712699
04752484,48,S37B,43569.033499,1.4284709646
04753954,48,,31548.797003,1.0667575669
04754214,48,,30018.446788,0.8662929555
04754534,48,S37B,17525.4163,0.9765470912
04755384,48,,33215.39977,0.7499597294
04755474,48,,36344.045396,1.011074613
04755534,48,S37A,43698.033387,1.3754300804
04755814,48,S37B,36573.725406,1.2799062189
04756224,48,S37B,16090.967682,0.5605204096
04756344,48,,46180.866366,1.0507898643
04756634,48,S37A,40749.992223,1.213542198
04757064,48,,43519.344834,1.5767108125
04757494,48,,41003.522224,0.9550604686
04758634,48,,27686.186885,0.9324372403
04759854,48,,51601.654766,1.1966431299
04760534,48,S37A,31202.478957,0.9802376516
04760694,48,S37A,36248.318304,1.0867889727
04761854,48,,55676.083144,1.4135712015
04762494,48,S37B,16427.875708,1.011074613
04762794,48,,45485.898381,0.9653980909
04762834,48,S37A,31299.513063,1.5885686493
04763054,48,S37B,19281.068062,0.6368919051
04764084,48,S37A,34704.251677,1.0902471631
04764154,48,,67007.927411,1.4447954403
04764324,48,S37B,29600.051779,0.9662227973
04764464,48,S37B,33065.461169,1.079342787
04764994,48,S37A,35381.209534,1.1115140496
04765494,48,S37A,17162.860604,0.9802376516
04766714,48,S37B,36372.489029,1.1872927911
04767194,48,,52292.104892,1.535005916
04767494,48,S37A,34815.006126,1.0438157275
04768744,48,,28741.447119,0.6744651058
04768784,48,,25351.584119,0.5890914938
04815324,48,S37A,18377.397028,0.755910228
04815403,48,S37B,25492.879485,0.7972256577
04815404,48,S37B,12278.254474,0.755910228
04816183,48,S37A,31397.661212,0.9111703538
04816184,48,S37A,37081.568174,1.1332972988
04816273,48,,76427.102041,1.8340094795
04816274,48,,88588.573272,2.092250895
04817853,48,S37B,38134.533495,1.1989851236
04817854,48,S37B,36263.734709,1.155297244
04818213,48,S37A,45117.475627,1.4525958665
04819223,48,S37A,30102.941054,0.8735971531
04819303,48,,43285.291883,0.8824784465
04819554,48,,55615.560902,1.2027467754
04819703,48,,27766.143124,0.8662929555
04819704,48,,21197.894366,0.8032567262
04819804,48,S37B,22952.202535,0.755910228
04821233,48,,47526.964616,0.9067624259
04821234,48,,64971.663144,1.4067199737
04821273,48,S37A,28874.025596,0.8618850276
04821274,48,S37A,32527.791309,1.0766794012
04821923,48,S37A,21034.467891,1.2041918592
04821924,48,S37A,25120.474067,1.4360350439
04822143,48,,39431.456945,0.971894539
04822144,48,,37674.831294,0.9546835774
04822534,48,S37B,15032.699435,0.5
04822583,48,,27912.467773,0.7884098019
04822584,48,,32108.761133,0.9253685072
04822933,48,,53542.517626,1.4114509809
04822934,48,,35948.956753,1.343006034
04823114,48,S37B,97068.192804,1.2346298757
04823553,48,S37A,26906.968556,0.8662929555
04823554,48,S37A,20541.962729,0.8032567262
04823694,48,,55428.521877,1.4303447173
04823784,48,,12528.989385,0.5479814365
04824144,48,S37B,31736.668652,1.4067199737
04824403,48,S37B,34977.98428,1.213542198
04824593,48,S37A,32130.488499,0.9324372403
04824673,48,S37A,28512.079644,1.1494173111
04824674,48,S37A,69363.924391,2.1199197342
04825193,48,,43097.171115,1.1299892502
04825194,48,,22843.262536,1.3167107895
04825923,48,,44508.506681,0.9968055292
04825924,48,,64400.144103,1.8355577562
04825983,48,,42494.421978,0.9726889223
04825984,48,,82610.811127,1.9866402682
04826283,48,,27766.143124,0.8662929555
04826284,48,,21197.894366,0.8032567262
04827364,48,,44882.79786,1.7530123329
04827413,48,,43860.696583,1.0191853555
04827414,48,,19076.917364,0.8370593474
04827513,48,,44028.905639,0.9044787032
04827514,48,,36719.555008,0.7918567184
04827723,48,S37B,46896.310073,1.5308177242
04827724,48,S37B,47004.466124,1.4786662276
04828113,48,S37A,54330.018331,1.8125228569
04828493,48,S37A,34704.251677,1.0902471631
04828494,48,S37A,21146.74117,1.0586479732
04828883,48,,30068.006574,0.8735971531
04828884,48,,25522.012302,0.7331102124
04829273,48,S37B,19712.798202,0.6368919051
04829274,48,S37B,9191.3996206,0.5251814209
04829373,48,S37B,33318.26141,1.0764646788
04829374,48,S37B,33394.718382,1.0667017817
04829933,48,,44716.457389,1.2991938716
04829934,48,,37852.119475,1.0872879074
04829943,48,S37B,48302.236114,1.5767108125
04829963,48,S37B,26717.509454,0.9044787032
04829964,48,S37B,22282.067743,0.7918567184
04829983,48,S37A,40122.084167,1.2298666736
04829984,48,S37A,38727.121769,1.21404375
04830884,48,,37635.233794,1.3170376691
04830893,48,,57376.77019,1.8549360911
04830894,48,,27224.757305,1.3176858016
04832074,48,S37A,44373.997915,1.7660756165
04833223,48,S37A,19969.002179,0.5987061574
04833224,48,S37A,18102.163995,0.5365814287
04834413,48,S37A,32361.44428,1.0732492745
04836754,48,S37B,18888.805205,1.1840923799
04836954,48,,52253.972639,1.3637492002
04836993,48,S37B,50149.210534,1.66302749
04836994,48,S37B,21493.872417,1.3239725904
04837034,48,S37B,23664.917056,0.755910228
04837174,48,S37A,13433.170249,0.7485951031
04837293,48,,67854.617685,1.3440712699
04837294,48,,28786.998398,1.41732848
04837633,48,S37A,42284.683871,1.2677699351
04837933,48,S37A,37574.655103,1.1382029833
04837934,48,S37A,40256.095151,1.175175105
04838333,48,S37B,22780.975559,0.7972256577
04839143,48,S37A,33829.15331,1.0292586531
04839144,48,S37A,49708.075326,1.4588508264
04839384,48,S37B,42563.222415,1.5357447176
04839624,48,S37A,33667.169638,1.0667017817
04839703,48,S37B,17076.791608,0.5605204096
04839704,48,S37B,17125.6738,0.5479814365
04840933,48,,52214.949753,1.4525958665
