newid,st_wgt,caladj45,state,psu
05367041,9732.217632496195,0.668008593207693,06,S49E
05367042,9732.217632496195,0.668008593207693,06,S49E
05367081,14008.354220240619,0.7527638422633599,06,S49C
05367082,14008.354220240619,0.7527638422633599,06,S49C
05367791,33331.71516027635,0.8761690520129415,06,NA
05367792,33331.71516027635,0.8761690520129415,06,NA
05367831,75320.16005967741,1.2168673232724863,06,NA
05367832,75320.16005967741,1.2168673232724863,06,NA
05368151,40408.55340082877,1.127906007757831,06,S49A
05368152,40408.55340082877,1.127906007757831,06,S49A
05368391,20019.18688130082,0.6893261912132826,06,S49C
05368392,20019.18688130082,0.6893261912132826,06,S49C
05368881,47993.37459998845,0.9262859523974923,06,NA
05368882,47993.37459998845,0.9262859523974923,06,NA
05369031,20331.967075524306,0.6392047828478397,06,S49A
05369032,20331.967075524306,0.6392047828478397,06,S49A
05369131,28097.68314330052,0.6893261912132826,06,S49B
05369132,28097.68314330052,0.6893261912132826,06,S49B
05369201,50245.48087773303,1.103308263856966,06,S49B
05369202,50245.48087773303,1.103308263856966,06,S49B
05369611,26741.645242701572,1.0248331505145487,06,S49A
05369612,26741.645242701572,1.0248331505145487,06,S49A
05369631,14357.34812712547,0.985472405854354,06,S49E
05369632,14357.34812712547,0.985472405854354,06,S49E
05369791,27557.79542510835,1.2863455244653963,06,S49C
05369792,27557.79542510835,1.2863455244653963,06,S49C
05369851,28919.36525471907,0.6865054825427037,06,NA
05369852,28919.36525471907,0.6865054825427037,06,NA
05369951,22988.456435426822,0.9163471372282677,06,S49B
05369952,22988.456435426822,0.9163471372282677,06,S49B
05370021,43820.31789190923,0.7394964379787248,06,NA
05370022,43820.31789190923,0.7394964379787248,06,NA
05370101,11606.041376840123,0.7966257707766358,06,S49E
05370102,11606.041376840123,0.7966257707766358,06,S49E
05370171,22878.064406205653,1.004430065880146,06,S49C
05370172,22878.064406205653,1.004430065880146,06,S49C
05370211,107559.31965461206,1.5872186430764383,06,S49A
05370212,107559.31965461206,1.5872186430764383,06,S49A
05370831,28018.677517892807,1.0274254112899106,06,S49A
05370832,28018.677517892807,1.0274254112899106,06,S49A
05370951,25875.90634270243,0.668008593207693,06,NA
05370952,25875.90634270243,0.668008593207693,06,NA
05371062,48008.93103330747,1.4307032483662048,06,S49B
05371121,25092.951731763158,0.6889862678965812,06,NA
05371122,25092.951731763158,0.6889862678965812,06,NA
05371201,39035.35217056107,1.089576451584023,06,S49A
05371202,39035.35217056107,1.089576451584023,06,S49A
05371411,39749.85810392287,0.9134019438860823,06,S49A
05371412,39749.85810392287,0.9134019438860823,06,S49A
05371631,32228.791784304532,0.7865754801859269,06,S49A
05371632,35890.676614387026,0.8759473945252796,06,S49A
05371761,29540.37559562432,0.7626099925974212,06,NA
05371762,29540.37559562432,0.7626099925974212,06,NA
05371821,79740.90291215936,2.258476496730844,06,NA
05371822,79740.90291215936,2.258476496730844,06,NA
05371931,43093.145808272624,1.05173076557501,06,S49A
05371932,43093.145808272624,1.05173076557501,06,S49A
05371961,32563.071014642952,1.0143469483423107,06,S49A
05371962,32563.071014642952,1.0143469483423107,06,S49A
05372181,97658.83712412599,1.4411203737837293,06,S49A
05372182,151678.27247682065,2.238267986427474,06,S49A
05372231,38969.700511563184,1.2293983992170727,06,NA
05372232,38969.700511563184,1.2293983992170727,06,NA
05372261,28749.422074790953,1.2128332751860404,06,S49E
05372262,28749.422074790953,1.2128332751860404,06,S49E
05372301,37085.7328667458,2.6257460110668216,06,S49E
05372302,37085.7328667458,2.6257460110668216,06,S49E
05372841,73918.02828047337,1.0274254112899106,06,S49A
05372842,73918.02828047337,1.0274254112899106,06,S49A
05372951,30660.912042525615,0.9550942707382379,06,S49A
05372952,30660.912042525615,0.9550942707382379,06,S49A
05373191,56558.47785003938,0.9137548764529059,06,NA
05373192,56558.47785003938,0.9137548764529059,06,NA
05373811,17006.347606340958,0.9138663518743902,06,S49C
05373812,17006.347606340958,0.9138663518743902,06,S49C
05374011,12714.715289991587,1.1192552687568815,06,S49E
05374012,12714.715289991587,1.1192552687568815,06,S49E
05374041,20291.511530630523,0.8908710064646257,06,S49C
05374042,20291.511530630523,0.8908710064646257,06,S49C
05374061,51011.812529654955,1.423870071469422,06,S49A
05374062,51011.812529654955,1.423870071469422,06,S49A
05374581,70358.87973994866,2.371927627024412,06,NA
05374582,70358.87973994866,2.371927627024412,06,NA
05374601,19799.359191741925,1.0660753719838252,06,S49E
05374602,19799.359191741925,1.0660753719838252,06,S49E
05374781,33731.63102972901,0.988293114524933,06,S49A
05374782,33731.63102972901,0.988293114524933,06,S49A
05374841,76669.69166000228,1.138856617918377,06,S49A
05374842,76669.69166000228,1.138856617918377,06,S49A
05374851,32759.133168063603,0.7527638422633599,06,S49A
05374852,32759.133168063603,0.7527638422633599,06,S49A
05374961,35126.332490599256,1.0941931168677086,06,S49A
05374962,35126.332490599256,1.0941931168677086,06,S49A
05375011,16758.372258242147,0.668008593207693,06,S49B
05375012,16758.372258242147,0.668008593207693,06,S49B
05375051,22351.999088255718,0.800757397841749,06,S49A
05375052,22351.999088255718,0.800757397841749,06,S49A
05375141,38088.95543647914,0.6153625431957412,06,NA
05375142,38088.95543647914,0.6153625431957412,06,NA
05375461,34940.340339595095,0.8028852506288029,06,S49A
05375462,34940.340339595095,0.8028852506288029,06,S49A
05375951,19790.38064257374,0.7626099925974212,06,S49E
05375952,19790.38064257374,0.7626099925974212,06,S49E
05376161,19019.23361464419,0.7552446276172373,06,S49A
05376162,19019.23361464419,0.7552446276172373,06,S49A
05376471,16067.332859351369,1.1028438558686582,06,S49E
05376472,16067.332859351369,1.1028438558686582,06,S49E
05376741,54897.3404121433,1.0143469483423107,06,NA
05376742,54897.3404121433,1.0143469483423107,06,NA
05377151,30422.659543214457,0.9188279225821453,06,NA
05377152,30422.659543214457,0.9188279225821453,06,NA
05377301,22810.865999964095,0.5996143535572286,06,NA
05377302,22810.865999964095,0.5996143535572286,06,NA
05377391,21746.78695659602,1.6595639774294608,06,S49C
05377392,21746.78695659602,1.6595639774294608,06,S49C
05377851,44955.797692926666,1.2548312184904311,06,S49A
05377852,44955.797692926666,1.2548312184904311,06,S49A
05377961,27772.78270938112,1.1028438558686582,06,S49A
05377962,27772.78270938112,1.1028438558686582,06,S49A
05378001,43374.152546355166,3.3100145442694204,06,S49C
05378002,43374.152546355166,3.3100145442694204,06,S49C
05378031,17431.60377552187,0.6392047828478397,06,S49A
05378032,17431.60377552187,0.6392047828478397,06,S49A
05378131,44133.64079112975,0.9100526989095894,06,NA
05378132,44133.64079112975,0.9100526989095894,06,NA
05379161,21966.80441548501,1.5018282610152274,06,S49C
05379162,21966.80441548501,1.5018282610152274,06,S49C
05379631,31279.58896905522,1.4600717748561762,06,S49C
05379632,31279.58896905522,1.4600717748561762,06,S49C
05379671,51708.854556068436,2.118044891794529,06,S49A
