newid,st_wgt,caladj45,state,psu
05366941,29011.196130312277,0.8712224676154096,36,S12A
05366942,29011.196130312277,0.8712224676154096,36,S12A
05367401,34330.8966344728,1.1436237426350226,36,NA
05367402,34330.8966344728,1.1436237426350226,36,NA
05367971,33486.76114875718,0.9493575320833144,36,S12A
05367972,33486.76114875718,0.9493575320833144,36,S12A
05368061,72515.81196228402,1.5549017887090761,36,S12A
05368062,72515.81196228402,1.5549017887090761,36,S12A
05368641,50609.2477187883,1.7816306882387534,36,NA
05368642,50609.2477187883,1.7816306882387534,36,NA
05368681,19857.060672480282,0.5477243948568669,36,NA
05368682,19857.060672480282,0.5477243948568669,36,NA
05368891,67258.86955128552,1.1064445725989842,36,S12A
05368892,67258.86955128552,1.1064445725989842,36,S12A
05369321,45586.06892524794,1.24240111968594,36,NA
05369322,45586.06892524794,1.24240111968594,36,NA
05370111,31612.786576830003,0.5,36,S12A
05370112,31612.786576830003,0.5,36,S12A
05370481,37621.613652329266,0.5806554294454584,36,NA
05370482,37621.613652329266,0.5806554294454584,36,NA
05371441,26998.14298957062,0.873112777194405,36,S12A
05371442,26998.14298957062,0.873112777194405,36,S12A
05371551,35067.42619677001,0.5,36,S12A
05371552,35067.42619677001,0.5,36,S12A
05371911,101558.39997383188,1.4311990205779481,36,S12A
05371912,101558.39997383188,1.4311990205779481,36,S12A
05372701,28334.086165378587,0.8797570544739921,36,NA
05372702,28334.086165378587,0.8797570544739921,36,NA
05373161,79632.57186852112,1.9020334357293633,36,NA
05373162,79632.57186852112,1.9020334357293633,36,NA
05374391,37180.31603012331,1.0540706792046857,36,S12A
05374392,37180.31603012331,1.0540706792046857,36,S12A
05375341,35067.42619677001,0.5,36,S12A
05375342,35067.42619677001,0.5,36,S12A
05375391,61014.640752307576,1.707824645169064,36,S12A
05375392,61014.640752307576,1.707824645169064,36,S12A
05376061,41699.82091839641,1.2783221070189774,36,NA
05376062,41699.82091839641,1.2783221070189774,36,NA
05377111,42698.44231865825,1.5123258452728785,36,NA
05377112,42698.44231865825,1.5123258452728785,36,NA
05377561,68520.5590566349,1.636621690126613,36,NA
05377562,68520.5590566349,1.636621690126613,36,NA
05379111,67352.41119606791,0.9491554116864113,36,S12A
05379112,67352.41119606791,0.9491554116864113,36,S12A
05379151,31238.942262066394,1.1064445725989842,36,NA
05379152,31238.942262066394,1.1064445725989842,36,NA
05381811,16649.70613632,0.5,36,S12A
05381812,16649.70613632,0.5,36,S12A
05381961,53995.44154449936,1.2014783608212452,36,S12A
05381962,53995.44154449936,1.2014783608212452,36,S12A
05382771,60940.7875337127,1.1064445725989842,36,S12A
05382772,60940.7875337127,1.1064445725989842,36,S12A
05382871,47571.07926297853,1.494055410295828,36,S12A
05382872,47571.07926297853,1.494055410295828,36,S12A
05383191,31899.766811133017,0.5477243948568669,36,S12A
05383192,31899.766811133017,0.5477243948568669,36,S12A
05385101,53240.300546001105,1.0844764916942946,36,S12A
05385102,53240.300546001105,1.0844764916942946,36,S12A
05385231,29591.007621073673,0.7749216399971668,36,NA
05385232,29591.007621073673,0.7749216399971668,36,NA
05386301,102771.97201966599,1.765713713406791,36,S12A
05386302,102771.97201966599,1.765713713406791,36,S12A
05386751,50599.495046296564,1.6750678995586334,36,NA
05386752,50599.495046296564,1.6750678995586334,36,NA
05386941,43435.62877587377,1.494055410295828,36,NA
05386942,43435.62877587377,1.494055410295828,36,NA
05386951,47403.138913368195,1.0175633282660574,36,NA
05386952,47403.138913368195,1.0175633282660574,36,NA
05387131,66971.52202027752,1.494055410295828,36,NA
05387132,66971.52202027752,1.494055410295828,36,NA
05387461,54689.16253111748,1.623706060247108,36,NA
05387462,54689.16253111748,1.623706060247108,36,NA
05389301,57477.64077594391,0.7833939453855026,36,S12A
05389302,57477.64077594391,0.7833939453855026,36,S12A
05389591,21228.436376025053,0.6598501087640126,36,S12A
05389592,21228.436376025053,0.6598501087640126,36,S12A
05390451,36343.244187848824,0.6598501087640126,36,S12A
05390452,36343.244187848824,0.6598501087640126,36,S12A
05390931,79282.36306054732,1.6127908569468032,36,S12A
05390932,79282.36306054732,1.6127908569468032,36,S12A
05390991,49021.30102885636,0.9985377244842979,36,S12A
05390992,49021.30102885636,0.9985377244842979,36,S12A
05391131,114224.79896947282,1.9624834474611217,36,S12A
05391132,114224.79896947282,1.9624834474611217,36,S12A
05391381,69011.85401459123,1.3526366477660023,36,S12A
05391382,69011.85401459123,1.3526366477660023,36,S12A
05393171,104421.23358685109,1.2783221070189774,36,S12A
05393172,104421.23358685109,1.2783221070189774,36,S12A
05394231,37395.44938901598,0.9985377244842979,36,S12A
05394232,37395.44938901598,0.9985377244842979,36,S12A
05394691,125411.64154932814,2.153339110041359,36,S12A
05394692,125411.64154932814,2.153339110041359,36,S12A
05396421,55626.98140218112,1.494055410295828,36,S12A
05396422,55626.98140218112,1.494055410295828,36,S12A
05397361,33945.82549580739,0.9985377244842979,36,NA
05397362,33945.82549580739,0.9985377244842979,36,NA
05397572,48065.04068093034,1.4548662289551577,36,NA
05398161,92096.84218756606,1.3544012172812332,36,NA
05398162,92096.84218756606,1.3544012172812332,36,NA
05398221,22520.55878451,0.5,36,S12A
05398222,22520.55878451,0.5,36,S12A
05398691,17554.84687824448,0.6125196430681386,36,NA
05398692,17554.84687824448,0.6125196430681386,36,NA
05398911,50466.10461498914,0.6239291214309752,36,NA
05398912,50466.10461498914,0.6239291214309752,36,NA
05398941,32606.8124399172,0.5,36,NA
05398942,32606.8124399172,0.5,36,NA
05399181,51786.094920378746,1.2783221070189774,36,S12A
05399182,51786.094920378746,1.2783221070189774,36,S12A
05399511,42236.09240846245,1.24240111968594,36,NA
05399512,42236.09240846245,1.24240111968594,36,NA
05400151,57810.09840901449,1.8722912406552488,36,S12A
05400152,57810.09840901449,1.8722912406552488,36,S12A
05400651,76346.58048930869,1.1203515361263148,36,S12A
05400652,76346.58048930869,1.1203515361263148,36,S12A
05400741,41819.38469621586,1.3544012172812332,36,S12A
05400742,41819.38469621586,1.3544012172812332,36,S12A
05400951,32831.91769803716,1.1564623524759434,36,S12A
05400952,32831.91769803716,1.1564623524759434,36,S12A
05401671,11023.535027914137,0.5,36,NA
05401672,11023.535027914137,0.5,36,NA
05401831,65125.25696727932,1.3544012172812332,36,NA
05401832,65125.25696727932,1.3544012172812332,36,NA
05402192,81079.91847047218,1.192383339808981,36,NA
05402771,47214.5770757557,1.0241052957605965,36,NA
05402772,47214.5770757557,1.0241052957605965,36,NA
05403711,39086.83305510099,1.080257625901835,36,S12A
05403712,39086.83305510099,1.080257625901835,36,S12A
05404732,86211.99784378681,1.2651220735463182,36,S12A
05404801,54375.77766567547,0.9491554116864113,36,S12A
05404802,54375.77766567547,0.9491554116864113,36,S12A
05405321,70527.69889748386,1.5658514420608856,36,S12A
05405322,70527.69889748386,1.5658514420608856,36,S12A
05405651,35916.762623283816,1.2651220735463182,36,S12A
05405652,35916.762623283816,1.2651220735463182,36,S12A
05406341,85668.23103219847,1.7816306882387534,36,NA
05406342,85668.23103219847,1.7816306882387534,36,NA
05406851,58062.719173493664,1.2891047626542491,36,S12A
05406852,58062.719173493664,1.2891047626542491,36,S12A
05407401,63150.853486845335,0.9856991146433773,36,S12A
05407402,63150.853486845335,0.9856991146433773,36,S12A
05407851,47037.38066329103,1.24240111968594,36,S12A
05407852,47037.38066329103,1.24240111968594,36,S12A
05408341,34247.348650582,0.9907008861750346,36,NA
05408342,34247.348650582,0.9907008861750346,36,NA
05408391,41058.34480663515,1.0844764916942946,36,S12A
05408392,41058.34480663515,1.0844764916942946,36,S12A
05408722,50853.18651885609,1.646978266755816,36,S12A
05409421,42416.170454766405,1.494055410295828,36,S12A
05409422,42416.170454766405,1.494055410295828,36,S12A
05409801,17713.086419902174,0.7335782859054465,36,S12A
05409802,17713.086419902174,0.7335782859054465,36,S12A
05410301,68503.83980217755,1.5209178523868507,36,S12A
05410302,68503.83980217755,1.5209178523868507,36,S12A
05410361,34109.92028750567,1.2014783608212452,36,S12A
05410362,34109.92028750567,1.2014783608212452,36,S12A
05446881,25917.831060972007,0.5328222478901401,36,S12A
05446882,25917.831060972007,0.5328222478901401,36,S12A
05447211,55190.4466962559,1.3199707551134936,36,NA
05447212,55190.4466962559,1.3199707551134936,36,NA
05447391,96574.19094613142,1.8361389357485574,36,NA
05447392,96574.19094613142,1.8361389357485574,36,NA
05447761,110241.11129416295,2.193283605060045,36,S12A
05447762,110241.11129416295,2.193283605060045,36,S12A
05448261,41684.84157426883,0.8569625652044555,36,S12A
05448262,41684.84157426883,0.8569625652044555,36,S12A
05448351,40951.722913624195,0.8147481589308818,36,S12A
05448352,40951.722913624195,0.8147481589308818,36,S12A
05450901,87902.24630058887,1.2673826843397873,36,S12A
05450902,87902.24630058887,1.2673826843397873,36,S12A
05451541,62281.707129464514,1.6083757454669265,36,S12A
05451542,62281.707129464514,1.6083757454669265,36,S12A
05451571,75007.25648594408,1.1844260984189614,36,NA
05451572,75007.25648594408,1.1844260984189614,36,NA
05452201,40291.491118593316,0.8708057266254507,36,S12A
05452202,40291.491118593316,0.8708057266254507,36,S12A
05452891,20905.935408966892,0.5,36,NA
05452892,20905.935408966892,0.5,36,NA
05453251,30559.912504880278,0.750885950218168,36,S12A
05453252,30559.912504880278,0.750885950218168,36,S12A
05453791,34577.415858692206,1.0750262675324835,36,NA
05453792,34577.415858692206,1.0750262675324835,36,NA
05454011,75282.0837883409,1.4607203694621391,36,S12A
05454012,75282.0837883409,1.4607203694621391,36,S12A
05454841,14063.732301171785,0.5,36,NA
05454842,14063.732301171785,0.5,36,NA
05455191,36676.781937884865,0.8569625652044555,36,S12A
05455192,36676.781937884865,0.8569625652044555,36,S12A
05455791,51352.3497284355,1.2437872293376118,36,S12A
05455792,51352.3497284355,1.2437872293376118,36,S12A
05455881,95802.5498355327,2.353959248250118,36,S12A
05455882,95802.5498355327,2.353959248250118,36,S12A
05456092,42799.22227547834,0.8733581940086731,36,NA
05456111,65472.90050257673,1.9073329305669597,36,S12A
05456112,65472.90050257673,1.9073329305669597,36,S12A
05456291,33304.678536379026,1.0120847763642393,36,S12A
05456292,33304.678536379026,1.0120847763642393,36,S12A
05456661,24502.674028299843,0.5,36,NA
05456662,24502.674028299843,0.5,36,NA
05456741,37597.27048268614,0.9106302853055765,36,S12A
05456742,37597.27048268614,0.9106302853055765,36,S12A
05457011,92777.53109448921,1.9073329305669597,36,S12A
05457012,92777.53109448921,1.9073329305669597,36,S12A
05458521,19259.942887440004,0.5,36,S12A
05458522,19259.942887440004,0.5,36,S12A
05460331,77158.4722862383,2.351389549629081,36,S12A
05460332,77158.4722862383,2.351389549629081,36,S12A
05460611,16453.502371620005,0.5,36,S12A
05460612,16453.502371620005,0.5,36,S12A
05460771,43533.188188307526,0.8569625652044555,36,NA
05460772,43533.188188307526,0.8569625652044555,36,NA
05461311,41684.84157426883,0.8569625652044555,36,S12A
05461312,41684.84157426883,0.8569625652044555,36,S12A
05461341,61535.672391053835,1.9603781163492724,36,S12A
05461342,61535.672391053835,1.9603781163492724,36,S12A
05462231,35860.189707819816,0.5328222478901401,36,NA
05462232,35860.189707819816,0.5328222478901401,36,NA
05462341,116719.15878238059,2.2431027231118783,36,S12A
05462342,68436.26604201409,1.3152046015398793,36,S12A
05463561,65584.27834270263,2.302108516738933,36,S12A
05463562,65584.27834270263,2.302108516738933,36,S12A
05463911,35720.8811925353,1.117260917911652,36,NA
05463912,35720.8811925353,1.117260917911652,36,NA
05464851,77852.03521830378,1.8547448597932532,36,S12A
