NEWID,STATE,PSU,st_wgt,CALADJ45
05011454,06,S49A,13866.275154277026,0.6369192587289625
05012364,06,S49E,8264.323868859581,0.8485572708394664
05012524,06,S49A,25885.29411094242,0.9506031066653201
05012824,06,NA,26060.30421,0.6369192587289625
05012944,06,NA,40430.815906526666,1.0525620862665608
05013114,06,S49E,13037.296234699255,0.9450915430722839
05013134,06,NA,32530.854931194193,0.987681962
05013744,06,S49A,30614.48112227964,1.0445144415375853
05014354,06,NA,13276.617437045792,0.6130845718742384
05014624,06,NA,21756.45648577568,0.690273387
05014734,06,S49A,28187.46094917028,1.035147131512083
05015644,06,NA,35884.76107524301,0.86793399
05015704,06,NA,35083.62996466608,0.8485572708394664
05015994,06,S49E,12855.276918331667,0.8657832910760689
05016144,06,S49E,7980.829900707174,0.9412527487411467
05017684,06,S49A,25123.466312568395,0.8571702809577677
05017894,06,S49A,30193.238501855707,1.1088066528097884
05017924,06,S49A,28748.915917837985,0.9529098660646971
05017994,06,S49E,12297.52236633952,0.8369001535159162
05018364,06,S49B,24824.913967342003,1.1074488055916996
05018474,06,S49E,5948.093494528147,1.0118629702757245
05018604,06,S49E,12855.276918331667,0.8657832910760689
05018744,06,S49C,30930.56989882467,1.5348154388779096
05018874,06,S49B,11346.526259785114,0.9412527487411467
05019114,06,S49A,19338.40477427427,1.2596923758469276
05019184,06,NA,43064.30733029516,1.0148770040702317
05019504,06,S49C,8760.091464140287,0.7835460256286828
05019624,06,S49A,36513.56109067155,1.2102763355632506
05019774,06,S49A,27005.54269629086,0.9310408101247438
05020494,06,S49A,39189.113608598695,1.5014208707461532
05020634,06,S49A,14860.909737144657,0.8878986208539134
05020724,06,S49E,8951.722613590639,0.9191374189633023
05020894,06,S49A,13494.615138767402,0.7019305039397462
05021094,06,NA,26649.398208635455,0.8455131636342174
05021224,06,NA,36006.85694151216,0.8485572708394664
05021264,06,S49A,24018.799405042257,0.8820585632501065
05021284,06,S49C,27728.421222432633,1.375920622449205
05021474,06,S49B,15734.690654207718,0.7019305039397462
05021504,06,S49A,25543.02609647159,0.9786093369267053
05022164,06,S49A,8603.416963593372,0.6369192587289625
05022654,06,S49E,21945.06798854985,1.5018692830423572
05022944,06,S49A,32708.496046703927,1.7065020428241946
05023054,06,S49A,27919.319863726232,0.9506031066653201
05023514,06,NA,42909.10297249511,1.5463367327349016
05023744,06,S49C,18741.824685163665,0.9412527487411467
05023934,06,S49E,14981.184591260377,1.110616589177161
05024314,06,S49A,24708.78406018774,0.8562768722152188
05024454,06,NA,31872.36457,0.8485572708394664
05024564,06,S49C,22396.25201974793,1.1624337712690536
05024854,06,S49E,14510.476396425543,0.9730977733336691
05025224,06,NA,40948.34935265131,1.090192711944355
05025274,06,S49A,25524.52765490441,0.8562768722152188
05025444,06,S49A,41329.24290749046,1.4040806025015447
05025694,06,S49A,29492.628379928392,1.0842327360551147
05025754,06,S49B,16943.29824479005,0.6369192587289625
05025974,06,S49A,39084.06545476312,1.3278050675829762
05026144,06,S49E,15933.65079170046,1.1812268107117387
