NEWID,STATE,PSU,st_wgt,CALADJ45
05011364,12,S35D,18905.365267692596,1.1952189511416542
05011514,12,NA,36761.316152170795,1.1952189511416542
05012094,12,S35D,20285.157937933465,1.282451031811181
05012214,12,S35D,16464.287606007565,1.0408912118389688
05012254,12,NA,32620.101496796015,1.0605758329148545
05012544,12,NA,33258.02362246999,1.0783456358971324
05013434,12,S35D,11706.062812834236,0.714248677
05015494,12,NA,20540.45704154867,1.0000912523463348
05016054,12,NA,40107.58419714879,1.1364777279855378
05016104,12,NA,20744.867466414325,0.8042148690046246
05016724,12,S35D,16392.547448935664,1.0582233444347402
05016864,12,NA,48184.246104025435,1.8737901197499434
05017164,12,S35B,28809.96980287152,0.8934348812795221
05018134,12,NA,40355.985469748404,1.312092266386176
05018194,12,NA,36574.165191090884,1.0582233444347402
05018224,12,S35B,32756.320711602228,0.9803731579820971
05018864,12,S35B,27844.675549745698,0.8634998427375755
05019064,12,NA,36742.581124804594,1.194609820073943
05019094,12,S35D,13953.576224329761,0.8513813323689299
05019314,12,NA,25166.99050186127,1.3010403121508776
05019754,12,NA,27555.05971145558,0.8934348812795221
05020284,12,NA,30124.144302747296,1.0000912523463348
05020294,12,S35D,16392.547448935664,1.0582233444347402
05020534,12,NA,27416.16777,0.7932492402805246
05020884,12,NA,31465.391313002856,1.194609820073943
05021134,12,S35B,25050.76963750923,0.7932492402805246
05022434,12,NA,48791.321403697395,1.5561198786278148
05022534,12,S35B,39634.28231913572,1.2237098086550646
05023584,12,S35D,17516.242768914653,1.312092266386176
05023954,12,NA,38612.84366791572,1.312092266386176
05024834,12,S35D,49204.01103682828,3.733660082140087
05024934,12,NA,45760.409012026714,1.2648828581294136
05025254,12,S35B,30500.170432089686,1.0592944354815617
05026274,12,S35B,14197.865849736905,0.714621767
05027074,12,NA,26500.753096976834,1.0582233444347402
05027384,12,NA,36667.49449925038,1.3351558961848842
05027554,12,NA,21680.94643091335,0.9771966971343264
05027664,12,S35B,40245.27205,1.497982845542114
05028244,12,S35B,57461.141500813494,2.127509768521997
05028284,12,S35D,14649.236131332713,0.9706181737834985
05029084,12,S35D,22033.362719617573,1.4496893865508802
05030184,12,NA,23076.578959367234,0.8143311054089208
05030434,12,NA,19865.090268130087,0.7932492402805246
05030534,12,NA,44960.02161631495,1.3351558961848842
05030704,12,NA,26500.753096976834,1.0582233444347402
05031954,12,S35B,23720.46034419223,0.744263001
05032114,12,NA,24701.606898673046,0.9828544103475558
05034074,12,S35B,18907.090493636162,0.656657831
05034084,12,NA,25130.225509700016,0.9999087539751979
05034254,12,NA,19471.40125849902,1.167747706675636
05035114,12,S35B,36798.55664430269,1.1077892756767094
05035404,12,NA,37271.85592714008,1.194609820073943
05035674,12,NA,31225.088159757604,1.0000912523463348
05035754,12,S35D,21052.96821531479,1.312092266386176
05036244,12,S35D,16991.644114828672,1.0582233444347402
05036364,12,NA,38604.231988034604,1.0783456358971324
05036404,12,S35D,16991.644114828672,1.0582233444347402
05036694,12,NA,33131.13038313389,1.0582233444347402
05037474,12,S35B,26634.916404760956,1.5235855209264226
05039004,12,S35B,26612.703976816683,1.5223149130864646
05039504,12,S35D,18646.31335333254,1.6869019950377695
05040184,12,NA,29994.989253306052,0.9587357045008489
05041044,12,S35B,36562.826276616965,1.1169645675908568
05042464,12,S35D,25147.87297547997,1.5673005967484577
05042484,12,S35D,18120.001809625304,1.1284963824902108
05042574,12,S35D,27521.96251376189,1.8223801632253946
05042584,12,S35D,17302.42375423312,1.0783456358971324
05043444,12,NA,40132.28605811585,1.1169645675908568
