NEWID,STATE,PSU,st_wgt,CALADJ45
05011624,48,NA,48681.69583056618,1.1699822206862747
05011964,48,NA,29628.996945388775,0.7990594634155417
05012494,48,S37B,39546.88230252317,1.230752483357225
05012734,48,NA,87877.75874460678,1.7338124501958398
05012794,48,NA,46611.773550731836,1.3815654551732357
05013244,48,S37B,45320.26927196099,1.4549969939225602
05013604,48,S37A,37842.45537630806,0.9890098956527278
05014484,48,S37A,50349.34656392482,1.343642272221726
05014844,48,S37B,41851.79064742393,1.343642272221726
05014934,48,NA,29050.95403118892,0.6837628045609978
05015004,48,S37B,27428.650569559155,0.8805906224116762
05015014,48,NA,35232.43333754071,0.6951296032577985
05015844,48,NA,33863.74839673064,0.7524310246146395
05016734,48,NA,29131.405430224444,0.6246968261545283
05017244,48,NA,26771.542960963663,0.8102475572307106
05018784,48,NA,46978.99723262802,0.9464449934723109
05018834,48,S37B,41406.79390745685,1.3676557970313135
05018934,48,S37A,23284.487429206452,0.7386156342833884
05019984,48,NA,49038.68492181259,0.9675244757409991
05021674,48,S37B,46188.728652223035,1.520851364983195
05021754,48,S37B,65630.02908956436,2.1163372187627676
05021784,48,S37B,48462.374937039895,1.6006998312567124
05022934,48,S37A,34065.45776893481,1.0548642667133625
05023854,48,NA,60297.870629194396,2.1310957846016736
05024334,48,NA,49367.475080352975,1.090833293267051
05024614,48,NA,24025.887035952124,0.9738553476087736
05024794,48,S37A,46512.34142,1.343642272221726
05025644,48,S37B,33624.245729017886,1.1363336439072504
05027404,48,NA,33846.161930344235,0.7608942623961286
05028574,48,NA,25990.564610973655,0.8102475572307106
05029074,48,S37B,31898.075900261378,1.136948745690584
05029334,48,S37B,33522.194015021654,1.136948745690584
05030404,48,S37B,26553.329120271694,0.9464449934723109
05033264,48,NA,44225.65765672334,0.9080906884704435
05033294,48,S37B,49484.559167365805,1.556603357434371
05033784,48,NA,68082.14349278071,1.679381385549768
05033804,48,S37B,33136.071457326085,1.2298953635059882
05034024,48,S37B,50568.39934,1.8012200669170229
05034324,48,S37A,49307.553571603945,1.269446262846378
05034704,48,NA,25312.019462791257,0.5710595681734215
05035194,48,S37A,76908.99221292646,2.10521101
05035964,48,NA,36344.456394096276,0.8199602408025981
05036294,48,NA,40164.212568397066,0.8663177112940346
05036334,48,S37A,36761.60904,0.9464449934723109
05036444,48,NA,43898.838836279676,1.2826776091169105
05038354,48,NA,89143.63289,1.7338124501958398
05040524,48,NA,63685.44757564988,1.3563801161757008
05040844,48,S37B,34315.27380935145,1.090833293267051
05041034,48,S37B,45442.36265610232,1.562870916115874
05041254,48,NA,45307.63304738795,0.8805906224116762
05041334,48,S37A,30046.62367841557,1.4484796726760762
05042504,48,NA,73103.08044721317,2.1033802239093182
05042784,48,S37B,37197.54484491146,1.2563010753304793
05043304,48,S37A,27748.20605284913,0.6951296032577985
05045374,48,NA,23476.253749284646,0.5
05091293,48,NA,41996.06350584416,0.9539593156319041
05093693,48,S37A,35465.45681480713,0.9464449934723109
05094373,48,S37A,70302.28018175073,2.221213443036877
05094513,48,S37A,55438.78732684106,1.4840822962845623
05094883,48,NA,56250.76029065685,1.0710943746299493
05095773,48,S37A,51648.80023221478,1.3826253016154415
05095873,48,S37B,25532.032980006647,0.9266883749001387
05096833,48,NA,36481.697348990005,1.10412785
05096913,48,S37A,37183.75879912199,0.9675244757409991
05097423,48,S37B,21055.544977675283,1.042910274
05097643,48,S37B,35532.72368585526,1.1699822206862747
05097833,48,NA,49038.68492181259,0.9675244757409991
05098113,48,S37B,34416.70339176619,1.0710943746299493
05098893,48,NA,29208.60808931806,0.704172187
05098953,48,NA,47726.26932,1.4145989301689263
05099273,48,S37A,42604.06776838025,1.136948745690584
05099363,48,NA,41150.22195121715,0.9143318484159134
05099373,48,NA,46978.99723262802,0.9464449934723109
05099563,48,NA,60101.90700456626,1.4145989301689263
05099643,48,S37A,30361.82762702672,0.8102475572307106
05100183,48,S37A,43396.33663167803,1.158091541145544
05100193,48,S37B,39657.94854,2.0375258528486833
05101593,48,NA,75065.53136448214,1.4810294973333393
05102283,48,S37B,28743.828617486633,0.9464449934723109
05103293,48,NA,56869.06192650927,1.283011890612648
05104323,48,S37B,53527.087436533875,1.6544948873358287
05104803,48,S37B,55691.72576492271,1.8809191643478504
05106313,48,S37B,23433.684558535235,0.7443931861700759
05106493,48,NA,26436.24548013442,0.5964230135886345
05107153,48,S37B,43504.427759625774,1.3829433058989196
05107163,48,S37B,43791.70023568003,1.4790105187321476
05107873,48,S37A,27079.047391497734,0.6951296032577985
05108483,48,NA,54357.17016695754,1.588258981704378
05108993,48,NA,30159.121158642283,0.8805906224116762
05109013,48,S37B,64738.52431132983,2.0504828477021326
05109033,48,NA,38300.08231248516,0.7443931861700759
05110033,48,S37A,44161.11404401409,1.136948745690584
05110313,48,S37A,34997.554466676156,0.9016701046803645
05110693,48,S37A,51121.68130582489,1.3170889348382848
05110723,48,S37A,59441.891222136495,2.223045869161144
05111313,48,S37B,27721.21407635335,0.8805906224116762
05112703,48,S37A,38237.07220397525,0.9844314896100923
05113003,48,S37A,75054.34430721449,1.880211516437519
05113193,48,S37B,30436.243106281472,0.9675244757409991
05113253,48,S37B,39251.66094873039,2.434174528249522
05114503,48,S37B,44388.236215291035,1.4896421039575185
05115093,48,S37A,53256.293598146425,1.4485184964958358
05116073,48,NA,38343.11407527288,1.1910617029549626
05116443,48,S37A,50367.06446489952,1.4549969939225602
05116933,48,S37A,64491.878458562176,2.023010923663138
05117063,48,NA,39586.946369469915,1.0434974680165618
05118813,48,S37B,36794.22954298327,1.2347918769303168
05120323,48,S37A,53033.42703626757,1.642222673224282
05120633,48,NA,30811.26834039111,0.8313270394993988
05121173,48,S37B,45343.34485160613,1.7324345994701562
05121183,48,S37A,22820.54536834662,0.6206962564011957
05121333,48,S37A,38965.497920343005,1.0710943746299493
05121823,48,S37B,25018.64782272914,0.9683179402139311
05122443,48,NA,49363.40539259358,1.1904467042698446
05122733,48,NA,52372.62982163758,1.2239459122061784
05124194,48,S37B,30050.474823767665,1.0710943746299493
05125323,48,S37B,62892.31329110562,2.434174528249522
05125433,48,S37A,47857.29188,1.6284998290200288
