,level_0,fpl_categ,Average,geography
0,Raw Average,0-25%,77.9119880371603,US
1,Raw Average,25-50%,134.04813184056198,US
2,Raw Average,50-75%,152.52923706489597,US
3,Raw Average,75-100%,160.2015608299554,US
4,Raw Average,100-125%,174.74772022566162,US
5,Raw Average,125-150%,188.69405190093056,US
6,Raw Average,150-175%,201.0990620285296,US
7,Raw Average,175-200%,207.89116839885952,US
8,Raw Average,200-225%,218.259328572315,US
9,Raw Average,0-25%,83.63617242592592,CA
10,Raw Average,25-50%,152.89861373662285,CA
11,Raw Average,50-75%,166.10313881179823,CA
12,Raw Average,75-100%,169.3207916382888,CA
13,Raw Average,100-125%,186.8976194605104,CA
14,Raw Average,125-150%,201.253886448701,CA
15,Raw Average,150-175%,215.69934489034077,CA
16,Raw Average,175-200%,222.6156938841906,CA
17,Raw Average,200-225%,241.54960168469754,CA
0,Weighted Average,0-25%,83.77307182222572,CA
1,Weighted Average,25-50%,149.96913284584159,CA
2,Weighted Average,50-75%,160.64833176968708,CA
3,Weighted Average,75-100%,165.59534472959334,CA
4,Weighted Average,100-125%,180.40847372627593,CA
5,Weighted Average,125-150%,193.04166058009284,CA
6,Weighted Average,150-175%,210.6332010148849,CA
7,Weighted Average,175-200%,209.1924015686639,CA
8,Weighted Average,200-225%,231.79389649476974,CA
9,Weighted Average,0-25%,76.22231733305401,US
10,Weighted Average,25-50%,131.73651534905034,US
11,Weighted Average,50-75%,151.64696098582078,US
12,Weighted Average,75-100%,158.7775599031916,US
13,Weighted Average,100-125%,172.5907350253002,US
14,Weighted Average,125-150%,188.1986009039609,US
15,Weighted Average,150-175%,200.23147198067937,US
16,Weighted Average,175-200%,205.64106174895116,US
17,Weighted Average,200-225%,215.5848810269494,US
0,Median,0-25%,69.33333333333333,US
1,Median,25-50%,110.29166666666666,US
2,Median,50-75%,115.55556666666666,US
3,Median,75-100%,115.61111666666666,US
4,Median,100-125%,130.0,US
5,Median,125-150%,144.44443333333334,US
6,Median,150-175%,153.1111,US
7,Median,175-200%,158.88889166666667,US
8,Median,200-225%,164.66666666666666,US
9,Median,0-25%,74.87036666666667,CA
10,Median,25-50%,126.38888333333334,CA
11,Median,50-75%,130.0,CA
12,Median,75-100%,122.77778333333333,CA
13,Median,100-125%,137.22223333333332,CA
14,Median,125-150%,151.66666666666666,CA
15,Median,150-175%,151.66666666666666,CA
16,Median,175-200%,176.69444166666665,CA
17,Median,200-225%,182.9629666666667,CA
