numppl,0,50,100,150,200,250,300,350,400
1,0,6070,12140,18210,24280,30350,36420,42490,48560
2,0,8230,16460,24690,32920,41150,49380,57610,65840
3,0,10390,20780,31170,41560,51950,62340,72730,83120
4,0,12550,25100,37650,50200,62750,75300,87850,100400
5,0,14710,29420,44130,58840,73550,88260,102970,117680
6,0,16870,33740,50610,67480,84350,101220,118090,134960
7,0,19030,38060,57090,76120,95150,114180,133210,152240
8,0,21190,42380,63570,84760,105950,127140,148330,169520
9,0,23350,46700,70050,93400,116750,140100,163450,186800
10,0,25510,51020,76530,102040,127550,153060,178570,204080
11,0,27670,55340,83010,110680,138350,166020,193690,221360
12,0,29830,59660,89490,119320,149150,178980,208810,238640
13,0,31990,63980,95970,127960,159950,191940,223930,255920
14,0,34150,68300,102450,136600,170750,204900,239050,273200
15,0,36310,72620,108930,145240,181550,217860,254170,290480
