id number,business_id,date,review_id,stars,text,type,user_id,cool,useful,funny,id,Ariel,Ella
,SMpL3z4FLF07bRA6-y22JQ,2011-03-22,HP7I5z-axGcb1i4kZTHtng,5,I crave their jalapeno fried rice. AMAZING!,review,FpCmGLWHe5Y-kDS7ZYaF5w,0,0,0,7360,0,0
,Kqn4J9NTgZdMAnV4HuYh5A,2009-01-09,xqNBoDpFP7wEiftunn6HvQ,5,"Chai is alive and well, and living at City Center at City North.

I had been dating a gal name Starbucks for the past few years. She was a plain gal, generic if you will.  She was dependable and available. I was feeling as if i needed more out of my relationship, as you can imagine. 
So, at times, I would cheat on my gal with another gal named Coffee Bean. Coffee Bean was Kosher and a bit edgier, yet had a leaner list of qualities. 

I needed more out of my relationships. They say that when you're not looking for someone new, they appear. Well, that was the case with my new crush named Press. 

I had been to High Street for dinner Kona Grill, yet most of the other shops and restaurants were closed or not yet open for business at the time. 

I ventured back during daytime hours to give them another opportunity.  I had heard about Press, so I was more than excited to give it a go. At this point I was still making caffeine a part of my diet, so i ordered something called a ""Dirty Chai."" This was a Chai with espresso shots. Press uses a powdered Chai which, in my opinion, works better than the liquid or tea bag forms. I was also given the option to have my frothy delight in a ceramic cup.  I opted for that.  I felt like i was having the type of coffee house experience I had only just imagined. 

Press occupies a well appointed space, too.  From the wood and granite, to the stained concrete floors, I felt as if i were in a European city, not a Phoenix strip mall. The free wi-fi is a major plus, in my opinion. 
Press goes as far as to have a ""dog friendly"" cart outside, in its ample outdoor seating area. 

I spoke with Steve, the owner of Press, at length.  In talking, I asked how Press came to be, and he said that his wife had wanted to open a coffee shop one day.  Well Steve, you have certainly exceeded her expectations, as well as the residents of the Greater Phoenix area. 

By the way, Press serves sandwiches and soups, as well as an extensive list of wines. 

Check it out, the staff will make you feel at home, or like you're on vacation in the cozy European city of your choice.",review,QcLcoQQgq0bEgx-lkh96qg,4,3,6,3959,0,0
,7QSYBp2-AOdyUJXEaLnbgA,2012-11-29,aKDiEOhSMwcq0IHH8Ra7WA,5,"The chicken was unreal good!  And, the cornbread, just as reviewers stated was heavenly.  It was light and very good!",review,tVoCVBUg-ubBMLQlX5_SVQ,0,0,0,2134,0,0
,WGtu9DDt6evtT_IOZ6tNBw,2008-12-15,hzdVypwYzY5hMO3i8JCU_w,4,"I came here on Saturday becuase I had to get my Jeep serviced, and I wanted to check this dealership out.  I made an appointment, and dropped my Jeep off in the sevice bay.

I was greeted when I walked into the dealer, and I had a decent experience here.  I DO have to say, that I didnt like waiting 3 hours, but that seems to be at most any dealership you go to for warranty work, so I cannot blame them for that.

What I DON'T like is going for service and tying to be ""sold"" on a new vehicle. Im in for service, not to buy or trade in my car.  Why do the salesman do that?  I know its thier job to sell, but not every single time.  Geez.  Annoying.",review,JffajLV-Dnn-eGYgdXDxFg,2,3,1,5904,1,1
,PN3aQAH-RONnK-ahkNm0xg,2012-09-06,3G-S4u-1_LKq0GdFIj5ERw,3,Ordered the Philly Egg Rolls. They came out still frozen in the middle. It's hit or miss if the waitress will be decent or not.,review,JC7nd7_Vf3QL9-PAnEpU7Q,0,0,0,3745,1,1
,y2CMEHwaKWz5RMUC_pcT0g,2011-02-01,yaAp8IkVV0O8ixggea6TRw,5,"I finally found a reasonably priced salon and a stylist who understands what I want.  Very happy with the service.  Also, the waxing lady is very nice...I think her name is Maria, does good eyebrows.  Only downside is that sometimes it is hard to get an appointment on short notice...but that's my fault for waiting until I can't stand it anymore to get my hair cut.",review,aAQYtxiPJsmfKtqw8m56Lw,0,1,0,4121,0,0
,d_8bMNQd0mesbEUeq1U2kQ,2011-06-19,6hfJkOJ9WvNWiydtWKWw6Q,3,I have been by this spot many times and I needed a place to eat lunch so I stopped in... I entered the restaurant and was seated right away. But then I sat there for a good 10 minutes and watched the workers walk around  then I got to see the owners little kid decide she was going to sit with the consumers in the booth a head of me... Then the kid started crying and it just does not need to happen I was kind of shocked please leave your kids at home if they are not working at the restaurant.  I ended up getting up and asking the staff if I could just get the lunch buffet. I got a bit of everything to try I enjoyed the rice and the chicken dishes... The fish dishes on the other hand not so good the fish puffs were cold and not good and the one fish dish super fishy tasteing. The bread was really good that came with the meal... So all in all I would say I will not be going back anytime soon nothing to write home about.,review,LXWAXIeYFIdgd2JVPF-9qA,0,2,1,6037,1,1
,HKr_xfeyrv2Bh7urZsQEVA,2010-05-19,jX2VkpXLdidPJ0cFTMVnJQ,3,"Really like this place, wound up there one night by accident, as my friend  and I got disgusted with the lousy service at the ""other"" bar in the same shopping center as Tony's.
The place had a good vibe, jukebox playing, people shooting darts,  we felt totally comfortable, and found a table, to sit and catch up.
 Service was really good, The bartender, while waiting on another customer, made eye contact, to acknowledge me, and said she'd be right with me.  I like that in a place, ---nothing worse than standing at a bar waiting to order drinks and feeling invisiable.

My beer was good and cold,  my friend ordered a vodka and orange juice, and commented that it was a nice ""stiff drink"" -  

We both said we were glad we stumbled upon Tony's and will be back.",review,mJYDA1COTEzU6LI-sZIgsw,0,0,0,2346,0,0
,gI4jThFNwy73SzaNvi-1dw,2010-11-25,_aQfc-QTRf13VkAWB5gDyA,4,"Second visit to L&L.  The first was at lunch with a group of moms second with my family.  The service was excellent which is saying a lot.  They didn't have to ask what we needed they surveyed the table and kept the meal moving.  Which I appreciated since we had the three kids with us.  This is not traditional chinese, so get the asian nachos.  They are a giant appetizer very unique and quite tasty.  EVERYONE enjoyed their meals and the happy hour deals are pretty good.  I see more visits in my future.",review,BEcT2wCP-G0LfkKZSlYdzw,0,1,0,9896,0,0
,MbFxBwpqiXRWSvoTXt6Erg,2011-04-01,Fyi9QGf2dkumcd2wmDIrpA,2,I had a mammogram completed on 12/12/10.  This facility has been covered by my health insurance for over a decade.  But not this time.  The doctor terminated his contract with the insurance provider on 12/01/10.  Screwed for $300.,review,YP5eyNuicdw4pc6GzeBEQg,0,0,0,7674,1,1
,KTF-E3NfkJy2wiwcgOPyVQ,2011-03-20,6WaU71YvB_sU_Adt2K6Z-Q,5,"Don't judge a book by it's cover.  The outside doesn't look so great, but you go inside and it's gorgeous.  The food is some of the best food I've ever eaten.  Their sugar cane chicken appetizer is fantastic!! The pad thai, chiang mai noodles, pad kra po, pad lard na, etc.  This place is so flavorful with fresh veggies and fresh herbs.  And don't get me started on their fried honey banana dessert.  The best dessert I've ever had!  Check this place out you will not be disappointed.",review,1vIg1iRDdx8RokPAFNkFEw,0,0,0,5008,0,0
